Current Pose: X: -0.11232, Y: -0.282088, Z: -1.5364, Yaw: 1.46629, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.11232, Y: 0.282088, Z: 1.5364, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.11232, Y: 0.282088, Z: 1.5364, 
Current Pose: X: -0.112317, Y: -0.282135, Z: -1.53482, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112317, Y: 0.282135, Z: 1.53482, Velocity_in: X: 0.000451151, Y: 0.000274782, Z: 0.0201057, Error: X: 0.112317, Y: 0.282135, Z: 1.53482, 
Current Pose: X: -0.112318, Y: -0.282204, Z: -1.53312, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112318, Y: 0.282204, Z: 1.53312, Velocity_in: X: 0.000450454, Y: 0.000304, Z: 0.0200268, Error: X: 0.112318, Y: 0.282204, Z: 1.53312, 
Current Pose: X: -0.112327, Y: -0.282279, Z: -1.53145, Yaw: 1.46631, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112327, Y: 0.282279, Z: 1.53145, Velocity_in: X: 0.00029141, Y: 0.000466579, Z: 0.0200487, Error: X: 0.112327, Y: 0.282279, Z: 1.53145, 
Current Pose: X: -0.112357, Y: -0.282382, Z: -1.52935, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112357, Y: 0.282382, Z: 1.52935, Velocity_in: X: 0.000105407, Y: 0.000542547, Z: 0.0200286, Error: X: 0.112357, Y: 0.282382, Z: 1.52935, 
Current Pose: X: -0.112377, Y: -0.282478, Z: -1.52757, Yaw: 1.46631, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112377, Y: 0.282478, Z: 1.52757, Velocity_in: X: -3.74884e-05, Y: 0.000597279, Z: 0.0198475, Error: X: 0.112377, Y: 0.282478, Z: 1.52757, 
Current Pose: X: -0.112407, Y: -0.282582, Z: -1.52617, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112407, Y: 0.282582, Z: 1.52617, Velocity_in: X: -0.000217668, Y: 0.000793933, Z: 0.0199725, Error: X: 0.112407, Y: 0.282582, Z: 1.52617, 
Current Pose: X: -0.112436, Y: -0.282728, Z: -1.52413, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112436, Y: 0.282728, Z: 1.52413, Velocity_in: X: -0.000435659, Y: 0.00087614, Z: 0.019968, Error: X: 0.112436, Y: 0.282728, Z: 1.52413, 
Current Pose: X: -0.112455, Y: -0.282843, Z: -1.52254, Yaw: 1.46629, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112455, Y: 0.282843, Z: 1.52254, Velocity_in: X: -0.000629649, Y: 0.000816518, Z: 0.0200228, Error: X: 0.112455, Y: 0.282843, Z: 1.52254, 
Current Pose: X: -0.112471, Y: -0.282957, Z: -1.52098, Yaw: 1.4663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112471, Y: 0.282957, Z: 1.52098, Velocity_in: X: -0.000732713, Y: 0.000889556, Z: 0.0201501, Error: X: 0.112471, Y: 0.282957, Z: 1.52098, 
Current Pose: X: -0.112463, Y: -0.283132, Z: -1.5185, Yaw: 1.46629, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.112463, Y: 0.283132, Z: 1.5185, Velocity_in: X: -0.000763671, Y: 0.000818272, Z: 0.0203811, Error: X: 0.112463, Y: 0.283132, Z: 1.5185, 
