Current Pose: X: 0.697053, Y: -0.818844, Z: -2.47471, Yaw: 1.91946, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697053, Y: 0.818844, Z: 2.47471, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.697053, Y: 0.818844, Z: 2.47471, 
Current Pose: X: 0.697064, Y: -0.818902, Z: -2.47483, Yaw: 1.91939, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697064, Y: 0.818902, Z: 2.47483, Velocity_in: X: -0.000445298, Y: 0.000860094, Z: 0.00398386, Error: X: -0.697064, Y: 0.818902, Z: 2.47483, 
Current Pose: X: 0.69706, Y: -0.818963, Z: -2.475, Yaw: 1.91938, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.69706, Y: 0.818963, Z: 2.475, Velocity_in: X: -0.000237943, Y: 0.000882698, Z: 0.00387309, Error: X: -0.69706, Y: 0.818963, Z: 2.475, 
Current Pose: X: 0.697052, Y: -0.819044, Z: -2.47517, Yaw: 1.91935, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697052, Y: 0.819044, Z: 2.47517, Velocity_in: X: -0.000269544, Y: 0.000996384, Z: 0.00379489, Error: X: -0.697052, Y: 0.819044, Z: 2.47517, 
Current Pose: X: 0.697045, Y: -0.819111, Z: -2.47525, Yaw: 1.91933, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697045, Y: 0.819111, Z: 2.47525, Velocity_in: X: -0.000284037, Y: 0.00107133, Z: 0.00384719, Error: X: -0.697045, Y: 0.819111, Z: 2.47525, 
Current Pose: X: 0.697035, Y: -0.819193, Z: -2.4754, Yaw: 1.91932, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697035, Y: 0.819193, Z: 2.4754, Velocity_in: X: -0.000294512, Y: 0.00101839, Z: 0.00388006, Error: X: -0.697035, Y: 0.819193, Z: 2.4754, 
Current Pose: X: 0.697034, Y: -0.819259, Z: -2.47549, Yaw: 1.91931, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697034, Y: 0.819259, Z: 2.47549, Velocity_in: X: -0.000274862, Y: 0.00110599, Z: 0.00391803, Error: X: -0.697034, Y: 0.819259, Z: 2.47549, 
Current Pose: X: 0.69703, Y: -0.819322, Z: -2.47558, Yaw: 1.91927, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.69703, Y: 0.819322, Z: 2.47558, Velocity_in: X: -0.000297531, Y: 0.00103943, Z: 0.00397596, Error: X: -0.69703, Y: 0.819322, Z: 2.47558, 
Current Pose: X: 0.697033, Y: -0.819379, Z: -2.47575, Yaw: 1.91926, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697033, Y: 0.819379, Z: 2.47575, Velocity_in: X: -0.000280004, Y: 0.00112259, Z: 0.00394867, Error: X: -0.697033, Y: 0.819379, Z: 2.47575, 
Current Pose: X: 0.697047, Y: -0.819453, Z: -2.47599, Yaw: 1.91921, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697047, Y: 0.819453, Z: 2.47599, Velocity_in: X: -0.000135544, Y: 0.00102385, Z: 0.00391468, Error: X: -0.697047, Y: 0.819453, Z: 2.47599, 
Current Pose: X: 0.697056, Y: -0.819507, Z: -2.47627, Yaw: 1.91918, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697056, Y: 0.819507, Z: 2.47627, Velocity_in: X: -0.000123193, Y: 0.0009997, Z: 0.00411887, Error: X: -0.697056, Y: 0.819507, Z: 2.47627, 
Current Pose: X: 0.697071, Y: -0.81956, Z: -2.4765, Yaw: 1.91915, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697071, Y: 0.81956, Z: 2.4765, Velocity_in: X: -0.000112154, Y: 0.00103473, Z: 0.00417357, Error: X: -0.697071, Y: 0.81956, Z: 2.4765, 
Current Pose: X: 0.697084, Y: -0.819626, Z: -2.47677, Yaw: 1.91911, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697084, Y: 0.819626, Z: 2.47677, Velocity_in: X: 7.17104e-05, Y: 0.000945639, Z: 0.0042074, Error: X: -0.697084, Y: 0.819626, Z: 2.47677, 
Current Pose: X: 0.697087, Y: -0.819682, Z: -2.47712, Yaw: 1.91907, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697087, Y: 0.819682, Z: 2.47712, Velocity_in: X: -4.42945e-05, Y: 0.0010125, Z: 0.00417522, Error: X: -0.697087, Y: 0.819682, Z: 2.47712, 
Current Pose: X: 0.697088, Y: -0.819734, Z: -2.47741, Yaw: 1.91907, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697088, Y: 0.819734, Z: 2.47741, Velocity_in: X: -6.69762e-05, Y: 0.00115261, Z: 0.00410183, Error: X: -0.697088, Y: 0.819734, Z: 2.47741, 
Current Pose: X: 0.697095, Y: -0.819806, Z: -2.47775, Yaw: 1.91907, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697095, Y: 0.819806, Z: 2.47775, Velocity_in: X: -3.97051e-05, Y: 0.00104454, Z: 0.00403163, Error: X: -0.697095, Y: 0.819806, Z: 2.47775, 
Current Pose: X: 0.6971, Y: -0.819861, Z: -2.47796, Yaw: 1.91907, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.6971, Y: 0.819861, Z: 2.47796, Velocity_in: X: -0.000109429, Y: 0.00106252, Z: 0.00415855, Error: X: -0.6971, Y: 0.819861, Z: 2.47796, 
Current Pose: X: 0.697105, Y: -0.819915, Z: -2.47813, Yaw: 1.91909, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.697105, Y: 0.819915, Z: 2.47813, Velocity_in: X: -2.36787e-05, Y: 0.00104837, Z: 0.00421488, Error: X: -0.697105, Y: 0.819915, Z: 2.47813, 
