Current Pose: X: 0.000739126, Y: -0.0205305, Z: -1.55111, Yaw: 1.73852, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000739126, Y: 0.0205305, Z: 1.55111, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.000739126, Y: 0.0205305, Z: 1.55111, 
Current Pose: X: 0.000758061, Y: -0.0205968, Z: -1.55129, Yaw: 1.73854, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000758061, Y: 0.0205968, Z: 1.55129, Velocity_in: X: 0.000934774, Y: -0.00093673, Z: 0.00528556, Error: X: -0.000758061, Y: 0.0205968, Z: 1.55129, 
Current Pose: X: 0.000760839, Y: -0.020668, Z: -1.55138, Yaw: 1.73856, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000760839, Y: 0.020668, Z: 1.55138, Velocity_in: X: 0.000886271, Y: -0.000639166, Z: 0.00546306, Error: X: -0.000760839, Y: 0.020668, Z: 1.55138, 
Current Pose: X: 0.000753282, Y: -0.0207464, Z: -1.55142, Yaw: 1.73859, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000753282, Y: 0.0207464, Z: 1.55142, Velocity_in: X: 0.000766586, Y: -0.00018792, Z: 0.00529087, Error: X: -0.000753282, Y: 0.0207464, Z: 1.55142, 
Current Pose: X: 0.000729606, Y: -0.0208086, Z: -1.55143, Yaw: 1.73861, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000729606, Y: 0.0208086, Z: 1.55143, Velocity_in: X: 0.000719715, Y: -0.000105547, Z: 0.00550468, Error: X: -0.000729606, Y: 0.0208086, Z: 1.55143, 
Current Pose: X: 0.000691858, Y: -0.0209053, Z: -1.55143, Yaw: 1.73859, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000691858, Y: 0.0209053, Z: 1.55143, Velocity_in: X: 0.000574876, Y: 0.000172433, Z: 0.00557144, Error: X: -0.000691858, Y: 0.0209053, Z: 1.55143, 
Current Pose: X: 0.000643425, Y: -0.0210067, Z: -1.55145, Yaw: 1.73864, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000643425, Y: 0.0210067, Z: 1.55145, Velocity_in: X: 8.08249e-05, Y: 0.000625867, Z: 0.00563718, Error: X: -0.000643425, Y: 0.0210067, Z: 1.55145, 
Current Pose: X: 0.000581201, Y: -0.0211079, Z: -1.5515, Yaw: 1.73867, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000581201, Y: 0.0211079, Z: 1.5515, Velocity_in: X: -3.36647e-06, Y: 0.00124916, Z: 0.005615, Error: X: -0.000581201, Y: 0.0211079, Z: 1.5515, 
Current Pose: X: 0.000533744, Y: -0.0211809, Z: -1.55149, Yaw: 1.73864, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000533744, Y: 0.0211809, Z: 1.55149, Velocity_in: X: 0.000148327, Y: 0.00134817, Z: 0.00512105, Error: X: -0.000533744, Y: 0.0211809, Z: 1.55149, 
Current Pose: X: 0.000477348, Y: -0.0212816, Z: -1.55146, Yaw: 1.73864, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000477348, Y: 0.0212816, Z: 1.55146, Velocity_in: X: -6.70446e-05, Y: 0.00147859, Z: 0.00535717, Error: X: -0.000477348, Y: 0.0212816, Z: 1.55146, 
Current Pose: X: 0.00041819, Y: -0.0213702, Z: -1.5514, Yaw: 1.73863, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00041819, Y: 0.0213702, Z: 1.5514, Velocity_in: X: 0.000149045, Y: 0.00152261, Z: 0.0054214, Error: X: -0.00041819, Y: 0.0213702, Z: 1.5514, 
Current Pose: X: 0.000380222, Y: -0.0214314, Z: -1.55134, Yaw: 1.73865, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000380222, Y: 0.0214314, Z: 1.55134, Velocity_in: X: 0.000112556, Y: 0.00145972, Z: 0.00528551, Error: X: -0.000380222, Y: 0.0214314, Z: 1.55134, 
Current Pose: X: 0.000328664, Y: -0.0215186, Z: -1.55125, Yaw: 1.73874, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.000328664, Y: 0.0215186, Z: 1.55125, Velocity_in: X: 0.000207143, Y: 0.00159726, Z: 0.00504799, Error: X: -0.000328664, Y: 0.0215186, Z: 1.55125, 
