Current Pose: X: -0.3307, Y: -0.393108, Z: 0.891155, Yaw: 1.46482, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49605, Y: 0.589663, Z: -1.33673, Velocity_in: X: -0.0015541, Y: -0.00578444, Z: 0.00669103, Error: X: 0.3307, Y: 0.393108, Z: -0.891155, 
Current Pose: X: -0.330657, Y: -0.39321, Z: 0.891505, Yaw: 1.46486, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495985, Y: 0.589815, Z: -1.33726, Velocity_in: X: -0.00149272, Y: -0.00542659, Z: 0.00631841, Error: X: 0.330657, Y: 0.39321, Z: -0.891505, 
Current Pose: X: -0.330611, Y: -0.393301, Z: 0.891878, Yaw: 1.46489, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495917, Y: 0.589952, Z: -1.33782, Velocity_in: X: -0.00138298, Y: -0.00536703, Z: 0.00672948, Error: X: 0.330611, Y: 0.393301, Z: -0.891878, 
Current Pose: X: -0.330572, Y: -0.393362, Z: 0.892225, Yaw: 1.46484, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495858, Y: 0.590042, Z: -1.33834, Velocity_in: X: -0.00153441, Y: -0.0058645, Z: 0.00636108, Error: X: 0.330572, Y: 0.393362, Z: -0.892225, 
Current Pose: X: -0.330486, Y: -0.393437, Z: 0.892775, Yaw: 1.46483, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49573, Y: 0.590156, Z: -1.33916, Velocity_in: X: -0.00109144, Y: -0.00591731, Z: 0.00633448, Error: X: 0.330486, Y: 0.393437, Z: -0.892775, 
Current Pose: X: -0.330388, Y: -0.393513, Z: 0.89334, Yaw: 1.46478, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495581, Y: 0.590269, Z: -1.34001, Velocity_in: X: -0.00112393, Y: -0.00580636, Z: 0.00627631, Error: X: 0.330388, Y: 0.393513, Z: -0.89334, 
Current Pose: X: -0.330334, Y: -0.393572, Z: 0.893753, Yaw: 1.4648, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495501, Y: 0.590358, Z: -1.34063, Velocity_in: X: -0.00108371, Y: -0.00576264, Z: 0.00613746, Error: X: 0.330334, Y: 0.393572, Z: -0.893753, 
Current Pose: X: -0.33027, Y: -0.393653, Z: 0.894299, Yaw: 1.46478, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495405, Y: 0.590479, Z: -1.34145, Velocity_in: X: -0.00155781, Y: -0.00579364, Z: 0.00630366, Error: X: 0.33027, Y: 0.393653, Z: -0.894299, 
Current Pose: X: -0.330229, Y: -0.393715, Z: 0.894758, Yaw: 1.46483, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495343, Y: 0.590573, Z: -1.34214, Velocity_in: X: -0.00133059, Y: -0.00558618, Z: 0.00694827, Error: X: 0.330229, Y: 0.393715, Z: -0.894758, 
Current Pose: X: -0.330194, Y: -0.393781, Z: 0.895153, Yaw: 1.46482, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495291, Y: 0.590672, Z: -1.34273, Velocity_in: X: -0.00128365, Y: -0.0057705, Z: 0.00757346, Error: X: 0.330194, Y: 0.393781, Z: -0.895153, 
