Current Pose: X: -0.0175198, Y: -0.365615, Z: -0.308286, Yaw: 1.80401, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0175198, Y: 0.365615, Z: 0.308286, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.0175198, Y: 0.365615, Z: 0.308286, 
Current Pose: X: -0.0174917, Y: -0.365665, Z: -0.308441, Yaw: 1.80403, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0174917, Y: 0.365665, Z: 0.308441, Velocity_in: X: -0.00101612, Y: -0.000283565, Z: 0.00489704, Error: X: 0.0174917, Y: 0.365665, Z: 0.308441, 
Current Pose: X: -0.0174536, Y: -0.365737, Z: -0.308627, Yaw: 1.80407, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0174536, Y: 0.365737, Z: 0.308627, Velocity_in: X: -0.00145864, Y: -0.00060275, Z: 0.00536995, Error: X: 0.0174536, Y: 0.365737, Z: 0.308627, 
Current Pose: X: -0.0174206, Y: -0.365816, Z: -0.308772, Yaw: 1.80401, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0174206, Y: 0.365816, Z: 0.308772, Velocity_in: X: -0.0013794, Y: -0.000115074, Z: 0.00562809, Error: X: 0.0174206, Y: 0.365816, Z: 0.308772, 
Current Pose: X: -0.0173971, Y: -0.365892, Z: -0.308935, Yaw: 1.80403, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0173971, Y: 0.365892, Z: 0.308935, Velocity_in: X: -0.0014746, Y: -5.84177e-05, Z: 0.00572096, Error: X: 0.0173971, Y: 0.365892, Z: 0.308935, 
Current Pose: X: -0.017377, Y: -0.365953, Z: -0.30902, Yaw: 1.80408, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.017377, Y: 0.365953, Z: 0.30902, Velocity_in: X: -0.00161515, Y: 1.07732e-05, Z: 0.00586216, Error: X: 0.017377, Y: 0.365953, Z: 0.30902, 
Current Pose: X: -0.0173494, Y: -0.366036, Z: -0.309114, Yaw: 1.80408, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0173494, Y: 0.366036, Z: 0.309114, Velocity_in: X: -0.00175477, Y: -0.000147537, Z: 0.00594409, Error: X: 0.0173494, Y: 0.366036, Z: 0.309114, 
Current Pose: X: -0.017321, Y: -0.366109, Z: -0.309141, Yaw: 1.80407, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.017321, Y: 0.366109, Z: 0.309141, Velocity_in: X: -0.00176626, Y: -0.000212886, Z: 0.00602327, Error: X: 0.017321, Y: 0.366109, Z: 0.309141, 
Current Pose: X: -0.0173078, Y: -0.366163, Z: -0.309088, Yaw: 1.80407, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0173078, Y: 0.366163, Z: 0.309088, Velocity_in: X: -0.00160849, Y: -0.000393626, Z: 0.00630093, Error: X: 0.0173078, Y: 0.366163, Z: 0.309088, 
Current Pose: X: -0.0173026, Y: -0.366234, Z: -0.309111, Yaw: 1.80407, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0173026, Y: 0.366234, Z: 0.309111, Velocity_in: X: -0.00166063, Y: -0.000193735, Z: 0.00607392, Error: X: 0.0173026, Y: 0.366234, Z: 0.309111, 
Current Pose: X: -0.0172801, Y: -0.366302, Z: -0.309182, Yaw: 1.80407, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0172801, Y: 0.366302, Z: 0.309182, Velocity_in: X: -0.00180759, Y: -0.000299177, Z: 0.00624944, Error: X: 0.0172801, Y: 0.366302, Z: 0.309182, 
Current Pose: X: -0.0172636, Y: -0.366366, Z: -0.309379, Yaw: 1.80402, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0172636, Y: 0.366366, Z: 0.309379, Velocity_in: X: -0.00195813, Y: -0.000706587, Z: 0.00648512, Error: X: 0.0172636, Y: 0.366366, Z: 0.309379, 
Current Pose: X: -0.0172503, Y: -0.366415, Z: -0.309475, Yaw: 1.80402, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0172503, Y: 0.366415, Z: 0.309475, Velocity_in: X: -0.00199876, Y: -0.000437812, Z: 0.00683392, Error: X: 0.0172503, Y: 0.366415, Z: 0.309475, 
Current Pose: X: -0.0172226, Y: -0.366468, Z: -0.309568, Yaw: 1.80399, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0172226, Y: 0.366468, Z: 0.309568, Velocity_in: X: -0.00192727, Y: -0.000536962, Z: 0.00723098, Error: X: 0.0172226, Y: 0.366468, Z: 0.309568, 
