Current Pose: X: 0.125623, Y: -0.000345445, Z: -3.14717, Yaw: 1.58113, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125623, Y: 0.000345445, Z: 3.14717, Velocity_in: X: -0.000923273, Y: 0.0015226, Z: 0.0311567, Error: X: -0.125623, Y: 0.000345445, Z: 3.14717, 
Current Pose: X: 0.125617, Y: -0.000400375, Z: -3.14693, Yaw: 1.58113, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125617, Y: 0.000400375, Z: 3.14693, Velocity_in: X: -0.000884226, Y: 0.00151507, Z: 0.0314176, Error: X: -0.125617, Y: 0.000400375, Z: 3.14693, 
Current Pose: X: 0.125608, Y: -0.000450958, Z: -3.1468, Yaw: 1.58114, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125608, Y: 0.000450958, Z: 3.1468, Velocity_in: X: -0.000897164, Y: 0.00149964, Z: 0.031387, Error: X: -0.125608, Y: 0.000450958, Z: 3.1468, 
Current Pose: X: 0.125604, Y: -0.000518596, Z: -3.14655, Yaw: 1.58115, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125604, Y: 0.000518596, Z: 3.14655, Velocity_in: X: -0.000805499, Y: 0.00145536, Z: 0.0312446, Error: X: -0.125604, Y: 0.000518596, Z: 3.14655, 
Current Pose: X: 0.125609, Y: -0.00056771, Z: -3.14625, Yaw: 1.58116, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125609, Y: 0.00056771, Z: 3.14625, Velocity_in: X: -0.000768733, Y: 0.0013235, Z: 0.0311554, Error: X: -0.125609, Y: 0.00056771, Z: 3.14625, 
Current Pose: X: 0.125621, Y: -0.000617026, Z: -3.14585, Yaw: 1.58119, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125621, Y: 0.000617026, Z: 3.14585, Velocity_in: X: -0.000741735, Y: 0.00125688, Z: 0.0312129, Error: X: -0.125621, Y: 0.000617026, Z: 3.14585, 
Current Pose: X: 0.125644, Y: -0.00068269, Z: -3.14513, Yaw: 1.58121, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125644, Y: 0.00068269, Z: 3.14513, Velocity_in: X: -0.000764436, Y: 0.00123405, Z: 0.0313143, Error: X: -0.125644, Y: 0.00068269, Z: 3.14513, 
Current Pose: X: 0.125656, Y: -0.000724826, Z: -3.14487, Yaw: 1.58122, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125656, Y: 0.000724826, Z: 3.14487, Velocity_in: X: -0.000794772, Y: 0.00127782, Z: 0.031544, Error: X: -0.125656, Y: 0.000724826, Z: 3.14487, 
Current Pose: X: 0.125667, Y: -0.000765771, Z: -3.14469, Yaw: 1.58124, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125667, Y: 0.000765771, Z: 3.14469, Velocity_in: X: -0.000790315, Y: 0.00127002, Z: 0.0315065, Error: X: -0.125667, Y: 0.000765771, Z: 3.14469, 
Current Pose: X: 0.125691, Y: -0.000820031, Z: -3.14417, Yaw: 1.58126, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125691, Y: 0.000820031, Z: 3.14417, Velocity_in: X: -0.000751528, Y: 0.00116056, Z: 0.0314552, Error: X: -0.125691, Y: 0.000820031, Z: 3.14417, 
Current Pose: X: 0.125716, Y: -0.000861367, Z: -3.14363, Yaw: 1.58127, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125716, Y: 0.000861367, Z: 3.14363, Velocity_in: X: -0.000809914, Y: 0.00111161, Z: 0.0314829, Error: X: -0.125716, Y: 0.000861367, Z: 3.14363, 
Current Pose: X: 0.125742, Y: -0.000903396, Z: -3.14299, Yaw: 1.58128, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125742, Y: 0.000903396, Z: 3.14299, Velocity_in: X: -0.000761094, Y: 0.0011063, Z: 0.0315225, Error: X: -0.125742, Y: 0.000903396, Z: 3.14299, 
Current Pose: X: 0.125785, Y: -0.00095755, Z: -3.14197, Yaw: 1.58129, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125785, Y: 0.00095755, Z: 3.14197, Velocity_in: X: -0.000720586, Y: 0.0011274, Z: 0.0316994, Error: X: -0.125785, Y: 0.00095755, Z: 3.14197, 
Current Pose: X: 0.12581, Y: -0.000993515, Z: -3.14152, Yaw: 1.5813, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12581, Y: 0.000993515, Z: 3.14152, Velocity_in: X: -0.000669752, Y: 0.00107152, Z: 0.0318364, Error: X: -0.12581, Y: 0.000993515, Z: 3.14152, 
Current Pose: X: 0.125826, Y: -0.00102793, Z: -3.14125, Yaw: 1.58132, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125826, Y: 0.00102793, Z: 3.14125, Velocity_in: X: -0.000687033, Y: 0.00104961, Z: 0.0317547, Error: X: -0.125826, Y: 0.00102793, Z: 3.14125, 
Current Pose: X: 0.125846, Y: -0.00106438, Z: -3.14084, Yaw: 1.58132, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125846, Y: 0.00106438, Z: 3.14084, Velocity_in: X: -0.000707863, Y: 0.00105082, Z: 0.0318241, Error: X: -0.125846, Y: 0.00106438, Z: 3.14084, 
Current Pose: X: 0.125881, Y: -0.00111566, Z: -3.14006, Yaw: 1.58133, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125881, Y: 0.00111566, Z: 3.14006, Velocity_in: X: -0.000759287, Y: 0.00109901, Z: 0.031808, Error: X: -0.125881, Y: 0.00111566, Z: 3.14006, 
Current Pose: X: 0.125909, Y: -0.00115537, Z: -3.13937, Yaw: 1.58134, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125909, Y: 0.00115537, Z: 3.13937, Velocity_in: X: -0.00075335, Y: 0.00109064, Z: 0.0319004, Error: X: -0.125909, Y: 0.00115537, Z: 3.13937, 
Current Pose: X: 0.125939, Y: -0.0011976, Z: -3.13864, Yaw: 1.58136, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125939, Y: 0.0011976, Z: 3.13864, Velocity_in: X: -0.000705131, Y: 0.00112909, Z: 0.0320132, Error: X: -0.125939, Y: 0.0011976, Z: 3.13864, 
Current Pose: X: 0.125973, Y: -0.00124875, Z: -3.138, Yaw: 1.58136, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125973, Y: 0.00124875, Z: 3.138, Velocity_in: X: -0.000783891, Y: 0.00104552, Z: 0.032051, Error: X: -0.125973, Y: 0.00124875, Z: 3.138, 
Current Pose: X: 0.125993, Y: -0.00128161, Z: -3.13769, Yaw: 1.58137, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125993, Y: 0.00128161, Z: 3.13769, Velocity_in: X: -0.000710029, Y: 0.000891807, Z: 0.0319318, Error: X: -0.125993, Y: 0.00128161, Z: 3.13769, 
Current Pose: X: 0.126015, Y: -0.00131725, Z: -3.1373, Yaw: 1.58138, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126015, Y: 0.00131725, Z: 3.1373, Velocity_in: X: -0.000616916, Y: 0.000866069, Z: 0.0318228, Error: X: -0.126015, Y: 0.00131725, Z: 3.1373, 
Current Pose: X: 0.126046, Y: -0.00136843, Z: -3.13669, Yaw: 1.58139, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126046, Y: 0.00136843, Z: 3.13669, Velocity_in: X: -0.000762469, Y: 0.000933827, Z: 0.0318628, Error: X: -0.126046, Y: 0.00136843, Z: 3.13669, 
Current Pose: X: 0.12607, Y: -0.00140885, Z: -3.13613, Yaw: 1.58142, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12607, Y: 0.00140885, Z: 3.13613, Velocity_in: X: -0.000734267, Y: 0.000853161, Z: 0.0318801, Error: X: -0.12607, Y: 0.00140885, Z: 3.13613, 
Current Pose: X: 0.126097, Y: -0.00144734, Z: -3.13552, Yaw: 1.58144, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126097, Y: 0.00144734, Z: 3.13552, Velocity_in: X: -0.000732154, Y: 0.000954544, Z: 0.0319492, Error: X: -0.126097, Y: 0.00144734, Z: 3.13552, 
Current Pose: X: 0.126122, Y: -0.00148404, Z: -3.13502, Yaw: 1.58144, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126122, Y: 0.00148404, Z: 3.13502, Velocity_in: X: -0.00064975, Y: 0.00087955, Z: 0.0319808, Error: X: -0.126122, Y: 0.00148404, Z: 3.13502, 
Current Pose: X: 0.126138, Y: -0.0015244, Z: -3.13473, Yaw: 1.58145, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126138, Y: 0.0015244, Z: 3.13473, Velocity_in: X: -0.000648494, Y: 0.00086974, Z: 0.0319627, Error: X: -0.126138, Y: 0.0015244, Z: 3.13473, 
Current Pose: X: 0.12615, Y: -0.00155316, Z: -3.1344, Yaw: 1.58145, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12615, Y: 0.00155316, Z: 3.1344, Velocity_in: X: -0.000552872, Y: 0.000966125, Z: 0.0316395, Error: X: -0.12615, Y: 0.00155316, Z: 3.1344, 
Current Pose: X: 0.126164, Y: -0.00158104, Z: -3.13396, Yaw: 1.58145, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126164, Y: 0.00158104, Z: 3.13396, Velocity_in: X: -0.000474682, Y: 0.00106453, Z: 0.0316222, Error: X: -0.126164, Y: 0.00158104, Z: 3.13396, 
Current Pose: X: 0.126186, Y: -0.00162167, Z: -3.13326, Yaw: 1.58145, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126186, Y: 0.00162167, Z: 3.13326, Velocity_in: X: -0.000362026, Y: 0.000990967, Z: 0.0315371, Error: X: -0.126186, Y: 0.00162167, Z: 3.13326, 
Current Pose: X: 0.126204, Y: -0.00165005, Z: -3.13267, Yaw: 1.58147, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126204, Y: 0.00165005, Z: 3.13267, Velocity_in: X: -0.00034417, Y: 0.000982797, Z: 0.031794, Error: X: -0.126204, Y: 0.00165005, Z: 3.13267, 
Current Pose: X: 0.126218, Y: -0.00167911, Z: -3.13222, Yaw: 1.58149, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126218, Y: 0.00167911, Z: 3.13222, Velocity_in: X: -0.00030533, Y: 0.000998114, Z: 0.0318022, Error: X: -0.126218, Y: 0.00167911, Z: 3.13222, 
Current Pose: X: 0.126218, Y: -0.00170946, Z: -3.132, Yaw: 1.5815, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126218, Y: 0.00170946, Z: 3.132, Velocity_in: X: -0.000402961, Y: 0.00110148, Z: 0.0318503, Error: X: -0.126218, Y: 0.00170946, Z: 3.132, 
Current Pose: X: 0.126219, Y: -0.0017331, Z: -3.13172, Yaw: 1.58152, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126219, Y: 0.0017331, Z: 3.13172, Velocity_in: X: -0.000253926, Y: 0.00115748, Z: 0.0315878, Error: X: -0.126219, Y: 0.0017331, Z: 3.13172, 
Current Pose: X: 0.126224, Y: -0.00175877, Z: -3.13135, Yaw: 1.58152, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126224, Y: 0.00175877, Z: 3.13135, Velocity_in: X: -0.000211492, Y: 0.00116377, Z: 0.0315448, Error: X: -0.126224, Y: 0.00175877, Z: 3.13135, 
Current Pose: X: 0.126231, Y: -0.00178656, Z: -3.13092, Yaw: 1.58154, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126231, Y: 0.00178656, Z: 3.13092, Velocity_in: X: -0.00028262, Y: 0.00117508, Z: 0.0314896, Error: X: -0.126231, Y: 0.00178656, Z: 3.13092, 
Current Pose: X: 0.126249, Y: -0.00183161, Z: -3.13012, Yaw: 1.58155, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126249, Y: 0.00183161, Z: 3.13012, Velocity_in: X: -0.000235667, Y: 0.0011283, Z: 0.0315828, Error: X: -0.126249, Y: 0.00183161, Z: 3.13012, 
Current Pose: X: 0.126257, Y: -0.00186886, Z: -3.12957, Yaw: 1.58155, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126257, Y: 0.00186886, Z: 3.12957, Velocity_in: X: -0.000436705, Y: 0.00125865, Z: 0.0316571, Error: X: -0.126257, Y: 0.00186886, Z: 3.12957, 
Current Pose: X: 0.126261, Y: -0.00190514, Z: -3.12916, Yaw: 1.58156, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126261, Y: 0.00190514, Z: 3.12916, Velocity_in: X: -0.000582746, Y: 0.0012915, Z: 0.0316896, Error: X: -0.126261, Y: 0.00190514, Z: 3.12916, 
Current Pose: X: 0.126276, Y: -0.00194333, Z: -3.12842, Yaw: 1.58156, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126276, Y: 0.00194333, Z: 3.12842, Velocity_in: X: -0.000525067, Y: 0.00131243, Z: 0.0317104, Error: X: -0.126276, Y: 0.00194333, Z: 3.12842, 
Current Pose: X: 0.126289, Y: -0.00196331, Z: -3.12783, Yaw: 1.58156, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126289, Y: 0.00196331, Z: 3.12783, Velocity_in: X: -0.000435147, Y: 0.0011835, Z: 0.0314742, Error: X: -0.126289, Y: 0.00196331, Z: 3.12783, 
Current Pose: X: 0.126307, Y: -0.00198569, Z: -3.12717, Yaw: 1.58157, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126307, Y: 0.00198569, Z: 3.12717, Velocity_in: X: -0.00030178, Y: 0.00121608, Z: 0.0314513, Error: X: -0.126307, Y: 0.00198569, Z: 3.12717, 
Current Pose: X: 0.126337, Y: -0.0020123, Z: -3.12624, Yaw: 1.58159, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126337, Y: 0.0020123, Z: 3.12624, Velocity_in: X: -0.000250768, Y: 0.00107194, Z: 0.0314651, Error: X: -0.126337, Y: 0.0020123, Z: 3.12624, 
Current Pose: X: 0.126356, Y: -0.00203246, Z: -3.12572, Yaw: 1.58159, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126356, Y: 0.00203246, Z: 3.12572, Velocity_in: X: -0.000220539, Y: 0.00104851, Z: 0.0314761, Error: X: -0.126356, Y: 0.00203246, Z: 3.12572, 
Current Pose: X: 0.126364, Y: -0.00204723, Z: -3.12545, Yaw: 1.58162, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126364, Y: 0.00204723, Z: 3.12545, Velocity_in: X: -0.000155982, Y: 0.00114736, Z: 0.0315535, Error: X: -0.126364, Y: 0.00204723, Z: 3.12545, 
Current Pose: X: 0.12638, Y: -0.00206239, Z: -3.12499, Yaw: 1.58164, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12638, Y: 0.00206239, Z: 3.12499, Velocity_in: X: -0.000115802, Y: 0.00118458, Z: 0.0314157, Error: X: -0.12638, Y: 0.00206239, Z: 3.12499, 
Current Pose: X: 0.12639, Y: -0.00208448, Z: -3.12431, Yaw: 1.58165, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12639, Y: 0.00208448, Z: 3.12431, Velocity_in: X: -1.05311e-05, Y: 0.001075, Z: 0.0315331, Error: X: -0.12639, Y: 0.00208448, Z: 3.12431, 
Current Pose: X: 0.126393, Y: -0.00210502, Z: -3.12375, Yaw: 1.58166, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126393, Y: 0.00210502, Z: 3.12375, Velocity_in: X: -1.88592e-05, Y: 0.00107072, Z: 0.0315005, Error: X: -0.126393, Y: 0.00210502, Z: 3.12375, 
