Current Pose: X: 0.581979, Y: -0.054533, Z: -1.28217, Yaw: 1.01058, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581979, Y: 0.054533, Z: 1.28217, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.581979, Y: 0.054533, Z: 1.28217, 
Current Pose: X: 0.581944, Y: -0.0545522, Z: -1.28236, Yaw: 1.01059, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581944, Y: 0.0545522, Z: 1.28236, Velocity_in: X: -0.00248557, Y: -0.00101159, Z: 0.00349374, Error: X: -0.581944, Y: 0.0545522, Z: 1.28236, 
Current Pose: X: 0.581902, Y: -0.05458, Z: -1.28251, Yaw: 1.01062, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581902, Y: 0.05458, Z: 1.28251, Velocity_in: X: -0.00243285, Y: -0.0010225, Z: 0.00350228, Error: X: -0.581902, Y: 0.05458, Z: 1.28251, 
Current Pose: X: 0.581878, Y: -0.0546063, Z: -1.28254, Yaw: 1.01066, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581878, Y: 0.0546063, Z: 1.28254, Velocity_in: X: -0.00241911, Y: -0.000998784, Z: 0.00347554, Error: X: -0.581878, Y: 0.0546063, Z: 1.28254, 
Current Pose: X: 0.581845, Y: -0.0546429, Z: -1.28265, Yaw: 1.01068, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581845, Y: 0.0546429, Z: 1.28265, Velocity_in: X: -0.00238597, Y: -0.00105448, Z: 0.00345516, Error: X: -0.581845, Y: 0.0546429, Z: 1.28265, 
Current Pose: X: 0.581828, Y: -0.0546754, Z: -1.28278, Yaw: 1.01071, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581828, Y: 0.0546754, Z: 1.28278, Velocity_in: X: -0.00251671, Y: -0.00104889, Z: 0.00330658, Error: X: -0.581828, Y: 0.0546754, Z: 1.28278, 
Current Pose: X: 0.581818, Y: -0.054709, Z: -1.28297, Yaw: 1.01074, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581818, Y: 0.054709, Z: 1.28297, Velocity_in: X: -0.00240397, Y: -0.00111618, Z: 0.00324104, Error: X: -0.581818, Y: 0.054709, Z: 1.28297, 
Current Pose: X: 0.581808, Y: -0.0547413, Z: -1.28318, Yaw: 1.01075, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581808, Y: 0.0547413, Z: 1.28318, Velocity_in: X: -0.00233688, Y: -0.00126566, Z: 0.00311342, Error: X: -0.581808, Y: 0.0547413, Z: 1.28318, 
Current Pose: X: 0.581794, Y: -0.0547889, Z: -1.28342, Yaw: 1.01078, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581794, Y: 0.0547889, Z: 1.28342, Velocity_in: X: -0.00240106, Y: -0.00131357, Z: 0.00289827, Error: X: -0.581794, Y: 0.0547889, Z: 1.28342, 
Current Pose: X: 0.581791, Y: -0.0548284, Z: -1.28356, Yaw: 1.01082, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581791, Y: 0.0548284, Z: 1.28356, Velocity_in: X: -0.00240591, Y: -0.00129076, Z: 0.00272938, Error: X: -0.581791, Y: 0.0548284, Z: 1.28356, 
Current Pose: X: 0.581791, Y: -0.0548701, Z: -1.28367, Yaw: 1.01085, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581791, Y: 0.0548701, Z: 1.28367, Velocity_in: X: -0.00246741, Y: -0.00137804, Z: 0.00260923, Error: X: -0.581791, Y: 0.0548701, Z: 1.28367, 
Current Pose: X: 0.58179, Y: -0.054927, Z: -1.28382, Yaw: 1.01089, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.58179, Y: 0.054927, Z: 1.28382, Velocity_in: X: -0.00249655, Y: -0.00143823, Z: 0.00260875, Error: X: -0.58179, Y: 0.054927, Z: 1.28382, 
Current Pose: X: 0.581776, Y: -0.0549629, Z: -1.28392, Yaw: 1.01093, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581776, Y: 0.0549629, Z: 1.28392, Velocity_in: X: -0.00250043, Y: -0.00154933, Z: 0.00247724, Error: X: -0.581776, Y: 0.0549629, Z: 1.28392, 
Current Pose: X: 0.581759, Y: -0.0549998, Z: -1.28403, Yaw: 1.01096, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.581759, Y: 0.0549998, Z: 1.28403, Velocity_in: X: -0.00253633, Y: -0.00136171, Z: 0.00246638, Error: X: -0.581759, Y: 0.0549998, Z: 1.28403, 
Current Pose: X: 0.58175, Y: -0.0550452, Z: -1.28412, Yaw: 1.01097, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.58175, Y: 0.0550452, Z: 1.28412, Velocity_in: X: -0.00260617, Y: -0.00129834, Z: 0.00245135, Error: X: -0.58175, Y: 0.0550452, Z: 1.28412, 
