Current Pose: X: 0.00451121, Y: -0.723771, Z: -2.50615, Yaw: 1.90209, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00451121, Y: 0.723771, Z: 2.50615, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00451121, Y: 0.723771, Z: 2.50615, 
Current Pose: X: 0.00449536, Y: -0.723814, Z: -2.50687, Yaw: 1.90205, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00449536, Y: 0.723814, Z: 2.50687, Velocity_in: X: -0.000453783, Y: 0.000378051, Z: 0.00502191, Error: X: -0.00449536, Y: 0.723814, Z: 2.50687, 
Current Pose: X: 0.00448469, Y: -0.723844, Z: -2.50733, Yaw: 1.90199, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00448469, Y: 0.723844, Z: 2.50733, Velocity_in: X: -0.000457676, Y: 0.000188379, Z: 0.0052776, Error: X: -0.00448469, Y: 0.723844, Z: 2.50733, 
Current Pose: X: 0.00446644, Y: -0.723883, Z: -2.50786, Yaw: 1.90198, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00446644, Y: 0.723883, Z: 2.50786, Velocity_in: X: -0.000295025, Y: 0.000363928, Z: 0.00519566, Error: X: -0.00446644, Y: 0.723883, Z: 2.50786, 
Current Pose: X: 0.00444034, Y: -0.723918, Z: -2.50838, Yaw: 1.90197, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00444034, Y: 0.723918, Z: 2.50838, Velocity_in: X: -0.000281633, Y: 0.000779956, Z: 0.00530978, Error: X: -0.00444034, Y: 0.723918, Z: 2.50838, 
Current Pose: X: 0.00442514, Y: -0.723932, Z: -2.50878, Yaw: 1.90196, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00442514, Y: 0.723932, Z: 2.50878, Velocity_in: X: 0.000173868, Y: 0.000645442, Z: 0.00549827, Error: X: -0.00442514, Y: 0.723932, Z: 2.50878, 
Current Pose: X: 0.00441494, Y: -0.72395, Z: -2.50926, Yaw: 1.90196, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00441494, Y: 0.72395, Z: 2.50926, Velocity_in: X: 0.000351132, Y: 0.000326745, Z: 0.00578867, Error: X: -0.00441494, Y: 0.72395, Z: 2.50926, 
Current Pose: X: 0.00440559, Y: -0.723973, Z: -2.50972, Yaw: 1.9019, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00440559, Y: 0.723973, Z: 2.50972, Velocity_in: X: 0.00035682, Y: 0.000228937, Z: 0.00616118, Error: X: -0.00440559, Y: 0.723973, Z: 2.50972, 
Current Pose: X: 0.00439994, Y: -0.723995, Z: -2.51015, Yaw: 1.90191, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00439994, Y: 0.723995, Z: 2.51015, Velocity_in: X: 0.000368467, Y: 0.000204628, Z: 0.00571295, Error: X: -0.00439994, Y: 0.723995, Z: 2.51015, 
Current Pose: X: 0.00439796, Y: -0.724018, Z: -2.51046, Yaw: 1.90188, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00439796, Y: 0.724018, Z: 2.51046, Velocity_in: X: 0.000227504, Y: 0.000241219, Z: 0.00581798, Error: X: -0.00439796, Y: 0.724018, Z: 2.51046, 
Current Pose: X: 0.00438751, Y: -0.724048, Z: -2.51097, Yaw: 1.90183, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00438751, Y: 0.724048, Z: 2.51097, Velocity_in: X: 6.14324e-05, Y: 0.000205331, Z: 0.00590569, Error: X: -0.00438751, Y: 0.724048, Z: 2.51097, 
