Current Pose: X: -0.0740908, Y: -0.702225, Z: -0.584241, Yaw: 1.76176, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740908, Y: 0.702225, Z: 0.584241, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.0740908, Y: 0.702225, Z: 0.584241, 
Current Pose: X: -0.0740869, Y: -0.702193, Z: -0.584094, Yaw: 1.76173, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740869, Y: 0.702193, Z: 0.584094, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.0740869, Y: 0.702193, Z: 0.584094, 
Current Pose: X: -0.0740799, Y: -0.702183, Z: -0.583954, Yaw: 1.76176, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740799, Y: 0.702183, Z: 0.583954, Velocity_in: X: -0.00183788, Y: 0.00136477, Z: 0.00729981, Error: X: 0.0740799, Y: 0.702183, Z: 0.583954, 
Current Pose: X: -0.0740695, Y: -0.702168, Z: -0.583733, Yaw: 1.76172, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740695, Y: 0.702168, Z: 0.583733, Velocity_in: X: -0.00187446, Y: 0.00134809, Z: 0.00709456, Error: X: 0.0740695, Y: 0.702168, Z: 0.583733, 
Current Pose: X: -0.0740511, Y: -0.702163, Z: -0.583421, Yaw: 1.76172, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740511, Y: 0.702163, Z: 0.583421, Velocity_in: X: -0.00186247, Y: 0.00148484, Z: 0.00740182, Error: X: 0.0740511, Y: 0.702163, Z: 0.583421, 
Current Pose: X: -0.0740315, Y: -0.702163, Z: -0.583146, Yaw: 1.7617, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0740315, Y: 0.702163, Z: 0.583146, Velocity_in: X: -0.001829, Y: 0.00127217, Z: 0.00710666, Error: X: 0.0740315, Y: 0.702163, Z: 0.583146, 
Current Pose: X: -0.074011, Y: -0.702171, Z: -0.582817, Yaw: 1.76174, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.074011, Y: 0.702171, Z: 0.582817, Velocity_in: X: -0.00188289, Y: 0.00146356, Z: 0.00708068, Error: X: 0.074011, Y: 0.702171, Z: 0.582817, 
Current Pose: X: -0.0739896, Y: -0.702185, Z: -0.582593, Yaw: 1.7617, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0739896, Y: 0.702185, Z: 0.582593, Velocity_in: X: -0.00184439, Y: 0.00137748, Z: 0.00731445, Error: X: 0.0739896, Y: 0.702185, Z: 0.582593, 
Current Pose: X: -0.073966, Y: -0.702211, Z: -0.582288, Yaw: 1.7617, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.073966, Y: 0.702211, Z: 0.582288, Velocity_in: X: -0.00199684, Y: 0.00142316, Z: 0.00755808, Error: X: 0.073966, Y: 0.702211, Z: 0.582288, 
Current Pose: X: -0.0739399, Y: -0.702231, Z: -0.582036, Yaw: 1.76171, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0739399, Y: 0.702231, Z: 0.582036, Velocity_in: X: -0.00218833, Y: 0.00136949, Z: 0.00808037, Error: X: 0.0739399, Y: 0.702231, Z: 0.582036, 
Current Pose: X: -0.0738992, Y: -0.702264, Z: -0.581619, Yaw: 1.76172, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0738992, Y: 0.702264, Z: 0.581619, Velocity_in: X: -0.0020753, Y: 0.00118463, Z: 0.00797249, Error: X: 0.0738992, Y: 0.702264, Z: 0.581619, 
