Current Pose: X: 0.00174405, Y: -0.00555725, Z: -0.0023941, Yaw: 1.84776, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00174405, Y: 0.00555725, Z: 0.0023941, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00174405, Y: 0.00555725, Z: 0.0023941, 
Current Pose: X: 0.00162422, Y: -0.00604489, Z: -0.00218389, Yaw: 1.84776, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00162422, Y: 0.00604489, Z: 0.00218389, Velocity_in: X: 0.00602674, Y: -0.000600223, Z: 0.00291203, Error: X: -0.00162422, Y: 0.00604489, Z: 0.00218389, 
Current Pose: X: 0.00163191, Y: -0.0061389, Z: -0.0019361, Yaw: 1.84776, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00163191, Y: 0.0061389, Z: 0.0019361, Velocity_in: X: 0.00107084, Y: -8.82948e-05, Z: 0.00278465, Error: X: -0.00163191, Y: 0.0061389, Z: 0.0019361, 
Current Pose: X: 0.00163998, Y: -0.00626525, Z: -0.00119244, Yaw: 1.84775, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00163998, Y: 0.00626525, Z: 0.00119244, Velocity_in: X: 0.00122632, Y: -0.000139302, Z: 0.0028069, Error: X: -0.00163998, Y: 0.00626525, Z: 0.00119244, 
Current Pose: X: 0.00164533, Y: -0.00636356, Z: -0.000621527, Yaw: 1.84777, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164533, Y: 0.00636356, Z: 0.000621527, Velocity_in: X: 0.00153643, Y: -1.0356e-05, Z: 0.00278188, Error: X: -0.00164533, Y: 0.00636356, Z: 0.000621527, 
Current Pose: X: 0.00164866, Y: -0.00645114, Z: -4.1713e-05, Yaw: 1.84777, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164866, Y: 0.00645114, Z: 4.1713e-05, Velocity_in: X: 0.00162485, Y: 4.19007e-05, Z: 0.00267221, Error: X: -0.00164866, Y: 0.00645114, Z: 4.1713e-05, 
Current Pose: X: 0.00164708, Y: -0.00653489, Z: 0.000741333, Yaw: 1.84776, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164708, Y: 0.00653489, Z: -0.000741333, Velocity_in: X: 0.00169632, Y: 4.50552e-05, Z: 0.00269039, Error: X: -0.00164708, Y: 0.00653489, Z: -0.000741333, 
Current Pose: X: 0.00164296, Y: -0.00657271, Z: 0.00132966, Yaw: 1.84775, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164296, Y: 0.00657271, Z: -0.00132966, Velocity_in: X: 0.00217668, Y: 1.88475e-05, Z: 0.00242919, Error: X: -0.00164296, Y: 0.00657271, Z: -0.00132966, 
Current Pose: X: 0.00163333, Y: -0.00659517, Z: 0.00197242, Yaw: 1.84775, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00163333, Y: 0.00659517, Z: -0.00197242, Velocity_in: X: 0.00237652, Y: 6.67226e-05, Z: 0.00244543, Error: X: -0.00163333, Y: 0.00659517, Z: -0.00197242, 
Current Pose: X: 0.00162035, Y: -0.0066042, Z: 0.00254979, Yaw: 1.84775, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00162035, Y: 0.0066042, Z: -0.00254979, Velocity_in: X: 0.00242041, Y: 0.000185957, Z: 0.00252728, Error: X: -0.00162035, Y: 0.0066042, Z: -0.00254979, 
Current Pose: X: 0.00160979, Y: -0.00662542, Z: 0.00291881, Yaw: 1.84774, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00160979, Y: 0.00662542, Z: -0.00291881, Velocity_in: X: 0.00264976, Y: 9.96362e-05, Z: 0.00252913, Error: X: -0.00160979, Y: 0.00662542, Z: -0.00291881, 
