Current Pose: X: -0.627796, Y: -1.21693, Z: -2.48263, Yaw: 1.58718, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627796, Y: 1.21693, Z: 2.48263, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.627796, Y: 1.21693, Z: 2.48263, 
Current Pose: X: -0.62781, Y: -1.21695, Z: -2.48276, Yaw: 1.5872, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.62781, Y: 1.21695, Z: 2.48276, Velocity_in: X: 0.00137349, Y: 0.00245002, Z: 0.00981551, Error: X: 0.62781, Y: 1.21695, Z: 2.48276, 
Current Pose: X: -0.627797, Y: -1.21696, Z: -2.48281, Yaw: 1.58722, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627797, Y: 1.21696, Z: 2.48281, Velocity_in: X: 0.00168079, Y: 0.00232647, Z: 0.0101941, Error: X: 0.627797, Y: 1.21696, Z: 2.48281, 
Current Pose: X: -0.627778, Y: -1.21699, Z: -2.48284, Yaw: 1.58715, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627778, Y: 1.21699, Z: 2.48284, Velocity_in: X: 0.00166484, Y: 0.00241682, Z: 0.0105425, Error: X: 0.627778, Y: 1.21699, Z: 2.48284, 
Current Pose: X: -0.627758, Y: -1.217, Z: -2.4828, Yaw: 1.58717, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627758, Y: 1.217, Z: 2.4828, Velocity_in: X: 0.00167984, Y: 0.00184148, Z: 0.0105723, Error: X: 0.627758, Y: 1.217, Z: 2.4828, 
Current Pose: X: -0.62773, Y: -1.21701, Z: -2.48279, Yaw: 1.58718, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.62773, Y: 1.21701, Z: 2.48279, Velocity_in: X: 0.00192813, Y: 0.00166854, Z: 0.0108572, Error: X: 0.62773, Y: 1.21701, Z: 2.48279, 
Current Pose: X: -0.627691, Y: -1.21702, Z: -2.48283, Yaw: 1.58715, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627691, Y: 1.21702, Z: 2.48283, Velocity_in: X: 0.00193886, Y: 0.0015217, Z: 0.010997, Error: X: 0.627691, Y: 1.21702, Z: 2.48283, 
Current Pose: X: -0.627632, Y: -1.21705, Z: -2.48288, Yaw: 1.58714, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627632, Y: 1.21705, Z: 2.48288, Velocity_in: X: 0.00156157, Y: 0.000891553, Z: 0.0107571, Error: X: 0.627632, Y: 1.21705, Z: 2.48288, 
Current Pose: X: -0.627559, Y: -1.21707, Z: -2.48294, Yaw: 1.58706, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627559, Y: 1.21707, Z: 2.48294, Velocity_in: X: 0.00138052, Y: 0.000837573, Z: 0.0106439, Error: X: 0.627559, Y: 1.21707, Z: 2.48294, 
Current Pose: X: -0.627489, Y: -1.21709, Z: -2.48316, Yaw: 1.58703, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627489, Y: 1.21709, Z: 2.48316, Velocity_in: X: 0.00169724, Y: 0.000910139, Z: 0.0105783, Error: X: 0.627489, Y: 1.21709, Z: 2.48316, 
Current Pose: X: -0.627425, Y: -1.2171, Z: -2.48314, Yaw: 1.58703, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627425, Y: 1.2171, Z: 2.48314, Velocity_in: X: 0.00180426, Y: 0.000228965, Z: 0.0108615, Error: X: 0.627425, Y: 1.2171, Z: 2.48314, 
Current Pose: X: -0.62734, Y: -1.21711, Z: -2.48308, Yaw: 1.58693, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.62734, Y: 1.21711, Z: 2.48308, Velocity_in: X: 0.00195289, Y: -2.21925e-05, Z: 0.0109788, Error: X: 0.62734, Y: 1.21711, Z: 2.48308, 
Current Pose: X: -0.627267, Y: -1.21712, Z: -2.48292, Yaw: 1.58692, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627267, Y: 1.21712, Z: 2.48292, Velocity_in: X: 0.00185623, Y: -8.31467e-05, Z: 0.0113693, Error: X: 0.627267, Y: 1.21712, Z: 2.48292, 
Current Pose: X: -0.627201, Y: -1.21714, Z: -2.48283, Yaw: 1.5869, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627201, Y: 1.21714, Z: 2.48283, Velocity_in: X: 0.0020807, Y: -8.75439e-05, Z: 0.0120821, Error: X: 0.627201, Y: 1.21714, Z: 2.48283, 
Current Pose: X: -0.627155, Y: -1.21715, Z: -2.48271, Yaw: 1.58685, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627155, Y: 1.21715, Z: 2.48271, Velocity_in: X: 0.00199469, Y: -5.57397e-05, Z: 0.0120423, Error: X: 0.627155, Y: 1.21715, Z: 2.48271, 
Current Pose: X: -0.627108, Y: -1.21716, Z: -2.48275, Yaw: 1.58682, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627108, Y: 1.21716, Z: 2.48275, Velocity_in: X: 0.00180998, Y: -2.96334e-05, Z: 0.0118154, Error: X: 0.627108, Y: 1.21716, Z: 2.48275, 
Current Pose: X: -0.627052, Y: -1.21715, Z: -2.48285, Yaw: 1.58682, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627052, Y: 1.21715, Z: 2.48285, Velocity_in: X: 0.00229982, Y: 7.75293e-06, Z: 0.0122902, Error: X: 0.627052, Y: 1.21715, Z: 2.48285, 
Current Pose: X: -0.627015, Y: -1.21714, Z: -2.48292, Yaw: 1.58678, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627015, Y: 1.21714, Z: 2.48292, Velocity_in: X: 0.00244691, Y: -0.000373726, Z: 0.011967, Error: X: 0.627015, Y: 1.21714, Z: 2.48292, 
Current Pose: X: -0.626963, Y: -1.21712, Z: -2.48291, Yaw: 1.58676, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626963, Y: 1.21712, Z: 2.48291, Velocity_in: X: 0.00244913, Y: -0.000108768, Z: 0.0121594, Error: X: 0.626963, Y: 1.21712, Z: 2.48291, 
Current Pose: X: -0.626913, Y: -1.21711, Z: -2.48276, Yaw: 1.58676, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626913, Y: 1.21711, Z: 2.48276, Velocity_in: X: 0.00274266, Y: -0.000416172, Z: 0.0122265, Error: X: 0.626913, Y: 1.21711, Z: 2.48276, 
Current Pose: X: -0.626877, Y: -1.21708, Z: -2.48254, Yaw: 1.58676, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626877, Y: 1.21708, Z: 2.48254, Velocity_in: X: 0.00296688, Y: -0.000346492, Z: 0.0122658, Error: X: 0.626877, Y: 1.21708, Z: 2.48254, 
Current Pose: X: -0.626865, Y: -1.21705, Z: -2.48247, Yaw: 1.58674, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626865, Y: 1.21705, Z: 2.48247, Velocity_in: X: 0.0032283, Y: 0.000141716, Z: 0.0122443, Error: X: 0.626865, Y: 1.21705, Z: 2.48247, 
Current Pose: X: -0.626866, Y: -1.21701, Z: -2.48246, Yaw: 1.58676, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626866, Y: 1.21701, Z: 2.48246, Velocity_in: X: 0.00339571, Y: 3.95007e-05, Z: 0.0123106, Error: X: 0.626866, Y: 1.21701, Z: 2.48246, 
Current Pose: X: -0.62686, Y: -1.21698, Z: -2.48234, Yaw: 1.58675, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.62686, Y: 1.21698, Z: 2.48234, Velocity_in: X: 0.00317164, Y: -6.64261e-05, Z: 0.0124505, Error: X: 0.62686, Y: 1.21698, Z: 2.48234, 
Current Pose: X: -0.626868, Y: -1.21695, Z: -2.48227, Yaw: 1.58674, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626868, Y: 1.21695, Z: 2.48227, Velocity_in: X: 0.0032359, Y: 9.46689e-05, Z: 0.0128201, Error: X: 0.626868, Y: 1.21695, Z: 2.48227, 
Current Pose: X: -0.626881, Y: -1.21692, Z: -2.48211, Yaw: 1.58672, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626881, Y: 1.21692, Z: 2.48211, Velocity_in: X: 0.00323726, Y: 6.91552e-05, Z: 0.0130464, Error: X: 0.626881, Y: 1.21692, Z: 2.48211, 
Current Pose: X: -0.626899, Y: -1.21688, Z: -2.48186, Yaw: 1.58665, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626899, Y: 1.21688, Z: 2.48186, Velocity_in: X: 0.00372921, Y: 0.000186426, Z: 0.0131073, Error: X: 0.626899, Y: 1.21688, Z: 2.48186, 
Current Pose: X: -0.626922, Y: -1.21687, Z: -2.48171, Yaw: 1.58663, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626922, Y: 1.21687, Z: 2.48171, Velocity_in: X: 0.00366447, Y: 0.000445042, Z: 0.0129373, Error: X: 0.626922, Y: 1.21687, Z: 2.48171, 
Current Pose: X: -0.626962, Y: -1.21684, Z: -2.48164, Yaw: 1.58659, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626962, Y: 1.21684, Z: 2.48164, Velocity_in: X: 0.00368336, Y: 0.000685235, Z: 0.0131186, Error: X: 0.626962, Y: 1.21684, Z: 2.48164, 
Current Pose: X: -0.626988, Y: -1.21684, Z: -2.4814, Yaw: 1.58661, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.626988, Y: 1.21684, Z: 2.4814, Velocity_in: X: 0.00365949, Y: 0.000274908, Z: 0.0133208, Error: X: 0.626988, Y: 1.21684, Z: 2.4814, 
Current Pose: X: -0.627017, Y: -1.21684, Z: -2.48116, Yaw: 1.58656, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627017, Y: 1.21684, Z: 2.48116, Velocity_in: X: 0.00297731, Y: 0.000100894, Z: 0.0134914, Error: X: 0.627017, Y: 1.21684, Z: 2.48116, 
Current Pose: X: -0.627057, Y: -1.21685, Z: -2.4809, Yaw: 1.58655, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627057, Y: 1.21685, Z: 2.4809, Velocity_in: X: 0.00300602, Y: -0.000255806, Z: 0.0130682, Error: X: 0.627057, Y: 1.21685, Z: 2.4809, 
Current Pose: X: -0.627083, Y: -1.21688, Z: -2.48069, Yaw: 1.58653, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627083, Y: 1.21688, Z: 2.48069, Velocity_in: X: 0.00264509, Y: -0.000389639, Z: 0.0132767, Error: X: 0.627083, Y: 1.21688, Z: 2.48069, 
Current Pose: X: -0.627116, Y: -1.21693, Z: -2.48056, Yaw: 1.58655, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627116, Y: 1.21693, Z: 2.48056, Velocity_in: X: 0.00197233, Y: -0.000575988, Z: 0.0136441, Error: X: 0.627116, Y: 1.21693, Z: 2.48056, 
Current Pose: X: -0.627146, Y: -1.21697, Z: -2.48063, Yaw: 1.58652, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627146, Y: 1.21697, Z: 2.48063, Velocity_in: X: 0.00205219, Y: -0.000343265, Z: 0.0138762, Error: X: 0.627146, Y: 1.21697, Z: 2.48063, 
Current Pose: X: -0.627193, Y: -1.21704, Z: -2.48077, Yaw: 1.58651, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627193, Y: 1.21704, Z: 2.48077, Velocity_in: X: 0.00193531, Y: -0.000533796, Z: 0.0133356, Error: X: 0.627193, Y: 1.21704, Z: 2.48077, 
Current Pose: X: -0.627252, Y: -1.21713, Z: -2.48108, Yaw: 1.5865, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627252, Y: 1.21713, Z: 2.48108, Velocity_in: X: 0.00151459, Y: -0.000759931, Z: 0.0129566, Error: X: 0.627252, Y: 1.21713, Z: 2.48108, 
Current Pose: X: -0.62729, Y: -1.21721, Z: -2.48127, Yaw: 1.58651, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.62729, Y: 1.21721, Z: 2.48127, Velocity_in: X: 0.000837455, Y: -0.000540895, Z: 0.0131858, Error: X: 0.62729, Y: 1.21721, Z: 2.48127, 
Current Pose: X: -0.627349, Y: -1.21733, Z: -2.48147, Yaw: 1.58647, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.627349, Y: 1.21733, Z: 2.48147, Velocity_in: X: 0.000781261, Y: -0.00075359, Z: 0.0134817, Error: X: 0.627349, Y: 1.21733, Z: 2.48147, 
