Current Pose: X: 0.00162584, Y: -0.00755262, Z: -3.44274, Yaw: 1.87959, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00162584, Y: 0.00755262, Z: 3.44274, Velocity_in: X: -0.00431135, Y: -0.000311833, Z: -0.00190435, Error: X: -0.00162584, Y: 0.00755262, Z: 3.44274, 
Current Pose: X: 0.00166205, Y: -0.00759278, Z: -3.44349, Yaw: 1.87953, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00166205, Y: 0.00759278, Z: 3.44349, Velocity_in: X: -0.00425242, Y: -0.000288149, Z: -0.00246622, Error: X: -0.00166205, Y: 0.00759278, Z: 3.44349, 
Current Pose: X: 0.00172222, Y: -0.00765521, Z: -3.44454, Yaw: 1.87956, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00172222, Y: 0.00765521, Z: 3.44454, Velocity_in: X: -0.00441588, Y: -0.00059021, Z: -0.00217086, Error: X: -0.00172222, Y: 0.00765521, Z: 3.44454, 
Current Pose: X: 0.00177987, Y: -0.00769568, Z: -3.44559, Yaw: 1.87956, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00177987, Y: 0.00769568, Z: 3.44559, Velocity_in: X: -0.00479268, Y: -0.00078727, Z: -0.0024079, Error: X: -0.00177987, Y: 0.00769568, Z: 3.44559, 
Current Pose: X: 0.00182098, Y: -0.00769936, Z: -3.4467, Yaw: 1.87954, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00182098, Y: 0.00769936, Z: 3.4467, Velocity_in: X: -0.00495559, Y: -0.00117659, Z: -0.00271381, Error: X: -0.00182098, Y: 0.00769936, Z: 3.4467, 
Current Pose: X: 0.00185792, Y: -0.00771646, Z: -3.44745, Yaw: 1.87953, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00185792, Y: 0.00771646, Z: 3.44745, Velocity_in: X: -0.00476952, Y: -0.000958345, Z: -0.00316452, Error: X: -0.00185792, Y: 0.00771646, Z: 3.44745, 
Current Pose: X: 0.00192001, Y: -0.00774322, Z: -3.44827, Yaw: 1.8795, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00192001, Y: 0.00774322, Z: 3.44827, Velocity_in: X: -0.00501807, Y: -0.0012612, Z: -0.00370284, Error: X: -0.00192001, Y: 0.00774322, Z: 3.44827, 
Current Pose: X: 0.0020103, Y: -0.00779364, Z: -3.44915, Yaw: 1.87951, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0020103, Y: 0.00779364, Z: 3.44915, Velocity_in: X: -0.00519709, Y: -0.00167767, Z: -0.00351566, Error: X: -0.0020103, Y: 0.00779364, Z: 3.44915, 
Current Pose: X: 0.00207022, Y: -0.0078396, Z: -3.44977, Yaw: 1.87949, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00207022, Y: 0.0078396, Z: 3.44977, Velocity_in: X: -0.00549998, Y: -0.00187034, Z: -0.00393658, Error: X: -0.00207022, Y: 0.0078396, Z: 3.44977, 
Current Pose: X: 0.00212915, Y: -0.00788524, Z: -3.45047, Yaw: 1.87947, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00212915, Y: 0.00788524, Z: 3.45047, Velocity_in: X: -0.00542701, Y: -0.00154811, Z: -0.00404107, Error: X: -0.00212915, Y: 0.00788524, Z: 3.45047, 
Current Pose: X: 0.00214854, Y: -0.00788371, Z: -3.4511, Yaw: 1.87941, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00214854, Y: 0.00788371, Z: 3.4511, Velocity_in: X: -0.00567095, Y: -0.00144692, Z: -0.00429745, Error: X: -0.00214854, Y: 0.00788371, Z: 3.4511, 
