Current Pose: X: -0.736842, Y: 0.793646, Z: -1.32255, Yaw: 1.7698, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736842, Y: -0.793646, Z: 1.32255, Velocity_in: X: 0.000116052, Y: -0.00108094, Z: 0.00219118, Error: X: 0.736842, Y: -0.793646, Z: 1.32255, 
Current Pose: X: -0.736813, Y: 0.793567, Z: -1.32276, Yaw: 1.76978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736813, Y: -0.793567, Z: 1.32276, Velocity_in: X: -0.000279884, Y: -0.00103276, Z: 0.00151251, Error: X: 0.736813, Y: -0.793567, Z: 1.32276, 
Current Pose: X: -0.736786, Y: 0.7935, Z: -1.32284, Yaw: 1.76978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736786, Y: -0.7935, Z: 1.32284, Velocity_in: X: -0.000629956, Y: -0.000977083, Z: 0.00162089, Error: X: 0.736786, Y: -0.7935, Z: 1.32284, 
Current Pose: X: -0.736749, Y: 0.79341, Z: -1.3229, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736749, Y: -0.79341, Z: 1.3229, Velocity_in: X: -0.000721305, Y: -0.00100792, Z: 0.00160983, Error: X: 0.736749, Y: -0.79341, Z: 1.3229, 
Current Pose: X: -0.736715, Y: 0.793333, Z: -1.32286, Yaw: 1.76977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736715, Y: -0.793333, Z: 1.32286, Velocity_in: X: -0.000348794, Y: -0.00169272, Z: 0.00153617, Error: X: 0.736715, Y: -0.793333, Z: 1.32286, 
Current Pose: X: -0.736695, Y: 0.793251, Z: -1.32275, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736695, Y: -0.793251, Z: 1.32275, Velocity_in: X: -0.000359121, Y: -0.0016304, Z: 0.00183433, Error: X: 0.736695, Y: -0.793251, Z: 1.32275, 
Current Pose: X: -0.73669, Y: 0.793195, Z: -1.32268, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73669, Y: -0.793195, Z: 1.32268, Velocity_in: X: -0.000146907, Y: -0.00146333, Z: 0.0019519, Error: X: 0.73669, Y: -0.793195, Z: 1.32268, 
Current Pose: X: -0.736672, Y: 0.793121, Z: -1.32248, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736672, Y: -0.793121, Z: 1.32248, Velocity_in: X: -0.000289137, Y: -0.00130849, Z: 0.001451, Error: X: 0.736672, Y: -0.793121, Z: 1.32248, 
Current Pose: X: -0.736664, Y: 0.793058, Z: -1.32236, Yaw: 1.76978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736664, Y: -0.793058, Z: 1.32236, Velocity_in: X: -0.0002179, Y: -0.00148385, Z: 0.00171866, Error: X: 0.736664, Y: -0.793058, Z: 1.32236, 
Current Pose: X: -0.736663, Y: 0.793021, Z: -1.32229, Yaw: 1.76979, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736663, Y: -0.793021, Z: 1.32229, Velocity_in: X: -3.28645e-05, Y: -0.001342, Z: 0.00145969, Error: X: 0.736663, Y: -0.793021, Z: 1.32229, 
