Current Pose: X: -0.032351, Y: -0.101884, Z: -4.21721, Yaw: 1.75378, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032351, Y: 0.101884, Z: 4.21721, Velocity_in: X: -0.00377573, Y: 0.00058129, Z: 0.00205593, Error: X: 0.032351, Y: 0.101884, Z: 4.21721, 
Current Pose: X: -0.0324022, Y: -0.101969, Z: -4.21723, Yaw: 1.75383, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324022, Y: 0.101969, Z: 4.21723, Velocity_in: X: -0.00383814, Y: 0.000752684, Z: 0.00211806, Error: X: 0.0324022, Y: 0.101969, Z: 4.21723, 
Current Pose: X: -0.0324432, Y: -0.102044, Z: -4.21724, Yaw: 1.75396, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324432, Y: 0.102044, Z: 4.21724, Velocity_in: X: -0.00402903, Y: 0.000790649, Z: 0.00220352, Error: X: 0.0324432, Y: 0.102044, Z: 4.21724, 
Current Pose: X: -0.0324629, Y: -0.102115, Z: -4.21728, Yaw: 1.7541, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324629, Y: 0.102115, Z: 4.21728, Velocity_in: X: -0.00388593, Y: 0.000824589, Z: 0.0023474, Error: X: 0.0324629, Y: 0.102115, Z: 4.21728, 
Current Pose: X: -0.0324784, Y: -0.102156, Z: -4.21729, Yaw: 1.75417, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324784, Y: 0.102156, Z: 4.21729, Velocity_in: X: -0.00396855, Y: 0.000685363, Z: 0.00235086, Error: X: 0.0324784, Y: 0.102156, Z: 4.21729, 
Current Pose: X: -0.0324865, Y: -0.102203, Z: -4.21729, Yaw: 1.75425, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324865, Y: 0.102203, Z: 4.21729, Velocity_in: X: -0.00365151, Y: 0.000432931, Z: 0.00220072, Error: X: 0.0324865, Y: 0.102203, Z: 4.21729, 
Current Pose: X: -0.0324933, Y: -0.102255, Z: -4.21712, Yaw: 1.75428, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0324933, Y: 0.102255, Z: 4.21712, Velocity_in: X: -0.00359779, Y: 0.000298587, Z: 0.00231524, Error: X: 0.0324933, Y: 0.102255, Z: 4.21712, 
Current Pose: X: -0.0325017, Y: -0.102286, Z: -4.21703, Yaw: 1.75431, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325017, Y: 0.102286, Z: 4.21703, Velocity_in: X: -0.00325707, Y: 0.000482353, Z: 0.00247234, Error: X: 0.0325017, Y: 0.102286, Z: 4.21703, 
Current Pose: X: -0.0325396, Y: -0.102325, Z: -4.21698, Yaw: 1.75436, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325396, Y: 0.102325, Z: 4.21698, Velocity_in: X: -0.00302093, Y: 0.000664537, Z: 0.00234947, Error: X: 0.0325396, Y: 0.102325, Z: 4.21698, 
Current Pose: X: -0.0325775, Y: -0.102344, Z: -4.21696, Yaw: 1.7545, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325775, Y: 0.102344, Z: 4.21696, Velocity_in: X: -0.00279158, Y: 0.00116446, Z: 0.00204936, Error: X: 0.0325775, Y: 0.102344, Z: 4.21696, 
