Current Pose: X: 0.00154122, Y: -0.00581391, Z: -0.378665, Yaw: 1.86251, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00154122, Y: 0.00581391, Z: 0.378665, Velocity_in: X: 0.00410988, Y: 0.000263589, Z: 0.000578148, Error: X: -0.00154122, Y: 0.00581391, Z: 0.378665, 
Current Pose: X: 0.00152077, Y: -0.00577004, Z: -0.378717, Yaw: 1.86252, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00152077, Y: 0.00577004, Z: 0.378717, Velocity_in: X: 0.00415646, Y: 0.000234447, Z: 0.00059407, Error: X: -0.00152077, Y: 0.00577004, Z: 0.378717, 
Current Pose: X: 0.00149228, Y: -0.00569785, Z: -0.378775, Yaw: 1.86251, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00149228, Y: 0.00569785, Z: 0.378775, Velocity_in: X: 0.00422312, Y: 0.000159924, Z: 0.000623819, Error: X: -0.00149228, Y: 0.00569785, Z: 0.378775, 
Current Pose: X: 0.00147223, Y: -0.00563207, Z: -0.378892, Yaw: 1.86251, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00147223, Y: 0.00563207, Z: 0.378892, Velocity_in: X: 0.00431276, Y: 4.87859e-05, Z: 0.000551014, Error: X: -0.00147223, Y: 0.00563207, Z: 0.378892, 
Current Pose: X: 0.00147215, Y: -0.0056084, Z: -0.379037, Yaw: 1.86251, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00147215, Y: 0.0056084, Z: 0.379037, Velocity_in: X: 0.00437188, Y: -6.91964e-05, Z: 0.000595563, Error: X: -0.00147215, Y: 0.0056084, Z: 0.379037, 
Current Pose: X: 0.00157413, Y: -0.00586246, Z: -0.379137, Yaw: 1.8625, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00157413, Y: 0.00586246, Z: 0.379137, Velocity_in: X: 0.00432771, Y: -0.000225304, Z: 0.000703194, Error: X: -0.00157413, Y: 0.00586246, Z: 0.379137, 
Current Pose: X: 0.00163536, Y: -0.00597694, Z: -0.379332, Yaw: 1.86249, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00163536, Y: 0.00597694, Z: 0.379332, Velocity_in: X: 0.00104231, Y: -0.00044757, Z: 0.000695132, Error: X: -0.00163536, Y: 0.00597694, Z: 0.379332, 
Current Pose: X: 0.00168145, Y: -0.00606097, Z: -0.379626, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00168145, Y: 0.00606097, Z: 0.379626, Velocity_in: X: 0.00112911, Y: -0.000512114, Z: 0.000767703, Error: X: -0.00168145, Y: 0.00606097, Z: 0.379626, 
Current Pose: X: 0.00172733, Y: -0.00613852, Z: -0.379835, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00172733, Y: 0.00613852, Z: 0.379835, Velocity_in: X: 0.0011732, Y: -0.000588086, Z: 0.000774049, Error: X: -0.00172733, Y: 0.00613852, Z: 0.379835, 
Current Pose: X: 0.00178319, Y: -0.00622238, Z: -0.380142, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00178319, Y: 0.00622238, Z: 0.380142, Velocity_in: X: 0.0012549, Y: -0.000526905, Z: 0.000744107, Error: X: -0.00178319, Y: 0.00622238, Z: 0.380142, 
Current Pose: X: 0.00182254, Y: -0.00627916, Z: -0.380563, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00182254, Y: 0.00627916, Z: 0.380563, Velocity_in: X: 0.00134839, Y: -0.000686865, Z: 0.000888617, Error: X: -0.00182254, Y: 0.00627916, Z: 0.380563, 
Current Pose: X: 0.00185785, Y: -0.00633184, Z: -0.380921, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00185785, Y: 0.00633184, Z: 0.380921, Velocity_in: X: 0.00139302, Y: -0.000858636, Z: 0.00084174, Error: X: -0.00185785, Y: 0.00633184, Z: 0.380921, 
Current Pose: X: 0.00189712, Y: -0.00638879, Z: -0.381292, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00189712, Y: 0.00638879, Z: 0.381292, Velocity_in: X: 0.00146017, Y: -0.000750895, Z: 0.000956662, Error: X: -0.00189712, Y: 0.00638879, Z: 0.381292, 
Current Pose: X: 0.0019217, Y: -0.00642191, Z: -0.381533, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019217, Y: 0.00642191, Z: 0.381533, Velocity_in: X: 0.00145085, Y: -0.000717053, Z: 0.000825318, Error: X: -0.0019217, Y: 0.00642191, Z: 0.381533, 
Current Pose: X: 0.00194112, Y: -0.00644366, Z: -0.381722, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00194112, Y: 0.00644366, Z: 0.381722, Velocity_in: X: 0.00154437, Y: -0.000690455, Z: 0.000724015, Error: X: -0.00194112, Y: 0.00644366, Z: 0.381722, 
Current Pose: X: 0.00196025, Y: -0.00646049, Z: -0.381873, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00196025, Y: 0.00646049, Z: 0.381873, Velocity_in: X: 0.00162901, Y: -0.000648614, Z: 0.00067846, Error: X: -0.00196025, Y: 0.00646049, Z: 0.381873, 
Current Pose: X: 0.00197003, Y: -0.00648424, Z: -0.382055, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197003, Y: 0.00648424, Z: 0.382055, Velocity_in: X: 0.00175241, Y: -0.00058886, Z: 0.000599554, Error: X: -0.00197003, Y: 0.00648424, Z: 0.382055, 
Current Pose: X: 0.00197614, Y: -0.00651004, Z: -0.382257, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197614, Y: 0.00651004, Z: 0.382257, Velocity_in: X: 0.00163202, Y: -0.000573533, Z: 0.000672157, Error: X: -0.00197614, Y: 0.00651004, Z: 0.382257, 
Current Pose: X: 0.00197951, Y: -0.00652476, Z: -0.382438, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197951, Y: 0.00652476, Z: 0.382438, Velocity_in: X: 0.0017754, Y: -0.000548984, Z: 0.000601662, Error: X: -0.00197951, Y: 0.00652476, Z: 0.382438, 
Current Pose: X: 0.0019799, Y: -0.00652714, Z: -0.382453, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019799, Y: 0.00652714, Z: 0.382453, Velocity_in: X: 0.00190892, Y: -0.000569232, Z: 0.000462117, Error: X: -0.0019799, Y: 0.00652714, Z: 0.382453, 
Current Pose: X: 0.00197659, Y: -0.00651603, Z: -0.382323, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197659, Y: 0.00651603, Z: 0.382323, Velocity_in: X: 0.00215403, Y: -0.000604552, Z: 0.000213664, Error: X: -0.00197659, Y: 0.00651603, Z: 0.382323, 
Current Pose: X: 0.00197144, Y: -0.00649516, Z: -0.382191, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197144, Y: 0.00649516, Z: 0.382191, Velocity_in: X: 0.00230088, Y: -0.000555089, Z: 0.000170253, Error: X: -0.00197144, Y: 0.00649516, Z: 0.382191, 
Current Pose: X: 0.00196475, Y: -0.00648138, Z: -0.382011, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00196475, Y: 0.00648138, Z: 0.382011, Velocity_in: X: 0.00248076, Y: -0.000530641, Z: 0.000274551, Error: X: -0.00196475, Y: 0.00648138, Z: 0.382011, 
Current Pose: X: 0.00195779, Y: -0.006485, Z: -0.381849, Yaw: 1.86248, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00195779, Y: 0.006485, Z: 0.381849, Velocity_in: X: 0.00253959, Y: -0.000529901, Z: 0.000219147, Error: X: -0.00195779, Y: 0.006485, Z: 0.381849, 
Current Pose: X: 0.0019482, Y: -0.00647833, Z: -0.381677, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019482, Y: 0.00647833, Z: 0.381677, Velocity_in: X: 0.00264136, Y: -0.000329875, Z: 0.000313029, Error: X: -0.0019482, Y: 0.00647833, Z: 0.381677, 
Current Pose: X: 0.00193672, Y: -0.00646146, Z: -0.381477, Yaw: 1.86247, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193672, Y: 0.00646146, Z: 0.381477, Velocity_in: X: 0.00269771, Y: -0.000444207, Z: 0.00029372, Error: X: -0.00193672, Y: 0.00646146, Z: 0.381477, 
Current Pose: X: 0.00191739, Y: -0.00642357, Z: -0.381182, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00191739, Y: 0.00642357, Z: 0.381182, Velocity_in: X: 0.00284899, Y: -0.000400641, Z: 0.000237963, Error: X: -0.00191739, Y: 0.00642357, Z: 0.381182, 
Current Pose: X: 0.00190195, Y: -0.00638431, Z: -0.380957, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00190195, Y: 0.00638431, Z: 0.380957, Velocity_in: X: 0.00294397, Y: -0.000429502, Z: 0.000225951, Error: X: -0.00190195, Y: 0.00638431, Z: 0.380957, 
Current Pose: X: 0.00188548, Y: -0.00635763, Z: -0.380659, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00188548, Y: 0.00635763, Z: 0.380659, Velocity_in: X: 0.00313614, Y: -0.000370346, Z: 0.000218348, Error: X: -0.00188548, Y: 0.00635763, Z: 0.380659, 
Current Pose: X: 0.00187583, Y: -0.00635786, Z: -0.380348, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00187583, Y: 0.00635786, Z: 0.380348, Velocity_in: X: 0.00318285, Y: -0.000317222, Z: 0.00023234, Error: X: -0.00187583, Y: 0.00635786, Z: 0.380348, 
Current Pose: X: 0.00186432, Y: -0.00634857, Z: -0.380013, Yaw: 1.86246, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00186432, Y: 0.00634857, Z: 0.380013, Velocity_in: X: 0.00317064, Y: -0.000271807, Z: 0.000181561, Error: X: -0.00186432, Y: 0.00634857, Z: 0.380013, 
