Current Pose: X: -0.000371503, Y: -0.00617868, Z: -1.63789, Yaw: 1.67146, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000371503, Y: 0.00617868, Z: 1.63789, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.000371503, Y: 0.00617868, Z: 1.63789, 
Current Pose: X: -0.000316193, Y: -0.00625414, Z: -1.63827, Yaw: 1.67146, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000316193, Y: 0.00625414, Z: 1.63827, Velocity_in: X: 0.00186928, Y: 0.00189246, Z: -0.00393695, Error: X: 0.000316193, Y: 0.00625414, Z: 1.63827, 
Current Pose: X: -0.00026717, Y: -0.00632696, Z: -1.63853, Yaw: 1.67145, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.00026717, Y: 0.00632696, Z: 1.63853, Velocity_in: X: 0.00144946, Y: 0.00202532, Z: -0.00407707, Error: X: 0.00026717, Y: 0.00632696, Z: 1.63853, 
Current Pose: X: -0.000211049, Y: -0.00641293, Z: -1.6388, Yaw: 1.67146, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000211049, Y: 0.00641293, Z: 1.6388, Velocity_in: X: 0.0013501, Y: 0.0020836, Z: -0.00408496, Error: X: 0.000211049, Y: 0.00641293, Z: 1.6388, 
Current Pose: X: -0.000164197, Y: -0.00649006, Z: -1.639, Yaw: 1.67142, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000164197, Y: 0.00649006, Z: 1.639, Velocity_in: X: 0.00125265, Y: 0.00186372, Z: -0.00437917, Error: X: 0.000164197, Y: 0.00649006, Z: 1.639, 
Current Pose: X: -0.000139393, Y: -0.00653684, Z: -1.63917, Yaw: 1.67144, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000139393, Y: 0.00653684, Z: 1.63917, Velocity_in: X: 0.00120875, Y: 0.0020789, Z: -0.00436637, Error: X: 0.000139393, Y: 0.00653684, Z: 1.63917, 
Current Pose: X: -0.000112669, Y: -0.00658635, Z: -1.63943, Yaw: 1.67147, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000112669, Y: 0.00658635, Z: 1.63943, Velocity_in: X: 0.00134863, Y: 0.00193524, Z: -0.00425519, Error: X: 0.000112669, Y: 0.00658635, Z: 1.63943, 
Current Pose: X: -8.55235e-05, Y: -0.00662037, Z: -1.63985, Yaw: 1.67152, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 8.55235e-05, Y: 0.00662037, Z: 1.63985, Velocity_in: X: 0.00154897, Y: 0.00159374, Z: -0.00355475, Error: X: 8.55235e-05, Y: 0.00662037, Z: 1.63985, 
Current Pose: X: -4.64979e-05, Y: -0.00665162, Z: -1.64016, Yaw: 1.67151, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 4.64979e-05, Y: 0.00665162, Z: 1.64016, Velocity_in: X: 0.00192229, Y: 0.00144798, Z: -0.00406499, Error: X: 4.64979e-05, Y: 0.00665162, Z: 1.64016, 
Current Pose: X: -2.10423e-05, Y: -0.00667738, Z: -1.64036, Yaw: 1.67153, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 2.10423e-05, Y: 0.00667738, Z: 1.64036, Velocity_in: X: 0.00173343, Y: 0.00179344, Z: -0.00415418, Error: X: 2.10423e-05, Y: 0.00667738, Z: 1.64036, 
Current Pose: X: 8.95865e-06, Y: -0.00670607, Z: -1.64084, Yaw: 1.67156, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -8.95865e-06, Y: 0.00670607, Z: 1.64084, Velocity_in: X: 0.00166305, Y: 0.0018698, Z: -0.00411508, Error: X: -8.95865e-06, Y: 0.00670607, Z: 1.64084, 
Current Pose: X: 2.8585e-05, Y: -0.00672365, Z: -1.64131, Yaw: 1.67154, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -2.8585e-05, Y: 0.00672365, Z: 1.64131, Velocity_in: X: 0.00166142, Y: 0.00155201, Z: -0.00427094, Error: X: -2.8585e-05, Y: 0.00672365, Z: 1.64131, 
Current Pose: X: 2.56905e-05, Y: -0.00672832, Z: -1.64164, Yaw: 1.67154, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -2.56905e-05, Y: 0.00672832, Z: 1.64164, Velocity_in: X: 0.00161151, Y: 0.00201436, Z: -0.00429613, Error: X: -2.56905e-05, Y: 0.00672832, Z: 1.64164, 
Current Pose: X: 1.05864e-05, Y: -0.00672072, Z: -1.64229, Yaw: 1.67153, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.05864e-05, Y: 0.00672072, Z: 1.64229, Velocity_in: X: 0.00196043, Y: 0.00233962, Z: -0.0044558, Error: X: -1.05864e-05, Y: 0.00672072, Z: 1.64229, 
Current Pose: X: 3.43871e-05, Y: -0.00672148, Z: -1.6429, Yaw: 1.67152, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -3.43871e-05, Y: 0.00672148, Z: 1.6429, Velocity_in: X: 0.00184349, Y: 0.00190104, Z: -0.00423256, Error: X: -3.43871e-05, Y: 0.00672148, Z: 1.6429, 
