Current Pose: X: 1.41106, Y: 1.32822, Z: -4.68389, Yaw: 1.97803, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41106, Y: -1.32822, Z: 4.68389, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -1.41106, Y: -1.32822, Z: 4.68389, 
Current Pose: X: 1.41086, Y: 1.32815, Z: -4.68401, Yaw: 1.97813, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41086, Y: -1.32815, Z: 4.68401, Velocity_in: X: -0.000383247, Y: 0.000675622, Z: 0.0979468, Error: X: -1.41086, Y: -1.32815, Z: 4.68401, 
Current Pose: X: 1.41071, Y: 1.32809, Z: -4.68403, Yaw: 1.97826, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41071, Y: -1.32809, Z: 4.68403, Velocity_in: X: -0.00037305, Y: 0.000160906, Z: 0.0977377, Error: X: -1.41071, Y: -1.32809, Z: 4.68403, 
Current Pose: X: 1.41048, Y: 1.32802, Z: -4.68474, Yaw: 1.97829, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41048, Y: -1.32802, Z: 4.68474, Velocity_in: X: -0.000510653, Y: 8.19619e-05, Z: 0.098105, Error: X: -1.41048, Y: -1.32802, Z: 4.68474, 
Current Pose: X: 1.41025, Y: 1.32797, Z: -4.68621, Yaw: 1.97835, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41025, Y: -1.32797, Z: 4.68621, Velocity_in: X: -0.000831285, Y: -2.93255e-05, Z: 0.098133, Error: X: -1.41025, Y: -1.32797, Z: 4.68621, 
Current Pose: X: 1.41011, Y: 1.32794, Z: -4.68697, Yaw: 1.97847, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.41011, Y: -1.32794, Z: 4.68697, Velocity_in: X: -0.000879624, Y: -0.000400301, Z: 0.097301, Error: X: -1.41011, Y: -1.32794, Z: 4.68697, 
Current Pose: X: 1.40999, Y: 1.3279, Z: -4.68774, Yaw: 1.97852, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.40999, Y: -1.3279, Z: 4.68774, Velocity_in: X: -0.00108666, Y: -0.000496039, Z: 0.0969703, Error: X: -1.40999, Y: -1.3279, Z: 4.68774, 
Current Pose: X: 1.40992, Y: 1.32785, Z: -4.68807, Yaw: 1.97861, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.40992, Y: -1.32785, Z: 4.68807, Velocity_in: X: -0.00099292, Y: -0.000755198, Z: 0.0968704, Error: X: -1.40992, Y: -1.32785, Z: 4.68807, 
Current Pose: X: 1.40976, Y: 1.32774, Z: -4.68817, Yaw: 1.97873, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.40976, Y: -1.32774, Z: 4.68817, Velocity_in: X: -0.00115601, Y: -0.00068413, Z: 0.0968835, Error: X: -1.40976, Y: -1.32774, Z: 4.68817, 
Current Pose: X: 1.40965, Y: 1.32769, Z: -4.68858, Yaw: 1.97877, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.40965, Y: -1.32769, Z: 4.68858, Velocity_in: X: -0.00121752, Y: -0.000659719, Z: 0.0970873, Error: X: -1.40965, Y: -1.32769, Z: 4.68858, 
Current Pose: X: 1.40937, Y: 1.32761, Z: -4.69023, Yaw: 1.97886, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -1.40937, Y: -1.32761, Z: 4.69023, Velocity_in: X: -0.00117518, Y: -0.000831772, Z: 0.0970317, Error: X: -1.40937, Y: -1.32761, Z: 4.69023, 
