Current Pose: X: -0.0830617, Y: -0.337413, Z: -0.858147, Yaw: 1.71809, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0830617, Y: 0.337413, Z: 0.858147, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.0830617, Y: 0.337413, Z: 0.858147, 
Current Pose: X: -0.0830284, Y: -0.33758, Z: -0.858273, Yaw: 1.71808, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0830284, Y: 0.33758, Z: 0.858273, Velocity_in: X: -0.00039928, Y: -0.00113316, Z: 0.00268662, Error: X: 0.0830284, Y: 0.33758, Z: 0.858273, 
Current Pose: X: -0.0830053, Y: -0.337674, Z: -0.858303, Yaw: 1.71812, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0830053, Y: 0.337674, Z: 0.858303, Velocity_in: X: -0.000735213, Y: -0.00125149, Z: 0.00224503, Error: X: 0.0830053, Y: 0.337674, Z: 0.858303, 
Current Pose: X: -0.0829945, Y: -0.337756, Z: -0.858324, Yaw: 1.71811, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0829945, Y: 0.337756, Z: 0.858324, Velocity_in: X: -0.000636755, Y: -0.00122516, Z: 0.00232428, Error: X: 0.0829945, Y: 0.337756, Z: 0.858324, 
Current Pose: X: -0.0829863, Y: -0.337874, Z: -0.85838, Yaw: 1.71812, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0829863, Y: 0.337874, Z: 0.85838, Velocity_in: X: -0.000383012, Y: -0.00115236, Z: 0.00198617, Error: X: 0.0829863, Y: 0.337874, Z: 0.85838, 
Current Pose: X: -0.0830048, Y: -0.337924, Z: -0.858518, Yaw: 1.71811, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0830048, Y: 0.337924, Z: 0.858518, Velocity_in: X: -0.000232219, Y: -0.000985202, Z: 0.0024693, Error: X: 0.0830048, Y: 0.337924, Z: 0.858518, 
Current Pose: X: -0.0838166, Y: -0.335949, Z: -0.85752, Yaw: 1.71811, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0838166, Y: 0.335949, Z: 0.85752, Velocity_in: X: -9.81464e-05, Y: -0.000959806, Z: 0.00204861, Error: X: 0.0838166, Y: 0.335949, Z: 0.85752, 
Current Pose: X: -0.0838318, Y: -0.336001, Z: -0.857607, Yaw: 1.71811, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0838318, Y: 0.336001, Z: 0.857607, Velocity_in: X: 0.00063813, Y: 0.000764896, Z: 0.000350724, Error: X: 0.0838318, Y: 0.336001, Z: 0.857607, 
Current Pose: X: -0.0838023, Y: -0.336226, Z: -0.857822, Yaw: 1.71794, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0838023, Y: 0.336226, Z: 0.857822, Velocity_in: X: 0.000422724, Y: 0.000191757, Z: 0.000702052, Error: X: 0.0838023, Y: 0.336226, Z: 0.857822, 
Current Pose: X: -0.0831213, Y: -0.338015, Z: -0.858735, Yaw: 1.71816, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0831213, Y: 0.338015, Z: 0.858735, Velocity_in: X: -0.000170571, Y: -0.000182566, Z: 0.00118977, Error: X: 0.0831213, Y: 0.338015, Z: 0.858735, 
Current Pose: X: -0.0834614, Y: -0.338182, Z: -0.858979, Yaw: 1.71812, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0834614, Y: 0.338182, Z: 0.858979, Velocity_in: X: -0.000400633, Y: -0.000402815, Z: 0.00207297, Error: X: 0.0834614, Y: 0.338182, Z: 0.858979, 
Current Pose: X: -0.0835306, Y: -0.338236, Z: -0.858845, Yaw: 1.71812, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0835306, Y: 0.338236, Z: 0.858845, Velocity_in: X: -0.000584595, Y: 0.000507838, Z: 0.00287005, Error: X: 0.0835306, Y: 0.338236, Z: 0.858845, 
Current Pose: X: -0.0836623, Y: -0.336549, Z: -0.857628, Yaw: 1.71795, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0836623, Y: 0.336549, Z: 0.857628, Velocity_in: X: -0.000803355, Y: 0.000233338, Z: 0.00287356, Error: X: 0.0836623, Y: 0.336549, Z: 0.857628, 
Current Pose: X: -0.0837382, Y: -0.338488, Z: -0.858398, Yaw: 1.71801, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0837382, Y: 0.338488, Z: 0.858398, Velocity_in: X: -0.000375616, Y: -0.000277407, Z: 0.0013944, Error: X: 0.0837382, Y: 0.338488, Z: 0.858398, 
Current Pose: X: -0.0837991, Y: -0.338543, Z: -0.85836, Yaw: 1.71801, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0837991, Y: 0.338543, Z: 0.85836, Velocity_in: X: -0.00117022, Y: -9.18782e-05, Z: 0.00317087, Error: X: 0.0837991, Y: 0.338543, Z: 0.85836, 
Current Pose: X: -0.0841892, Y: -0.338941, Z: -0.858455, Yaw: 1.71797, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0841892, Y: 0.338941, Z: 0.858455, Velocity_in: X: -0.000704501, Y: -5.35186e-05, Z: 0.00341901, Error: X: 0.0841892, Y: 0.338941, Z: 0.858455, 
Current Pose: X: -0.0842642, Y: -0.339006, Z: -0.85842, Yaw: 1.71795, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0842642, Y: 0.339006, Z: 0.85842, Velocity_in: X: -0.00175892, Y: 0.000391714, Z: 0.00267996, Error: X: 0.0842642, Y: 0.339006, Z: 0.85842, 
Current Pose: X: -0.0843627, Y: -0.339083, Z: -0.858429, Yaw: 1.71795, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0843627, Y: 0.339083, Z: 0.858429, Velocity_in: X: -0.00144134, Y: 0.000613856, Z: 0.00316025, Error: X: 0.0843627, Y: 0.339083, Z: 0.858429, 
Current Pose: X: -0.0844401, Y: -0.339153, Z: -0.858418, Yaw: 1.71801, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0844401, Y: 0.339153, Z: 0.858418, Velocity_in: X: -0.00137688, Y: 0.000551017, Z: 0.00336689, Error: X: 0.0844401, Y: 0.339153, Z: 0.858418, 
Current Pose: X: -0.0845179, Y: -0.33921, Z: -0.858686, Yaw: 1.71801, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0845179, Y: 0.33921, Z: 0.858686, Velocity_in: X: -0.00133752, Y: 0.000598012, Z: 0.00343966, Error: X: 0.0845179, Y: 0.33921, Z: 0.858686, 
Current Pose: X: -0.0845696, Y: -0.339256, Z: -0.85884, Yaw: 1.718, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0845696, Y: 0.339256, Z: 0.85884, Velocity_in: X: -0.00140103, Y: 0.000623271, Z: 0.0034214, Error: X: 0.0845696, Y: 0.339256, Z: 0.85884, 
Current Pose: X: -0.0830444, Y: -0.337511, Z: -0.858228, Yaw: 1.71809, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0830444, Y: 0.337511, Z: 0.858228, Velocity_in: X: -0.00142859, Y: 0.000363375, Z: 0.00342365, Error: X: 0.0830444, Y: 0.337511, Z: 0.858228, 
Current Pose: X: -0.0846915, Y: -0.339534, Z: -0.858901, Yaw: 1.71797, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0846915, Y: 0.339534, Z: 0.858901, Velocity_in: X: -0.000692786, Y: -0.00100842, Z: 0.00265612, Error: X: 0.0846915, Y: 0.339534, Z: 0.858901, 
Current Pose: X: -0.0846372, Y: -0.339916, Z: -0.85848, Yaw: 1.71797, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0846372, Y: 0.339916, Z: 0.85848, Velocity_in: X: -0.00230592, Y: 0.000622356, Z: 0.0029612, Error: X: 0.0846372, Y: 0.339916, Z: 0.85848, 
