Current Pose: X: 0.0556041, Y: -0.236834, Z: -2.97484, Yaw: 1.9051, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0556041, Y: 0.236834, Z: 2.97484, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.0556041, Y: 0.236834, Z: 2.97484, 
Current Pose: X: 0.0556411, Y: -0.236859, Z: -2.97455, Yaw: 1.90509, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0556411, Y: 0.236859, Z: 2.97455, Velocity_in: X: -0.00168477, Y: 7.42093e-05, Z: 0.00468911, Error: X: -0.0556411, Y: 0.236859, Z: 2.97455, 
Current Pose: X: 0.0556875, Y: -0.236894, Z: -2.97425, Yaw: 1.90508, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0556875, Y: 0.236894, Z: 2.97425, Velocity_in: X: -0.00161437, Y: 3.53183e-05, Z: 0.00456379, Error: X: -0.0556875, Y: 0.236894, Z: 2.97425, 
Current Pose: X: 0.0557233, Y: -0.236921, Z: -2.97399, Yaw: 1.90506, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0557233, Y: 0.236921, Z: 2.97399, Velocity_in: X: -0.00171158, Y: -1.59329e-05, Z: 0.00441245, Error: X: -0.0557233, Y: 0.236921, Z: 2.97399, 
Current Pose: X: 0.0557594, Y: -0.236948, Z: -2.97368, Yaw: 1.90504, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0557594, Y: 0.236948, Z: 2.97368, Velocity_in: X: -0.00171223, Y: 9.52308e-06, Z: 0.00427987, Error: X: -0.0557594, Y: 0.236948, Z: 2.97368, 
Current Pose: X: 0.0557936, Y: -0.236972, Z: -2.97336, Yaw: 1.90504, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0557936, Y: 0.236972, Z: 2.97336, Velocity_in: X: -0.00165202, Y: -4.77074e-05, Z: 0.00425404, Error: X: -0.0557936, Y: 0.236972, Z: 2.97336, 
Current Pose: X: 0.0558347, Y: -0.237003, Z: -2.97296, Yaw: 1.90505, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0558347, Y: 0.237003, Z: 2.97296, Velocity_in: X: -0.00153252, Y: 9.52703e-06, Z: 0.00427299, Error: X: -0.0558347, Y: 0.237003, Z: 2.97296, 
Current Pose: X: 0.0558612, Y: -0.237028, Z: -2.97267, Yaw: 1.90505, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0558612, Y: 0.237028, Z: 2.97267, Velocity_in: X: -0.00157799, Y: 3.2039e-05, Z: 0.00422888, Error: X: -0.0558612, Y: 0.237028, Z: 2.97267, 
Current Pose: X: 0.0558783, Y: -0.237066, Z: -2.97242, Yaw: 1.90505, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0558783, Y: 0.237066, Z: 2.97242, Velocity_in: X: -0.00155529, Y: 0.000166765, Z: 0.00417934, Error: X: -0.0558783, Y: 0.237066, Z: 2.97242, 
Current Pose: X: 0.0558865, Y: -0.237096, Z: -2.97206, Yaw: 1.90503, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0558865, Y: 0.237096, Z: 2.97206, Velocity_in: X: -0.00146776, Y: 0.000202162, Z: 0.00399424, Error: X: -0.0558865, Y: 0.237096, Z: 2.97206, 
Current Pose: X: 0.0558928, Y: -0.237127, Z: -2.97171, Yaw: 1.90501, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0558928, Y: 0.237127, Z: 2.97171, Velocity_in: X: -0.00147884, Y: 0.000331142, Z: 0.00398359, Error: X: -0.0558928, Y: 0.237127, Z: 2.97171, 
