Current Pose: X: -0.25838, Y: -0.767898, Z: 0.11808, Yaw: 1.96303, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.12919, Y: 0.383949, Z: -0.0590402, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.25838, Y: 0.767898, Z: -0.11808, 
Current Pose: X: -0.258361, Y: -0.767955, Z: 0.118071, Yaw: 1.96309, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129181, Y: 0.383977, Z: -0.0590356, Velocity_in: X: -0.00387763, Y: 0.0014277, Z: 0.00296939, Error: X: 0.258361, Y: 0.767955, Z: -0.118071, 
Current Pose: X: -0.25833, Y: -0.768018, Z: 0.118028, Yaw: 1.96325, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129165, Y: 0.384009, Z: -0.0590138, Velocity_in: X: -0.00372505, Y: 0.00120803, Z: 0.00336479, Error: X: 0.25833, Y: 0.768018, Z: -0.118028, 
Current Pose: X: -0.258302, Y: -0.768056, Z: 0.118017, Yaw: 1.96338, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129151, Y: 0.384028, Z: -0.0590084, Velocity_in: X: -0.00372121, Y: 0.00107414, Z: 0.00327291, Error: X: 0.258302, Y: 0.768056, Z: -0.118017, 
Current Pose: X: -0.258269, Y: -0.768106, Z: 0.118037, Yaw: 1.96355, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129135, Y: 0.384053, Z: -0.0590184, Velocity_in: X: -0.00384531, Y: 0.00102226, Z: 0.00348849, Error: X: 0.258269, Y: 0.768106, Z: -0.118037, 
Current Pose: X: -0.258253, Y: -0.768154, Z: 0.118062, Yaw: 1.96366, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129126, Y: 0.384077, Z: -0.0590312, Velocity_in: X: -0.00346264, Y: 0.00129951, Z: 0.00310779, Error: X: 0.258253, Y: 0.768154, Z: -0.118062, 
Current Pose: X: -0.258248, Y: -0.768189, Z: 0.118087, Yaw: 1.96379, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129124, Y: 0.384094, Z: -0.0590434, Velocity_in: X: -0.00307151, Y: 0.00149796, Z: 0.00333106, Error: X: 0.258248, Y: 0.768189, Z: -0.118087, 
Current Pose: X: -0.258238, Y: -0.768229, Z: 0.117992, Yaw: 1.96387, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129119, Y: 0.384115, Z: -0.0589958, Velocity_in: X: -0.00335276, Y: 0.00157162, Z: 0.00344579, Error: X: 0.258238, Y: 0.768229, Z: -0.117992, 
Current Pose: X: -0.258216, Y: -0.768248, Z: 0.117758, Yaw: 1.96406, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129108, Y: 0.384124, Z: -0.0588789, Velocity_in: X: -0.0030531, Y: 0.0011704, Z: 0.00314479, Error: X: 0.258216, Y: 0.768248, Z: -0.117758, 
Current Pose: X: -0.258196, Y: -0.768266, Z: 0.117598, Yaw: 1.96417, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129098, Y: 0.384133, Z: -0.058799, Velocity_in: X: -0.00310572, Y: 0.000800729, Z: 0.00328936, Error: X: 0.258196, Y: 0.768266, Z: -0.117598, 
Current Pose: X: -0.258168, Y: -0.768293, Z: 0.117444, Yaw: 1.96424, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129084, Y: 0.384147, Z: -0.058722, Velocity_in: X: -0.00319716, Y: 0.00054243, Z: 0.00319652, Error: X: 0.258168, Y: 0.768293, Z: -0.117444, 
Current Pose: X: -0.258134, Y: -0.768319, Z: 0.117351, Yaw: 1.96433, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129067, Y: 0.384159, Z: -0.0586755, Velocity_in: X: -0.00357135, Y: 0.000578266, Z: 0.00328339, Error: X: 0.258134, Y: 0.768319, Z: -0.117351, 
Current Pose: X: -0.258102, Y: -0.768336, Z: 0.117326, Yaw: 1.96446, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129051, Y: 0.384168, Z: -0.0586629, Velocity_in: X: -0.00319655, Y: 0.000255525, Z: 0.00289565, Error: X: 0.258102, Y: 0.768336, Z: -0.117326, 
Current Pose: X: -0.258077, Y: -0.768344, Z: 0.117486, Yaw: 1.96451, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129039, Y: 0.384172, Z: -0.0587429, Velocity_in: X: -0.00279261, Y: 0.000134564, Z: 0.00244488, Error: X: 0.258077, Y: 0.768344, Z: -0.117486, 
Current Pose: X: -0.258042, Y: -0.768369, Z: 0.117771, Yaw: 1.96472, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129021, Y: 0.384185, Z: -0.0588855, Velocity_in: X: -0.00283321, Y: 4.35719e-05, Z: 0.00237874, Error: X: 0.258042, Y: 0.768369, Z: -0.117771, 
Current Pose: X: -0.25802, Y: -0.768392, Z: 0.118074, Yaw: 1.96487, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.12901, Y: 0.384196, Z: -0.0590369, Velocity_in: X: -0.0028619, Y: 0.000130218, Z: 0.0022199, Error: X: 0.25802, Y: 0.768392, Z: -0.118074, 
Current Pose: X: -0.258002, Y: -0.768413, Z: 0.118253, Yaw: 1.96511, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.129001, Y: 0.384207, Z: -0.0591264, Velocity_in: X: -0.0027783, Y: 0.000245594, Z: 0.00212314, Error: X: 0.258002, Y: 0.768413, Z: -0.118253, 
Current Pose: X: -0.257984, Y: -0.76843, Z: 0.11838, Yaw: 1.96519, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.128992, Y: 0.384215, Z: -0.0591898, Velocity_in: X: -0.00290503, Y: -0.000121158, Z: 0.00188762, Error: X: 0.257984, Y: 0.76843, Z: -0.11838, 
Current Pose: X: -0.257963, Y: -0.768447, Z: 0.118587, Yaw: 1.96536, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.128981, Y: 0.384223, Z: -0.0592933, Velocity_in: X: -0.00277865, Y: -0.00011882, Z: 0.00193481, Error: X: 0.257963, Y: 0.768447, Z: -0.118587, 
Current Pose: X: -0.257919, Y: -0.768457, Z: 0.118861, Yaw: 1.96547, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.128959, Y: 0.384229, Z: -0.0594307, Velocity_in: X: -0.00268277, Y: -0.000731606, Z: 0.00214359, Error: X: 0.257919, Y: 0.768457, Z: -0.118861, 
Current Pose: X: -0.257876, Y: -0.76846, Z: 0.119147, Yaw: 1.96563, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.128938, Y: 0.38423, Z: -0.0595736, Velocity_in: X: -0.00226164, Y: -0.00116734, Z: 0.00227677, Error: X: 0.257876, Y: 0.76846, Z: -0.119147, 
Current Pose: X: -0.25782, Y: -0.768473, Z: 0.119514, Yaw: 1.96579, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.12891, Y: 0.384236, Z: -0.059757, Velocity_in: X: -0.00241884, Y: -0.00108699, Z: 0.00226698, Error: X: 0.25782, Y: 0.768473, Z: -0.119514, 
Current Pose: X: -0.257775, Y: -0.768484, Z: 0.119858, Yaw: 1.96585, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.128887, Y: 0.384242, Z: -0.059929, Velocity_in: X: -0.00247163, Y: -0.00109261, Z: 0.00268904, Error: X: 0.257775, Y: 0.768484, Z: -0.119858, 
