Current Pose: X: -0.000907819, Y: -0.0275201, Z: -0.339733, Yaw: 1.69985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000907819, Y: 0.0275201, Z: 0.339733, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.000907819, Y: 0.0275201, Z: 0.339733, 
Current Pose: X: -0.000926847, Y: -0.0275829, Z: -0.339692, Yaw: 1.69984, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000926847, Y: 0.0275829, Z: 0.339692, Velocity_in: X: -0.00210302, Y: 0.000489512, Z: -0.000750961, Error: X: 0.000926847, Y: 0.0275829, Z: 0.339692, 
Current Pose: X: -0.000942171, Y: -0.027625, Z: -0.339692, Yaw: 1.69981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000942171, Y: 0.027625, Z: 0.339692, Velocity_in: X: -0.00190325, Y: 0.000492341, Z: -0.000309068, Error: X: 0.000942171, Y: 0.027625, Z: 0.339692, 
Current Pose: X: -0.000958461, Y: -0.0276821, Z: -0.339766, Yaw: 1.69982, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000958461, Y: 0.0276821, Z: 0.339766, Velocity_in: X: -0.00183927, Y: 0.000672038, Z: -0.000428422, Error: X: 0.000958461, Y: 0.0276821, Z: 0.339766, 
Current Pose: X: -0.000972385, Y: -0.027728, Z: -0.339967, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000972385, Y: 0.027728, Z: 0.339967, Velocity_in: X: -0.00174067, Y: 0.000229322, Z: -0.000561931, Error: X: 0.000972385, Y: 0.027728, Z: 0.339967, 
Current Pose: X: -0.000981491, Y: -0.0277438, Z: -0.340195, Yaw: 1.6998, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000981491, Y: 0.0277438, Z: 0.340195, Velocity_in: X: -0.00130212, Y: 0.000192296, Z: -0.000446544, Error: X: 0.000981491, Y: 0.0277438, Z: 0.340195, 
Current Pose: X: -0.000982626, Y: -0.0277562, Z: -0.340427, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000982626, Y: 0.0277562, Z: 0.340427, Velocity_in: X: -0.000801248, Y: -0.000198963, Z: -0.000856226, Error: X: 0.000982626, Y: 0.0277562, Z: 0.340427, 
Current Pose: X: -0.000972862, Y: -0.0277708, Z: -0.340564, Yaw: 1.69975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000972862, Y: 0.0277708, Z: 0.340564, Velocity_in: X: -0.000813155, Y: -0.000569348, Z: -0.000695045, Error: X: 0.000972862, Y: 0.0277708, Z: 0.340564, 
Current Pose: X: -0.000954625, Y: -0.0277772, Z: -0.340517, Yaw: 1.6998, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000954625, Y: 0.0277772, Z: 0.340517, Velocity_in: X: -0.000887692, Y: -0.000282933, Z: -0.000907508, Error: X: 0.000954625, Y: 0.0277772, Z: 0.340517, 
Current Pose: X: -0.000926138, Y: -0.0277784, Z: -0.340425, Yaw: 1.6998, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000926138, Y: 0.0277784, Z: 0.340425, Velocity_in: X: -0.000474568, Y: -0.000529726, Z: -0.00067168, Error: X: 0.000926138, Y: 0.0277784, Z: 0.340425, 
Current Pose: X: -0.000886733, Y: -0.0277829, Z: -0.340278, Yaw: 1.6998, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000886733, Y: 0.0277829, Z: 0.340278, Velocity_in: X: -0.000723426, Y: -0.000909325, Z: -0.000584356, Error: X: 0.000886733, Y: 0.0277829, Z: 0.340278, 
Current Pose: X: -0.000840397, Y: -0.0277945, Z: -0.340302, Yaw: 1.69979, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000840397, Y: 0.0277945, Z: 0.340302, Velocity_in: X: -0.00064187, Y: -0.000760951, Z: -0.000692631, Error: X: 0.000840397, Y: 0.0277945, Z: 0.340302, 
Current Pose: X: -0.000799872, Y: -0.0278065, Z: -0.340297, Yaw: 1.69977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000799872, Y: 0.0278065, Z: 0.340297, Velocity_in: X: -0.00105456, Y: -0.000852383, Z: -0.000815799, Error: X: 0.000799872, Y: 0.0278065, Z: 0.340297, 
Current Pose: X: -0.000747252, Y: -0.0278311, Z: -0.340242, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000747252, Y: 0.0278311, Z: 0.340242, Velocity_in: X: -0.0009892, Y: -0.00138813, Z: -0.000660683, Error: X: 0.000747252, Y: 0.0278311, Z: 0.340242, 
Current Pose: X: -0.000711674, Y: -0.0278717, Z: -0.340023, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000711674, Y: 0.0278717, Z: 0.340023, Velocity_in: X: -0.00122397, Y: -0.00103444, Z: -0.000619128, Error: X: 0.000711674, Y: 0.0278717, Z: 0.340023, 
Current Pose: X: -0.000684174, Y: -0.0279241, Z: -0.339748, Yaw: 1.69983, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000684174, Y: 0.0279241, Z: 0.339748, Velocity_in: X: -0.00134017, Y: -0.000969001, Z: -0.000388638, Error: X: 0.000684174, Y: 0.0279241, Z: 0.339748, 
Current Pose: X: -0.000662281, Y: -0.0279691, Z: -0.33952, Yaw: 1.69984, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000662281, Y: 0.0279691, Z: 0.33952, Velocity_in: X: -0.00126505, Y: -0.000646116, Z: -0.000338852, Error: X: 0.000662281, Y: 0.0279691, Z: 0.33952, 
Current Pose: X: -0.000645895, Y: -0.0280275, Z: -0.339149, Yaw: 1.69988, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000645895, Y: 0.0280275, Z: 0.339149, Velocity_in: X: -0.00142608, Y: -0.000760826, Z: -0.000328598, Error: X: 0.000645895, Y: 0.0280275, Z: 0.339149, 
Current Pose: X: -0.000639051, Y: -0.0280926, Z: -0.338724, Yaw: 1.69991, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000639051, Y: 0.0280926, Z: 0.338724, Velocity_in: X: -0.00139632, Y: -0.000126492, Z: 8.59848e-05, Error: X: 0.000639051, Y: 0.0280926, Z: 0.338724, 
Current Pose: X: -0.000634755, Y: -0.0281373, Z: -0.338481, Yaw: 1.69986, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000634755, Y: 0.0281373, Z: 0.338481, Velocity_in: X: -0.00147696, Y: -0.000292602, Z: 0.000318213, Error: X: 0.000634755, Y: 0.0281373, Z: 0.338481, 
Current Pose: X: -0.000634198, Y: -0.0281918, Z: -0.338187, Yaw: 1.69989, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000634198, Y: 0.0281918, Z: 0.338187, Velocity_in: X: -0.00133044, Y: -0.000373627, Z: 0.00028626, Error: X: 0.000634198, Y: 0.0281918, Z: 0.338187, 
Current Pose: X: -0.000627271, Y: -0.0282432, Z: -0.337934, Yaw: 1.69987, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000627271, Y: 0.0282432, Z: 0.337934, Velocity_in: X: -0.00119922, Y: -0.000439128, Z: 0.000357308, Error: X: 0.000627271, Y: 0.0282432, Z: 0.337934, 
Current Pose: X: -0.000617528, Y: -0.0282838, Z: -0.337735, Yaw: 1.69984, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000617528, Y: 0.0282838, Z: 0.337735, Velocity_in: X: -0.00144777, Y: -0.000671918, Z: -0.000124814, Error: X: 0.000617528, Y: 0.0282838, Z: 0.337735, 
Current Pose: X: -0.000612202, Y: -0.0283308, Z: -0.337471, Yaw: 1.69984, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000612202, Y: 0.0283308, Z: 0.337471, Velocity_in: X: -0.0013303, Y: -0.000702177, Z: -7.30842e-06, Error: X: 0.000612202, Y: 0.0283308, Z: 0.337471, 
Current Pose: X: -0.000614107, Y: -0.0283714, Z: -0.337269, Yaw: 1.69985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000614107, Y: 0.0283714, Z: 0.337269, Velocity_in: X: -0.00110678, Y: -0.000152124, Z: 0.000336006, Error: X: 0.000614107, Y: 0.0283714, Z: 0.337269, 
Current Pose: X: -0.000618281, Y: -0.0284214, Z: -0.337068, Yaw: 1.69981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000618281, Y: 0.0284214, Z: 0.337068, Velocity_in: X: -0.00120169, Y: -0.000447394, Z: 0.000426799, Error: X: 0.000618281, Y: 0.0284214, Z: 0.337068, 
Current Pose: X: -0.000633343, Y: -0.0284674, Z: -0.336918, Yaw: 1.69981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000633343, Y: 0.0284674, Z: 0.336918, Velocity_in: X: -0.00129986, Y: 0.000129317, Z: 0.000528619, Error: X: 0.000633343, Y: 0.0284674, Z: 0.336918, 
Current Pose: X: -0.000656052, Y: -0.0285387, Z: -0.336685, Yaw: 1.69977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000656052, Y: 0.0285387, Z: 0.336685, Velocity_in: X: -0.00177332, Y: 0.000382443, Z: 0.000727463, Error: X: 0.000656052, Y: 0.0285387, Z: 0.336685, 
Current Pose: X: -0.000673794, Y: -0.0286128, Z: -0.336418, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000673794, Y: 0.0286128, Z: 0.336418, Velocity_in: X: -0.00179794, Y: 0.000425938, Z: 0.000709834, Error: X: 0.000673794, Y: 0.0286128, Z: 0.336418, 
Current Pose: X: -0.000686604, Y: -0.0286769, Z: -0.336182, Yaw: 1.69978, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000686604, Y: 0.0286769, Z: 0.336182, Velocity_in: X: -0.00205351, Y: 0.00021026, Z: 0.00139446, Error: X: 0.000686604, Y: 0.0286769, Z: 0.336182, 
Current Pose: X: -0.000707995, Y: -0.0287704, Z: -0.335861, Yaw: 1.69969, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000707995, Y: 0.0287704, Z: 0.335861, Velocity_in: X: -0.00231803, Y: 0.000376042, Z: 0.00130026, Error: X: 0.000707995, Y: 0.0287704, Z: 0.335861, 
Current Pose: X: -0.000725107, Y: -0.0288714, Z: -0.335537, Yaw: 1.6997, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000725107, Y: 0.0288714, Z: 0.335537, Velocity_in: X: -0.00242183, Y: 0.000624862, Z: 0.00155285, Error: X: 0.000725107, Y: 0.0288714, Z: 0.335537, 
Current Pose: X: -0.000733679, Y: -0.0289607, Z: -0.335305, Yaw: 1.69974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000733679, Y: 0.0289607, Z: 0.335305, Velocity_in: X: -0.0029055, Y: 0.000523485, Z: 0.00163261, Error: X: 0.000733679, Y: 0.0289607, Z: 0.335305, 
Current Pose: X: -0.000738368, Y: -0.0290805, Z: -0.335048, Yaw: 1.69972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.000738368, Y: 0.0290805, Z: 0.335048, Velocity_in: X: -0.00314047, Y: 0.000328426, Z: 0.00113926, Error: X: 0.000738368, Y: 0.0290805, Z: 0.335048, 
