Current Pose: X: 0.00233845, Y: -0.00655646, Z: -3.16305, Yaw: 1.87831, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00233845, Y: 0.00655646, Z: 3.16305, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00233845, Y: 0.00655646, Z: 3.16305, 
Current Pose: X: 0.00238219, Y: -0.00655104, Z: -3.16342, Yaw: 1.87832, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00238219, Y: 0.00655104, Z: 3.16342, Velocity_in: X: -0.000800404, Y: -0.00301878, Z: 0.00225165, Error: X: -0.00238219, Y: 0.00655104, Z: 3.16342, 
Current Pose: X: 0.00240442, Y: -0.00656251, Z: -3.16393, Yaw: 1.87832, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00240442, Y: 0.00656251, Z: 3.16393, Velocity_in: X: -0.00108936, Y: -0.00238729, Z: 0.00198008, Error: X: -0.00240442, Y: 0.00656251, Z: 3.16393, 
Current Pose: X: 0.0024167, Y: -0.00658406, Z: -3.16431, Yaw: 1.87829, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0024167, Y: 0.00658406, Z: 3.16431, Velocity_in: X: -0.00130358, Y: -0.00201103, Z: 0.00173556, Error: X: -0.0024167, Y: 0.00658406, Z: 3.16431, 
Current Pose: X: 0.00242353, Y: -0.00662455, Z: -3.16478, Yaw: 1.87831, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00242353, Y: 0.00662455, Z: 3.16478, Velocity_in: X: -0.00156207, Y: -0.00169936, Z: 0.00203524, Error: X: -0.00242353, Y: 0.00662455, Z: 3.16478, 
Current Pose: X: 0.00244598, Y: -0.00666384, Z: -3.1653, Yaw: 1.87821, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00244598, Y: 0.00666384, Z: 3.1653, Velocity_in: X: -0.0016799, Y: -0.00185037, Z: 0.00209799, Error: X: -0.00244598, Y: 0.00666384, Z: 3.1653, 
Current Pose: X: 0.00244838, Y: -0.00669221, Z: -3.16581, Yaw: 1.87821, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00244838, Y: 0.00669221, Z: 3.16581, Velocity_in: X: -0.00177693, Y: -0.00195503, Z: 0.0022105, Error: X: -0.00244838, Y: 0.00669221, Z: 3.16581, 
Current Pose: X: 0.0024476, Y: -0.00671075, Z: -3.16617, Yaw: 1.87824, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0024476, Y: 0.00671075, Z: 3.16617, Velocity_in: X: -0.00188289, Y: -0.00195077, Z: 0.00220811, Error: X: -0.0024476, Y: 0.00671075, Z: 3.16617, 
Current Pose: X: 0.00244872, Y: -0.00674409, Z: -3.1667, Yaw: 1.87825, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00244872, Y: 0.00674409, Z: 3.1667, Velocity_in: X: -0.00187026, Y: -0.00175734, Z: 0.00200686, Error: X: -0.00244872, Y: 0.00674409, Z: 3.1667, 
Current Pose: X: 0.00244192, Y: -0.00678214, Z: -3.1672, Yaw: 1.87828, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00244192, Y: 0.00678214, Z: 3.1672, Velocity_in: X: -0.00213227, Y: -0.00163061, Z: 0.00191531, Error: X: -0.00244192, Y: 0.00678214, Z: 3.1672, 
Current Pose: X: 0.00244414, Y: -0.00681289, Z: -3.16756, Yaw: 1.87829, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00244414, Y: 0.00681289, Z: 3.16756, Velocity_in: X: -0.00219345, Y: -0.0012335, Z: 0.00184096, Error: X: -0.00244414, Y: 0.00681289, Z: 3.16756, 
