Current Pose: X: -0.41099, Y: -0.4114, Z: -0.00940254, Yaw: 1.62336, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616484, Y: 0.6171, Z: 0.0141038, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.41099, Y: 0.4114, Z: 0.00940254, 
Current Pose: X: -0.411062, Y: -0.411502, Z: -0.0094017, Yaw: 1.6235, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616593, Y: 0.617252, Z: 0.0141026, Velocity_in: X: -0.00302835, Y: 0.00233973, Z: 0.00456218, Error: X: 0.411062, Y: 0.411502, Z: 0.0094017, 
Current Pose: X: -0.411152, Y: -0.411632, Z: -0.00948812, Yaw: 1.62361, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616728, Y: 0.617448, Z: 0.0142322, Velocity_in: X: -0.00290681, Y: 0.00233348, Z: 0.00456102, Error: X: 0.411152, Y: 0.411632, Z: 0.00948812, 
Current Pose: X: -0.411208, Y: -0.41173, Z: -0.00951666, Yaw: 1.62367, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616812, Y: 0.617595, Z: 0.014275, Velocity_in: X: -0.00281758, Y: 0.00230413, Z: 0.00454373, Error: X: 0.411208, Y: 0.41173, Z: 0.00951666, 
Current Pose: X: -0.411243, Y: -0.411845, Z: -0.00952712, Yaw: 1.62376, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616864, Y: 0.617768, Z: 0.0142907, Velocity_in: X: -0.00282404, Y: 0.00219529, Z: 0.0045953, Error: X: 0.411243, Y: 0.411845, Z: 0.00952712, 
Current Pose: X: -0.411261, Y: -0.411919, Z: -0.00960556, Yaw: 1.62384, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616892, Y: 0.617879, Z: 0.0144083, Velocity_in: X: -0.00278231, Y: 0.00191738, Z: 0.00466294, Error: X: 0.411261, Y: 0.411919, Z: 0.00960556, 
Current Pose: X: -0.411272, Y: -0.411985, Z: -0.00957565, Yaw: 1.62388, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616909, Y: 0.617978, Z: 0.0143635, Velocity_in: X: -0.00263449, Y: 0.00172579, Z: 0.00461239, Error: X: 0.411272, Y: 0.411985, Z: 0.00957565, 
Current Pose: X: -0.411278, Y: -0.412048, Z: -0.00949325, Yaw: 1.62396, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616916, Y: 0.618072, Z: 0.0142399, Velocity_in: X: -0.00265384, Y: 0.00172173, Z: 0.0045887, Error: X: 0.411278, Y: 0.412048, Z: 0.00949325, 
Current Pose: X: -0.411283, Y: -0.412108, Z: -0.00935251, Yaw: 1.62412, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616924, Y: 0.618162, Z: 0.0140288, Velocity_in: X: -0.00251678, Y: 0.00164721, Z: 0.00465913, Error: X: 0.411283, Y: 0.412108, Z: 0.00935251, 
Current Pose: X: -0.411293, Y: -0.412137, Z: -0.00921051, Yaw: 1.62417, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616939, Y: 0.618206, Z: 0.0138158, Velocity_in: X: -0.00234773, Y: 0.00158546, Z: 0.00482248, Error: X: 0.411293, Y: 0.412137, Z: 0.00921051, 
Current Pose: X: -0.411298, Y: -0.412159, Z: -0.00900949, Yaw: 1.62431, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.616947, Y: 0.618239, Z: 0.0135142, Velocity_in: X: -0.00213109, Y: 0.00153402, Z: 0.00478038, Error: X: 0.411298, Y: 0.412159, Z: 0.00900949, 
