Current Pose: X: 0.00165281, Y: -0.00640831, Z: -0.214594, Yaw: 1.84458, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00165281, Y: 0.00640831, Z: 0.214594, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00165281, Y: 0.00640831, Z: 0.214594, 
Current Pose: X: 0.00164683, Y: -0.00638951, Z: -0.214753, Yaw: 1.84458, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164683, Y: 0.00638951, Z: 0.214753, Velocity_in: X: 0.00246456, Y: -0.00026584, Z: 0.000203579, Error: X: -0.00164683, Y: 0.00638951, Z: 0.214753, 
Current Pose: X: 0.00164058, Y: -0.00636487, Z: -0.214897, Yaw: 1.84457, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00164058, Y: 0.00636487, Z: 0.214897, Velocity_in: X: 0.00240077, Y: -0.000248342, Z: 0.000176624, Error: X: -0.00164058, Y: 0.00636487, Z: 0.214897, 
Current Pose: X: 0.00163095, Y: -0.00632041, Z: -0.215079, Yaw: 1.84456, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00163095, Y: 0.00632041, Z: 0.215079, Velocity_in: X: 0.00243392, Y: -0.000343196, Z: 0.000293361, Error: X: -0.00163095, Y: 0.00632041, Z: 0.215079, 
Current Pose: X: 0.00162091, Y: -0.00628301, Z: -0.21518, Yaw: 1.84456, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00162091, Y: 0.00628301, Z: 0.21518, Velocity_in: X: 0.00261923, Y: -0.000286125, Z: 0.00033148, Error: X: -0.00162091, Y: 0.00628301, Z: 0.21518, 
Current Pose: X: 0.00161053, Y: -0.00624165, Z: -0.215308, Yaw: 1.84455, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00161053, Y: 0.00624165, Z: 0.215308, Velocity_in: X: 0.00255804, Y: -0.000177426, Z: 0.000250997, Error: X: -0.00161053, Y: 0.00624165, Z: 0.215308, 
Current Pose: X: 0.00160263, Y: -0.00621029, Z: -0.215558, Yaw: 1.84455, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00160263, Y: 0.00621029, Z: 0.215558, Velocity_in: X: 0.00259741, Y: -0.000264872, Z: 0.000241007, Error: X: -0.00160263, Y: 0.00621029, Z: 0.215558, 
Current Pose: X: 0.00159915, Y: -0.00620222, Z: -0.215832, Yaw: 1.84455, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00159915, Y: 0.00620222, Z: 0.215832, Velocity_in: X: 0.00266735, Y: -0.000288009, Z: 0.000141385, Error: X: -0.00159915, Y: 0.00620222, Z: 0.215832, 
Current Pose: X: 0.00159383, Y: -0.00618993, Z: -0.216127, Yaw: 1.84454, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00159383, Y: 0.00618993, Z: 0.216127, Velocity_in: X: 0.00259475, Y: -0.00023905, Z: 0.000132471, Error: X: -0.00159383, Y: 0.00618993, Z: 0.216127, 
Current Pose: X: 0.00158388, Y: -0.00616179, Z: -0.216593, Yaw: 1.84454, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00158388, Y: 0.00616179, Z: 0.216593, Velocity_in: X: 0.0026286, Y: -0.000178076, Z: 2.38743e-05, Error: X: -0.00158388, Y: 0.00616179, Z: 0.216593, 
Current Pose: X: 0.00157612, Y: -0.00613368, Z: -0.217082, Yaw: 1.84454, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00157612, Y: 0.00613368, Z: 0.217082, Velocity_in: X: 0.00270794, Y: -0.00015787, Z: 9.67985e-05, Error: X: -0.00157612, Y: 0.00613368, Z: 0.217082, 
