Current Pose: X: -0.321478, Y: -3.637496, Z: -5.876410, Yaw: 1.913607, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.382357, Y: 15.641234, Z: 26.443843, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.321478, Y: 3.637496, Z: 5.876410, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987104
Current Pose: X: -0.321403, Y: -3.637575, Z: -5.876603, Yaw: 1.913582, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256859, Y: 2.910335, Z: 20.568305, Velocity_in: X: -0.001993, Y: -0.000845, Z: 0.001039, Error: X: 0.321403, Y: 3.637575, Z: 5.876603, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987137
Current Pose: X: -0.321354, Y: -3.637628, Z: -5.876721, Yaw: 1.913590, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256912, Y: 2.910289, Z: 20.568641, Velocity_in: X: -0.002017, Y: -0.000704, Z: 0.001019, Error: X: 0.321354, Y: 3.637628, Z: 5.876721, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987169
Current Pose: X: -0.321288, Y: -3.637698, Z: -5.876788, Yaw: 1.913576, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256798, Y: 2.910405, Z: 20.568826, Velocity_in: X: -0.002152, Y: -0.000736, Z: 0.000723, Error: X: 0.321288, Y: 3.637698, Z: 5.876788, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987203
Current Pose: X: -0.321233, Y: -3.637764, Z: -5.876784, Yaw: 1.913589, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256797, Y: 2.910441, Z: 20.568741, Velocity_in: X: -0.001976, Y: -0.000608, Z: 0.001133, Error: X: 0.321233, Y: 3.637764, Z: 5.876784, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987236
Current Pose: X: -0.321187, Y: -3.637832, Z: -5.876722, Yaw: 1.913583, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256786, Y: 2.910504, Z: 20.568464, Velocity_in: X: -0.002191, Y: -0.000583, Z: 0.001128, Error: X: 0.321187, Y: 3.637832, Z: 5.876722, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987272
Current Pose: X: -0.321161, Y: -3.637877, Z: -5.876677, Yaw: 1.913574, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256838, Y: 2.910459, Z: 20.568323, Velocity_in: X: -0.002047, Y: -0.000240, Z: 0.001339, Error: X: 0.321161, Y: 3.637877, Z: 5.876677, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987304
Current Pose: X: -0.321128, Y: -3.637941, Z: -5.876594, Yaw: 1.913517, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256788, Y: 2.910578, Z: 20.567995, Velocity_in: X: -0.001931, Y: -0.000509, Z: 0.001460, Error: X: 0.321128, Y: 3.637941, Z: 5.876594, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987337
Current Pose: X: -0.321104, Y: -3.637997, Z: -5.876467, Yaw: 1.913485, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256798, Y: 2.910594, Z: 20.567509, Velocity_in: X: -0.002154, Y: -0.000308, Z: 0.001556, Error: X: 0.321104, Y: 3.637997, Z: 5.876467, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987370
Current Pose: X: -0.321093, Y: -3.638037, Z: -5.876412, Yaw: 1.913507, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256839, Y: 2.910568, Z: 20.567386, Velocity_in: X: -0.001963, Y: -0.000179, Z: 0.001556, Error: X: 0.321093, Y: 3.638037, Z: 5.876412, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987403
Current Pose: X: -0.321091, Y: -3.638088, Z: -5.876352, Yaw: 1.913570, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.256864, Y: 2.910648, Z: 20.567173, Velocity_in: X: -0.001740, Y: 0.000089, Z: 0.001262, Error: X: 0.321091, Y: 3.638088, Z: 5.876352, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 2987436
