Current Pose: X: 0.020654, Y: -0.140606, Z: -0.161104, Yaw: 1.830379, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020691, Y: 0.140971, Z: 0.563628, Velocity_in: X: -0.001304, Y: 0.000444, Z: 0.019007, Error: X: -0.020654, Y: 0.140606, Z: 0.161104, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735749
Current Pose: X: 0.020645, Y: -0.140677, Z: -0.161237, Yaw: 1.830359, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020611, Y: 0.140924, Z: 0.564462, Velocity_in: X: -0.001201, Y: 0.000393, Z: 0.019068, Error: X: -0.020645, Y: 0.140677, Z: 0.161237, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735781
Current Pose: X: 0.020614, Y: -0.140755, Z: -0.161305, Yaw: 1.830385, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020505, Y: 0.141029, Z: 0.564634, Velocity_in: X: -0.001007, Y: 0.000125, Z: 0.018680, Error: X: -0.020614, Y: 0.140755, Z: 0.161305, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735814
Current Pose: X: 0.020595, Y: -0.140818, Z: -0.161285, Yaw: 1.830387, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020528, Y: 0.141037, Z: 0.564477, Velocity_in: X: -0.000496, Y: 0.000292, Z: 0.018749, Error: X: -0.020595, Y: 0.140818, Z: 0.161285, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735849
Current Pose: X: 0.020591, Y: -0.140857, Z: -0.161188, Yaw: 1.830401, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020577, Y: 0.140993, Z: 0.564061, Velocity_in: X: -0.000402, Y: 0.000277, Z: 0.018891, Error: X: -0.020591, Y: 0.140857, Z: 0.161188, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735880
Current Pose: X: 0.020607, Y: -0.140901, Z: -0.160978, Yaw: 1.830427, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020663, Y: 0.141056, Z: 0.563211, Velocity_in: X: -0.000440, Y: 0.000001, Z: 0.019019, Error: X: -0.020607, Y: 0.140901, Z: 0.160978, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735916
Current Pose: X: 0.020619, Y: -0.140929, Z: -0.160731, Yaw: 1.830415, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020661, Y: 0.141025, Z: 0.562311, Velocity_in: X: 0.000016, Y: 0.000034, Z: 0.019297, Error: X: -0.020619, Y: 0.140929, Z: 0.160731, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735951
Current Pose: X: 0.020616, Y: -0.140955, Z: -0.160722, Yaw: 1.830448, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020607, Y: 0.141049, Z: 0.562518, Velocity_in: X: -0.000100, Y: -0.000222, Z: 0.019490, Error: X: -0.020616, Y: 0.140955, Z: 0.160722, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735982
Current Pose: X: 0.020595, Y: -0.140977, Z: -0.160762, Yaw: 1.830459, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020522, Y: 0.141052, Z: 0.562707, Velocity_in: X: -0.000357, Y: 0.000117, Z: 0.019555, Error: X: -0.020595, Y: 0.140977, Z: 0.160762, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736015
Current Pose: X: 0.020558, Y: -0.140998, Z: -0.160736, Yaw: 1.830467, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020428, Y: 0.141072, Z: 0.562549, Velocity_in: X: -0.000262, Y: 0.000397, Z: 0.019294, Error: X: -0.020558, Y: 0.140998, Z: 0.160736, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736050
