Current Pose: X: -0.788770, Y: -1.381456, Z: -0.683463, Yaw: 2.080071, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 3.549465, Y: 6.216550, Z: 3.075581, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.788770, Y: 1.381456, Z: 0.683463, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645479
Current Pose: X: -0.788795, Y: -1.381490, Z: -0.683182, Yaw: 2.080027, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788884, Y: 1.381608, Z: 2.390858, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.788795, Y: 1.381490, Z: 0.683182, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645506
Current Pose: X: -0.788806, Y: -1.381503, Z: -0.682876, Yaw: 2.080023, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788842, Y: 1.381551, Z: 2.389758, Velocity_in: X: 0.001689, Y: 0.000015, Z: 0.011024, Error: X: 0.788806, Y: 1.381503, Z: 0.682876, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645539
Current Pose: X: -0.788806, Y: -1.381519, Z: -0.682652, Yaw: 2.079961, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788807, Y: 1.381576, Z: 2.389057, Velocity_in: X: 0.001716, Y: -0.000462, Z: 0.011215, Error: X: 0.788806, Y: 1.381519, Z: 0.682652, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645573
Current Pose: X: -0.788810, Y: -1.381540, Z: -0.682554, Yaw: 2.079838, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788824, Y: 1.381611, Z: 2.388842, Velocity_in: X: 0.001633, Y: -0.000350, Z: 0.011328, Error: X: 0.788810, Y: 1.381540, Z: 0.682554, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645605
Current Pose: X: -0.788801, Y: -1.381564, Z: -0.682366, Yaw: 2.079840, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788770, Y: 1.381648, Z: 2.388093, Velocity_in: X: 0.001981, Y: -0.000418, Z: 0.011666, Error: X: 0.788801, Y: 1.381564, Z: 0.682366, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645638
Current Pose: X: -0.788755, Y: -1.381594, Z: -0.682053, Yaw: 2.079749, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788594, Y: 1.381699, Z: 2.386874, Velocity_in: X: 0.001265, Y: -0.000656, Z: 0.011761, Error: X: 0.788755, Y: 1.381594, Z: 0.682053, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645675
Current Pose: X: -0.788705, Y: -1.381610, Z: -0.681732, Yaw: 2.079717, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788527, Y: 1.381667, Z: 2.385739, Velocity_in: X: 0.001350, Y: -0.001178, Z: 0.011691, Error: X: 0.788705, Y: 1.381610, Z: 0.681732, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645707
Current Pose: X: -0.788644, Y: -1.381634, Z: -0.681395, Yaw: 2.079695, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788433, Y: 1.381718, Z: 2.384544, Velocity_in: X: 0.001274, Y: -0.001380, Z: 0.011834, Error: X: 0.788644, Y: 1.381634, Z: 0.681395, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645740
Current Pose: X: -0.788584, Y: -1.381662, Z: -0.681091, Yaw: 2.079665, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788371, Y: 1.381762, Z: 2.383515, Velocity_in: X: 0.001571, Y: -0.001411, Z: 0.011800, Error: X: 0.788584, Y: 1.381662, Z: 0.681091, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645774
Current Pose: X: -0.788542, Y: -1.381693, Z: -0.680977, Yaw: 2.079649, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788397, Y: 1.381798, Z: 2.383308, Velocity_in: X: 0.001315, Y: -0.001381, Z: 0.011918, Error: X: 0.788542, Y: 1.381693, Z: 0.680977, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645806
Current Pose: X: -0.788492, Y: -1.381741, Z: -0.680842, Yaw: 2.079663, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788319, Y: 1.381909, Z: 2.382811, Velocity_in: X: 0.001247, Y: -0.001182, Z: 0.011476, Error: X: 0.788492, Y: 1.381741, Z: 0.680842, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645839
Current Pose: X: -0.788426, Y: -1.381784, Z: -0.680522, Yaw: 2.079628, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788191, Y: 1.381937, Z: 2.381508, Velocity_in: X: 0.001114, Y: -0.001247, Z: 0.011355, Error: X: 0.788426, Y: 1.381784, Z: 0.680522, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645873
Current Pose: X: -0.788372, Y: -1.381823, Z: -0.680214, Yaw: 2.079571, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788185, Y: 1.381958, Z: 2.380440, Velocity_in: X: 0.001107, Y: -0.001478, Z: 0.011412, Error: X: 0.788372, Y: 1.381823, Z: 0.680214, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645905
Current Pose: X: -0.788293, Y: -1.381869, Z: -0.679791, Yaw: 2.079533, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.788017, Y: 1.382029, Z: 2.378844, Velocity_in: X: 0.001189, Y: -0.001468, Z: 0.010988, Error: X: 0.788293, Y: 1.381869, Z: 0.679791, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645939
Current Pose: X: -0.788214, Y: -1.381897, Z: -0.679493, Yaw: 2.079500, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787935, Y: 1.381995, Z: 2.377929, Velocity_in: X: 0.000870, Y: -0.001538, Z: 0.011020, Error: X: 0.788214, Y: 1.381897, Z: 0.679493, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 645975
Current Pose: X: -0.788141, Y: -1.381907, Z: -0.679231, Yaw: 2.079465, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787886, Y: 1.381942, Z: 2.377045, Velocity_in: X: 0.001219, Y: -0.001846, Z: 0.010990, Error: X: 0.788141, Y: 1.381907, Z: 0.679231, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646008
Current Pose: X: -0.788090, Y: -1.381916, Z: -0.679077, Yaw: 2.079459, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787912, Y: 1.381946, Z: 2.376616, Velocity_in: X: 0.001589, Y: -0.001780, Z: 0.010563, Error: X: 0.788090, Y: 1.381916, Z: 0.679077, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646040
Current Pose: X: -0.788011, Y: -1.381940, Z: -0.678655, Yaw: 2.079395, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787735, Y: 1.382023, Z: 2.374870, Velocity_in: X: 0.001396, Y: -0.001790, Z: 0.010730, Error: X: 0.788011, Y: 1.381940, Z: 0.678655, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646074
Current Pose: X: -0.787936, Y: -1.381960, Z: -0.678159, Yaw: 2.079355, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787672, Y: 1.382030, Z: 2.373060, Velocity_in: X: 0.001557, Y: -0.001690, Z: 0.010672, Error: X: 0.787936, Y: 1.381960, Z: 0.678159, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646107
Current Pose: X: -0.787867, Y: -1.381978, Z: -0.677739, Yaw: 2.079343, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787628, Y: 1.382044, Z: 2.371667, Velocity_in: X: 0.001286, Y: -0.002259, Z: 0.011447, Error: X: 0.787867, Y: 1.381978, Z: 0.677739, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646139
Current Pose: X: -0.787785, Y: -1.382002, Z: -0.677176, Yaw: 2.079309, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787495, Y: 1.382084, Z: 2.369551, Velocity_in: X: 0.001246, Y: -0.002116, Z: 0.011443, Error: X: 0.787785, Y: 1.382002, Z: 0.677176, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646173
Current Pose: X: -0.787726, Y: -1.382013, Z: -0.676707, Yaw: 2.079279, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787522, Y: 1.382053, Z: 2.368007, Velocity_in: X: 0.000872, Y: -0.001981, Z: 0.011710, Error: X: 0.787726, Y: 1.382013, Z: 0.676707, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646205
Current Pose: X: -0.787697, Y: -1.382014, Z: -0.676443, Yaw: 2.079247, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787593, Y: 1.382017, Z: 2.367288, Velocity_in: X: 0.001939, Y: -0.001880, Z: 0.011285, Error: X: 0.787697, Y: 1.382014, Z: 0.676443, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646239
Current Pose: X: -0.787670, Y: -1.382023, Z: -0.676101, Yaw: 2.079128, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787579, Y: 1.382054, Z: 2.366010, Velocity_in: X: 0.001843, Y: -0.001622, Z: 0.010830, Error: X: 0.787670, Y: 1.382023, Z: 0.676101, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646272
Current Pose: X: -0.787635, Y: -1.382047, Z: -0.675662, Yaw: 2.079091, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787510, Y: 1.382132, Z: 2.364379, Velocity_in: X: 0.002037, Y: -0.001521, Z: 0.010377, Error: X: 0.787635, Y: 1.382047, Z: 0.675662, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646310
Current Pose: X: -0.787589, Y: -1.382094, Z: -0.675198, Yaw: 2.079092, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787430, Y: 1.382257, Z: 2.362729, Velocity_in: X: 0.001526, Y: -0.001292, Z: 0.010655, Error: X: 0.787589, Y: 1.382094, Z: 0.675198, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646340
Current Pose: X: -0.787557, Y: -1.382119, Z: -0.674836, Yaw: 2.079033, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787444, Y: 1.382209, Z: 2.361565, Velocity_in: X: 0.002154, Y: -0.001540, Z: 0.010436, Error: X: 0.787557, Y: 1.382119, Z: 0.674836, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646376
Current Pose: X: -0.787521, Y: -1.382173, Z: -0.674523, Yaw: 2.079007, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787395, Y: 1.382361, Z: 2.360519, Velocity_in: X: 0.002231, Y: -0.001605, Z: 0.010480, Error: X: 0.787521, Y: 1.382173, Z: 0.674523, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646407
Current Pose: X: -0.787481, Y: -1.382230, Z: -0.674402, Yaw: 2.078997, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.787339, Y: 1.382430, Z: 2.360285, Velocity_in: X: 0.001981, Y: -0.001361, Z: 0.010357, Error: X: 0.787481, Y: 1.382230, Z: 0.674402, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 646440
