Current Pose: X: -0.139727, Y: -0.377902, Z: -1.281642, Yaw: 1.705247, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.600826, Y: 1.624977, Z: 5.767390, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.139727, Y: 0.377902, Z: 1.281642, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 242950
Current Pose: X: -0.139807, Y: -0.377947, Z: -1.281714, Yaw: 1.705249, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112126, Y: 0.302518, Z: 4.486071, Velocity_in: X: -0.002599, Y: 0.002256, Z: 0.006299, Error: X: 0.139807, Y: 0.377947, Z: 1.281714, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 242983
Current Pose: X: -0.139860, Y: -0.377974, Z: -1.281725, Yaw: 1.705222, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112074, Y: 0.302473, Z: 4.486050, Velocity_in: X: -0.002743, Y: 0.002464, Z: 0.006375, Error: X: 0.139860, Y: 0.377974, Z: 1.281725, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243016
Current Pose: X: -0.139932, Y: -0.378002, Z: -1.281657, Yaw: 1.705263, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112196, Y: 0.302498, Z: 4.485729, Velocity_in: X: -0.002427, Y: 0.002498, Z: 0.006269, Error: X: 0.139932, Y: 0.378002, Z: 1.281657, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243049
Current Pose: X: -0.140001, Y: -0.378038, Z: -1.281523, Yaw: 1.705270, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112243, Y: 0.302559, Z: 4.485198, Velocity_in: X: -0.002168, Y: 0.002344, Z: 0.006272, Error: X: 0.140001, Y: 0.378038, Z: 1.281523, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243082
Current Pose: X: -0.140062, Y: -0.378066, Z: -1.281343, Yaw: 1.705288, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112262, Y: 0.302548, Z: 4.484521, Velocity_in: X: -0.002175, Y: 0.002264, Z: 0.006842, Error: X: 0.140062, Y: 0.378066, Z: 1.281343, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243118
Current Pose: X: -0.140111, Y: -0.378086, Z: -1.281255, Yaw: 1.705289, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112263, Y: 0.302541, Z: 4.484302, Velocity_in: X: -0.001962, Y: 0.002621, Z: 0.006857, Error: X: 0.140111, Y: 0.378086, Z: 1.281255, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243150
Current Pose: X: -0.140148, Y: -0.378099, Z: -1.281246, Yaw: 1.705315, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112246, Y: 0.302523, Z: 4.484352, Velocity_in: X: -0.001896, Y: 0.002626, Z: 0.006917, Error: X: 0.140148, Y: 0.378099, Z: 1.281246, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243183
Current Pose: X: -0.140175, Y: -0.378128, Z: -1.281056, Yaw: 1.705280, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112237, Y: 0.302602, Z: 4.483507, Velocity_in: X: -0.001691, Y: 0.002334, Z: 0.006573, Error: X: 0.140175, Y: 0.378128, Z: 1.281056, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243216
Current Pose: X: -0.140195, Y: -0.378151, Z: -1.280928, Yaw: 1.705232, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112224, Y: 0.302603, Z: 4.483121, Velocity_in: X: -0.001677, Y: 0.002640, Z: 0.006652, Error: X: 0.140195, Y: 0.378151, Z: 1.280928, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243249
Current Pose: X: -0.140242, Y: -0.378199, Z: -1.280767, Yaw: 1.705227, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.112359, Y: 0.302728, Z: 4.482521, Velocity_in: X: -0.001167, Y: 0.002624, Z: 0.006409, Error: X: 0.140242, Y: 0.378199, Z: 1.280767, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 243282
