Current Pose: X: 1.068954, Y: -3.018990, Z: -3.174008, Yaw: 1.925539, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320686, Y: 0.905697, Z: 0.952202, Velocity_in: X: -0.001323, Y: 0.000494, Z: -0.001446, Error: X: -1.068954, Y: 3.018990, Z: 3.174008, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673727
Current Pose: X: 1.068936, Y: -3.019043, Z: -3.174056, Yaw: 1.925533, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320681, Y: 0.905713, Z: 0.952217, Velocity_in: X: -0.001408, Y: 0.000805, Z: -0.001487, Error: X: -1.068936, Y: 3.019043, Z: 3.174056, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673760
Current Pose: X: 1.068919, Y: -3.019097, Z: -3.174047, Yaw: 1.925544, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320676, Y: 0.905729, Z: 0.952214, Velocity_in: X: -0.001426, Y: 0.000802, Z: -0.001571, Error: X: -1.068919, Y: 3.019097, Z: 3.174047, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673793
Current Pose: X: 1.068974, Y: -3.019114, Z: -3.173947, Yaw: 1.925539, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320692, Y: 0.905734, Z: 0.952184, Velocity_in: X: -0.001423, Y: 0.000822, Z: -0.001559, Error: X: -1.068974, Y: 3.019114, Z: 3.173947, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673825
Current Pose: X: 1.069022, Y: -3.019126, Z: -3.173807, Yaw: 1.925531, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320707, Y: 0.905738, Z: 0.952142, Velocity_in: X: -0.001395, Y: 0.000409, Z: -0.001534, Error: X: -1.069022, Y: 3.019126, Z: 3.173807, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673858
Current Pose: X: 1.069072, Y: -3.019135, Z: -3.173717, Yaw: 1.925530, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320721, Y: 0.905740, Z: 0.952115, Velocity_in: X: -0.001312, Y: 0.000174, Z: -0.001420, Error: X: -1.069072, Y: 3.019135, Z: 3.173717, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673894
Current Pose: X: 1.069106, Y: -3.019180, Z: -3.173693, Yaw: 1.925544, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320732, Y: 0.905754, Z: 0.952108, Velocity_in: X: -0.001327, Y: -0.000039, Z: -0.001452, Error: X: -1.069106, Y: 3.019180, Z: 3.173693, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673928
Current Pose: X: 1.069113, Y: -3.019229, Z: -3.173707, Yaw: 1.925541, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320734, Y: 0.905769, Z: 0.952112, Velocity_in: X: -0.001330, Y: 0.000024, Z: -0.001471, Error: X: -1.069113, Y: 3.019229, Z: 3.173707, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673960
Current Pose: X: 1.069107, Y: -3.019284, Z: -3.173712, Yaw: 1.925576, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320732, Y: 0.905785, Z: 0.952114, Velocity_in: X: -0.001428, Y: 0.000282, Z: -0.001411, Error: X: -1.069107, Y: 3.019284, Z: 3.173712, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673993
Current Pose: X: 1.069090, Y: -3.019371, Z: -3.173729, Yaw: 1.925251, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320727, Y: 0.905811, Z: 0.952119, Velocity_in: X: -0.001418, Y: 0.000420, Z: -0.001525, Error: X: -1.069090, Y: 3.019371, Z: 3.173729, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674028
