Current Pose: X: -0.067510, Y: -0.350794, Z: -0.747685, Yaw: 1.748953, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.303796, Y: 1.578573, Z: 3.364582, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.067510, Y: 0.350794, Z: 0.747685, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219827
Current Pose: X: -0.067555, Y: -0.350858, Z: -0.747879, Yaw: 1.748962, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067713, Y: 0.351083, Z: 2.617772, Velocity_in: X: -0.001539, Y: 0.000619, Z: 0.002638, Error: X: 0.067555, Y: 0.350858, Z: 0.747879, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219867
Current Pose: X: -0.067619, Y: -0.350921, Z: -0.748132, Yaw: 1.748950, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067843, Y: 0.351140, Z: 2.618714, Velocity_in: X: -0.001429, Y: 0.000667, Z: 0.002618, Error: X: 0.067619, Y: 0.350921, Z: 0.748132, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219892
Current Pose: X: -0.067677, Y: -0.350952, Z: -0.748325, Yaw: 1.748943, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067879, Y: 0.351060, Z: 2.619330, Velocity_in: X: -0.001151, Y: 0.000552, Z: 0.002543, Error: X: 0.067677, Y: 0.350952, Z: 0.748325, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219926
Current Pose: X: -0.067731, Y: -0.350980, Z: -0.748573, Yaw: 1.748945, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067922, Y: 0.351078, Z: 2.620252, Velocity_in: X: -0.001168, Y: 0.000544, Z: 0.002625, Error: X: 0.067731, Y: 0.350980, Z: 0.748573, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219958
Current Pose: X: -0.067797, Y: -0.351012, Z: -0.749063, Yaw: 1.748951, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.068029, Y: 0.351125, Z: 2.622213, Velocity_in: X: -0.001116, Y: 0.000514, Z: 0.002639, Error: X: 0.067797, Y: 0.351012, Z: 0.749063, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 219991
Current Pose: X: -0.067838, Y: -0.351037, Z: -0.749335, Yaw: 1.748960, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067979, Y: 0.351123, Z: 2.622942, Velocity_in: X: -0.000886, Y: 0.000565, Z: 0.002585, Error: X: 0.067838, Y: 0.351037, Z: 0.749335, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 220024
Current Pose: X: -0.067878, Y: -0.351062, Z: -0.749568, Yaw: 1.748984, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.068018, Y: 0.351148, Z: 2.623721, Velocity_in: X: -0.000878, Y: 0.000644, Z: 0.002612, Error: X: 0.067878, Y: 0.351062, Z: 0.749568, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 220058
Current Pose: X: -0.067897, Y: -0.351087, Z: -0.749820, Yaw: 1.748985, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067966, Y: 0.351176, Z: 2.624620, Velocity_in: X: -0.000964, Y: 0.000657, Z: 0.002598, Error: X: 0.067897, Y: 0.351087, Z: 0.749820, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 220090
Current Pose: X: -0.067912, Y: -0.351119, Z: -0.750139, Yaw: 1.748974, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067965, Y: 0.351230, Z: 2.625805, Velocity_in: X: -0.001043, Y: 0.000583, Z: 0.002544, Error: X: 0.067912, Y: 0.351119, Z: 0.750139, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 220123
Current Pose: X: -0.067919, Y: -0.351144, Z: -0.750365, Yaw: 1.748965, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.067944, Y: 0.351233, Z: 2.626504, Velocity_in: X: -0.000994, Y: 0.000431, Z: 0.002641, Error: X: 0.067919, Y: 0.351144, Z: 0.750365, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 220156
