Current Pose: X: 1.468614, Y: 4.537004, Z: 0.186287, Yaw: 1.847376, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468575, Y: -4.536850, Z: -0.651664, Velocity_in: X: -0.000176, Y: 0.001607, Z: 0.003711, Error: X: -1.468614, Y: -4.537004, Z: -0.186287, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574637
Current Pose: X: 1.468602, Y: 4.536967, Z: 0.185959, Yaw: 1.847421, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468559, Y: -4.536840, Z: -0.650527, Velocity_in: X: -0.000887, Y: 0.001284, Z: 0.003172, Error: X: -1.468602, Y: -4.536967, Z: -0.185959, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574690
Current Pose: X: 1.468580, Y: 4.536897, Z: 0.185537, Yaw: 1.847414, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468501, Y: -4.536650, Z: -0.648956, Velocity_in: X: -0.000765, Y: 0.001700, Z: 0.003552, Error: X: -1.468580, Y: -4.536897, Z: -0.185537, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574740
Current Pose: X: 1.468561, Y: 4.536816, Z: 0.185096, Yaw: 1.847407, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468496, Y: -4.536532, Z: -0.647395, Velocity_in: X: -0.001716, Y: 0.001645, Z: 0.003957, Error: X: -1.468561, Y: -4.536816, Z: -0.185096, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574789
Current Pose: X: 1.468536, Y: 4.536746, Z: 0.184746, Yaw: 1.847419, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468451, Y: -4.536500, Z: -0.646260, Velocity_in: X: -0.001766, Y: 0.002058, Z: 0.003569, Error: X: -1.468536, Y: -4.536746, Z: -0.184746, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574825
Current Pose: X: 1.468496, Y: 4.536633, Z: 0.184319, Yaw: 1.847462, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468354, Y: -4.536241, Z: -0.644689, Velocity_in: X: -0.002090, Y: 0.002259, Z: 0.003673, Error: X: -1.468496, Y: -4.536633, Z: -0.184319, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574861
Current Pose: X: 1.468452, Y: 4.536532, Z: 0.184006, Yaw: 1.847483, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468299, Y: -4.536179, Z: -0.643708, Velocity_in: X: -0.002138, Y: 0.002574, Z: 0.003124, Error: X: -1.468452, Y: -4.536532, Z: -0.184006, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574925
Current Pose: X: 1.468423, Y: 4.536425, Z: 0.183842, Yaw: 1.847431, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468320, Y: -4.536047, Z: -0.643284, Velocity_in: X: -0.002240, Y: 0.002701, Z: 0.003165, Error: X: -1.468423, Y: -4.536425, Z: -0.183842, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574957
Current Pose: X: 1.468393, Y: 4.536345, Z: 0.183651, Yaw: 1.847468, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468289, Y: -4.536064, Z: -0.642588, Velocity_in: X: -0.002331, Y: 0.002626, Z: 0.002923, Error: X: -1.468393, Y: -4.536345, Z: -0.183651, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575007
Current Pose: X: 1.468346, Y: 4.536246, Z: 0.183447, Yaw: 1.847462, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468181, Y: -4.535903, Z: -0.641859, Velocity_in: X: -0.002316, Y: 0.002733, Z: 0.003147, Error: X: -1.468346, Y: -4.536246, Z: -0.183447, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575062
Current Pose: X: 1.468266, Y: 4.536160, Z: 0.182973, Yaw: 1.847442, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467988, Y: -4.535860, Z: -0.639930, Velocity_in: X: -0.002057, Y: 0.003454, Z: 0.003010, Error: X: -1.468266, Y: -4.536160, Z: -0.182973, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575104
Current Pose: X: 1.468203, Y: 4.536101, Z: 0.182661, Yaw: 1.847416, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467983, Y: -4.535894, Z: -0.639004, Velocity_in: X: -0.001893, Y: 0.003731, Z: 0.003382, Error: X: -1.468203, Y: -4.536101, Z: -0.182661, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575152
Current Pose: X: 1.468120, Y: 4.536028, Z: 0.182261, Yaw: 1.847443, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467827, Y: -4.535773, Z: -0.637511, Velocity_in: X: -0.001648, Y: 0.003661, Z: 0.003544, Error: X: -1.468120, Y: -4.536028, Z: -0.182261, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575184
Current Pose: X: 1.468040, Y: 4.535964, Z: 0.181878, Yaw: 1.847462, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467760, Y: -4.535737, Z: -0.636191, Velocity_in: X: -0.001679, Y: 0.003760, Z: 0.003766, Error: X: -1.468040, Y: -4.535964, Z: -0.181878, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575218
Current Pose: X: 1.467981, Y: 4.535931, Z: 0.181565, Yaw: 1.847471, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467775, Y: -4.535815, Z: -0.635164, Velocity_in: X: -0.001413, Y: 0.003757, Z: 0.003854, Error: X: -1.467981, Y: -4.535931, Z: -0.181565, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575267
Current Pose: X: 1.467905, Y: 4.535888, Z: 0.181148, Yaw: 1.847464, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467638, Y: -4.535738, Z: -0.633599, Velocity_in: X: -0.001294, Y: 0.003620, Z: 0.003656, Error: X: -1.467905, Y: -4.535888, Z: -0.181148, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575319
Current Pose: X: 1.467845, Y: 4.535847, Z: 0.180805, Yaw: 1.847506, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.467635, Y: -4.535705, Z: -0.632473, Velocity_in: X: -0.001326, Y: 0.003801, Z: 0.003615, Error: X: -1.467845, Y: -4.535847, Z: -0.180805, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 575376
