Current Pose: X: 0.018578, Y: -0.405628, Z: -0.910765, Yaw: 2.025009, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.083600, Y: 1.825327, Z: 4.098443, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.018578, Y: 0.405628, Z: 0.910765, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235777
Current Pose: X: 0.018612, Y: -0.405693, Z: -0.910676, Yaw: 2.024990, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018731, Y: 0.405919, Z: 3.187279, Velocity_in: X: -0.001714, Y: 0.000442, Z: -0.000812, Error: X: -0.018612, Y: 0.405693, Z: 0.910676, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235814
Current Pose: X: 0.018636, Y: -0.405748, Z: -0.910758, Yaw: 2.024992, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018723, Y: 0.405941, Z: 3.187733, Velocity_in: X: -0.001328, Y: 0.000363, Z: -0.000878, Error: X: -0.018636, Y: 0.405748, Z: 0.910758, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235879
Current Pose: X: 0.018698, Y: -0.405783, Z: -0.910866, Yaw: 2.025006, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018914, Y: 0.405904, Z: 3.188137, Velocity_in: X: -0.001532, Y: 0.000283, Z: -0.001255, Error: X: -0.018698, Y: 0.405783, Z: 0.910866, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235933
Current Pose: X: 0.018735, Y: -0.405817, Z: -0.910969, Yaw: 2.025025, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018862, Y: 0.405937, Z: 3.188495, Velocity_in: X: -0.001019, Y: 0.000181, Z: -0.001242, Error: X: -0.018735, Y: 0.405817, Z: 0.910969, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235965
Current Pose: X: 0.018773, Y: -0.405878, Z: -0.911227, Yaw: 2.025027, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018907, Y: 0.406091, Z: 3.189552, Velocity_in: X: -0.001312, Y: 0.000282, Z: -0.001000, Error: X: -0.018773, Y: 0.405878, Z: 0.911227, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 235985
Current Pose: X: 0.018783, Y: -0.405957, Z: -0.911494, Yaw: 2.025076, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018817, Y: 0.406233, Z: 3.190497, Velocity_in: X: -0.001475, Y: 0.000096, Z: -0.000881, Error: X: -0.018783, Y: 0.405957, Z: 0.911494, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 236018
Current Pose: X: 0.018795, Y: -0.406013, Z: -0.911674, Yaw: 2.025053, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018837, Y: 0.406208, Z: 3.191037, Velocity_in: X: -0.001447, Y: 0.000349, Z: -0.000820, Error: X: -0.018795, Y: 0.406013, Z: 0.911674, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 236050
Current Pose: X: 0.018830, Y: -0.406078, Z: -0.911990, Yaw: 2.025043, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018953, Y: 0.406307, Z: 3.192284, Velocity_in: X: -0.001701, Y: 0.000233, Z: -0.000910, Error: X: -0.018830, Y: 0.406078, Z: 0.911990, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 236083
Current Pose: X: 0.018857, Y: -0.406127, Z: -0.912367, Yaw: 2.025065, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018953, Y: 0.406298, Z: 3.193661, Velocity_in: X: -0.001718, Y: 0.000060, Z: -0.000894, Error: X: -0.018857, Y: 0.406127, Z: 0.912367, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 236106
Current Pose: X: 0.018867, Y: -0.406157, Z: -0.912738, Yaw: 2.025057, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.018901, Y: 0.406264, Z: 3.194955, Velocity_in: X: -0.001765, Y: -0.000127, Z: -0.000913, Error: X: -0.018867, Y: 0.406157, Z: 0.912738, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 236140
