Current Pose: X: -1.412836, Y: 0.566873, Z: -1.810075, Yaw: 1.832092, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 6.357762, Y: -2.550927, Z: 8.145338, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 1.412836, Y: -0.566873, Z: 1.810075, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558472
Current Pose: X: -1.412834, Y: 0.566817, Z: -1.810233, Yaw: 1.832117, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412827, Y: -0.566623, Z: 6.335972, Velocity_in: X: -0.003902, Y: 0.000638, Z: -0.003519, Error: X: 1.412834, Y: -0.566817, Z: 1.810233, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558506
Current Pose: X: -1.412834, Y: 0.566765, Z: -1.810422, Yaw: 1.832145, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412832, Y: -0.566581, Z: 6.336667, Velocity_in: X: -0.003858, Y: 0.000602, Z: -0.003560, Error: X: 1.412834, Y: -0.566765, Z: 1.810422, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558538
Current Pose: X: -1.412837, Y: 0.566695, Z: -1.810754, Yaw: 1.832188, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412851, Y: -0.566451, Z: 6.337973, Velocity_in: X: -0.003801, Y: 0.000615, Z: -0.003502, Error: X: 1.412837, Y: -0.566695, Z: 1.810754, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558571
Current Pose: X: -1.412838, Y: 0.566642, Z: -1.810966, Yaw: 1.832203, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412838, Y: -0.566457, Z: 6.338595, Velocity_in: X: -0.003831, Y: 0.000725, Z: -0.003538, Error: X: 1.412838, Y: -0.566642, Z: 1.810966, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558604
Current Pose: X: -1.412836, Y: 0.566590, Z: -1.811157, Yaw: 1.832236, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412832, Y: -0.566408, Z: 6.339238, Velocity_in: X: -0.003795, Y: 0.000604, Z: -0.003502, Error: X: 1.412836, Y: -0.566590, Z: 1.811157, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558640
Current Pose: X: -1.412820, Y: 0.566518, Z: -1.811111, Yaw: 1.832243, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412760, Y: -0.566265, Z: 6.338844, Velocity_in: X: -0.003840, Y: 0.000561, Z: -0.003466, Error: X: 1.412820, Y: -0.566518, Z: 1.811111, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558673
Current Pose: X: -1.412805, Y: 0.566466, Z: -1.811065, Yaw: 1.832258, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412756, Y: -0.566285, Z: 6.338683, Velocity_in: X: -0.003897, Y: 0.000504, Z: -0.003494, Error: X: 1.412805, Y: -0.566466, Z: 1.811065, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558706
Current Pose: X: -1.412791, Y: 0.566413, Z: -1.811037, Yaw: 1.832277, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412743, Y: -0.566227, Z: 6.338601, Velocity_in: X: -0.003883, Y: 0.000478, Z: -0.003621, Error: X: 1.412791, Y: -0.566413, Z: 1.811037, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558738
Current Pose: X: -1.412773, Y: 0.566362, Z: -1.810920, Yaw: 1.832299, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412709, Y: -0.566186, Z: 6.338104, Velocity_in: X: -0.003842, Y: 0.000451, Z: -0.003682, Error: X: 1.412773, Y: -0.566362, Z: 1.810920, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558771
Current Pose: X: -1.412742, Y: 0.566298, Z: -1.810766, Yaw: 1.832312, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.412634, Y: -0.566074, Z: 6.337526, Velocity_in: X: -0.003761, Y: 0.000342, Z: -0.003771, Error: X: 1.412742, Y: -0.566298, Z: 1.810766, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 558805
