Current Pose: X: -0.682755, Y: -2.673506, Z: -3.707038, Yaw: 1.631970, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 3.140675, Y: 12.298129, Z: 16.681673, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.682755, Y: 2.673506, Z: 3.707038, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167223
Current Pose: X: -0.682774, Y: -2.673564, Z: -3.707155, Yaw: 1.631980, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751118, Y: 2.941123, Z: 12.975158, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.682774, Y: 2.673564, Z: 3.707155, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167224
Current Pose: X: -0.682791, Y: -2.673616, Z: -3.707250, Yaw: 1.631980, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751130, Y: 2.941159, Z: 12.975469, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.682791, Y: 2.673616, Z: 3.707250, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167244
Current Pose: X: -0.682804, Y: -2.673663, Z: -3.707326, Yaw: 1.631965, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751129, Y: 2.941192, Z: 12.975717, Velocity_in: X: -0.001631, Y: 0.001010, Z: 0.002057, Error: X: 0.682804, Y: 2.673663, Z: 3.707326, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167277
Current Pose: X: -0.682814, Y: -2.673724, Z: -3.707397, Yaw: 1.631967, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751130, Y: 2.941310, Z: 12.975962, Velocity_in: X: -0.001646, Y: 0.000876, Z: 0.001876, Error: X: 0.682814, Y: 2.673724, Z: 3.707397, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167311
Current Pose: X: -0.682816, Y: -2.673767, Z: -3.707431, Yaw: 1.631971, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751105, Y: 2.941296, Z: 12.976042, Velocity_in: X: -0.001619, Y: 0.000704, Z: 0.001851, Error: X: 0.682816, Y: 2.673767, Z: 3.707431, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167344
Current Pose: X: -0.682814, Y: -2.673817, Z: -3.707392, Yaw: 1.631969, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751088, Y: 2.941374, Z: 12.975832, Velocity_in: X: -0.001544, Y: 0.000733, Z: 0.001724, Error: X: 0.682814, Y: 2.673817, Z: 3.707392, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167377
Current Pose: X: -0.682810, Y: -2.673893, Z: -3.707355, Yaw: 1.631964, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751077, Y: 2.941550, Z: 12.975708, Velocity_in: X: -0.001549, Y: 0.000665, Z: 0.001705, Error: X: 0.682810, Y: 2.673893, Z: 3.707355, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167410
Current Pose: X: -0.682808, Y: -2.673949, Z: -3.707336, Yaw: 1.631956, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751082, Y: 2.941536, Z: 12.975655, Velocity_in: X: -0.001560, Y: 0.000650, Z: 0.001721, Error: X: 0.682808, Y: 2.673949, Z: 3.707336, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167446
Current Pose: X: -0.682813, Y: -2.674003, Z: -3.707404, Yaw: 1.631953, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751110, Y: 2.941596, Z: 12.975983, Velocity_in: X: -0.001731, Y: 0.000733, Z: 0.001766, Error: X: 0.682813, Y: 2.674003, Z: 3.707404, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167481
Current Pose: X: -0.682823, Y: -2.674073, Z: -3.707554, Yaw: 1.631939, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.751141, Y: 2.941724, Z: 12.976590, Velocity_in: X: -0.001693, Y: 0.000724, Z: 0.001746, Error: X: 0.682823, Y: 2.674073, Z: 3.707554, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1167512
