Current Pose: X: -0.783644, Y: -3.026540, Z: -4.102916, Yaw: 1.631747, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 3.604764, Y: 13.922082, Z: 18.463123, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.783644, Y: 3.026540, Z: 4.102916, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423626
Current Pose: X: -0.783664, Y: -3.026578, Z: -4.103131, Yaw: 1.631747, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862100, Y: 3.329371, Z: 14.361172, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.783664, Y: 3.026578, Z: 4.103131, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423668
Current Pose: X: -0.783683, Y: -3.026617, Z: -4.103320, Yaw: 1.631752, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862118, Y: 3.329414, Z: 14.361808, Velocity_in: X: -0.000779, Y: 0.000010, Z: 0.001057, Error: X: 0.783683, Y: 3.026617, Z: 4.103320, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423692
Current Pose: X: -0.783712, Y: -3.026663, Z: -4.103574, Yaw: 1.631748, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862186, Y: 3.329491, Z: 14.362762, Velocity_in: X: -0.000670, Y: 0.000073, Z: 0.000992, Error: X: 0.783712, Y: 3.026663, Z: 4.103574, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423725
Current Pose: X: -0.783738, Y: -3.026701, Z: -4.103751, Yaw: 1.631754, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862201, Y: 3.329503, Z: 14.363307, Velocity_in: X: -0.000553, Y: 0.000157, Z: 0.000857, Error: X: 0.783738, Y: 3.026701, Z: 4.103751, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423758
Current Pose: X: -0.783764, Y: -3.026740, Z: -4.103883, Yaw: 1.631748, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862233, Y: 3.329550, Z: 14.363724, Velocity_in: X: -0.000643, Y: 0.000272, Z: 0.000795, Error: X: 0.783764, Y: 3.026740, Z: 4.103883, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423792
Current Pose: X: -0.783798, Y: -3.026780, Z: -4.104063, Yaw: 1.631747, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862295, Y: 3.329600, Z: 14.364400, Velocity_in: X: -0.000671, Y: 0.000418, Z: 0.000874, Error: X: 0.783798, Y: 3.026780, Z: 4.104063, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423824
Current Pose: X: -0.783852, Y: -3.026833, Z: -4.104429, Yaw: 1.631748, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862428, Y: 3.329703, Z: 14.365869, Velocity_in: X: -0.000698, Y: 0.000514, Z: 0.000881, Error: X: 0.783852, Y: 3.026833, Z: 4.104429, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423856
Current Pose: X: -0.783891, Y: -3.026876, Z: -4.104665, Yaw: 1.631749, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862417, Y: 3.329714, Z: 14.366562, Velocity_in: X: -0.000751, Y: 0.000510, Z: 0.000943, Error: X: 0.783891, Y: 3.026876, Z: 4.104665, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423890
Current Pose: X: -0.783929, Y: -3.026919, Z: -4.104848, Yaw: 1.631742, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862455, Y: 3.329761, Z: 14.367153, Velocity_in: X: -0.000835, Y: 0.000541, Z: 0.000797, Error: X: 0.783929, Y: 3.026919, Z: 4.104848, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423925
Current Pose: X: -0.783972, Y: -3.026978, Z: -4.104990, Yaw: 1.631755, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862517, Y: 3.329882, Z: 14.367604, Velocity_in: X: -0.000762, Y: 0.000599, Z: 0.000764, Error: X: 0.783972, Y: 3.026978, Z: 4.104990, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423959
Current Pose: X: -0.784006, Y: -3.027023, Z: -4.105133, Yaw: 1.631744, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862528, Y: 3.329884, Z: 14.368109, Velocity_in: X: -0.000801, Y: 0.000585, Z: 0.000872, Error: X: 0.784006, Y: 3.027023, Z: 4.105133, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1423992
Current Pose: X: -0.784041, Y: -3.027068, Z: -4.105288, Yaw: 1.631740, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862568, Y: 3.329931, Z: 14.368661, Velocity_in: X: -0.000854, Y: 0.000653, Z: 0.000853, Error: X: 0.784041, Y: 3.027068, Z: 4.105288, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424024
Current Pose: X: -0.784087, Y: -3.027126, Z: -4.105483, Yaw: 1.631738, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862654, Y: 3.330042, Z: 14.369384, Velocity_in: X: -0.000723, Y: 0.000649, Z: 0.000938, Error: X: 0.784087, Y: 3.027126, Z: 4.105483, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424057
Current Pose: X: -0.784118, Y: -3.027174, Z: -4.105587, Yaw: 1.631742, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862640, Y: 3.330057, Z: 14.369659, Velocity_in: X: -0.000890, Y: 0.000729, Z: 0.000859, Error: X: 0.784118, Y: 3.027174, Z: 4.105587, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424091
Current Pose: X: -0.784148, Y: -3.027221, Z: -4.105666, Yaw: 1.631734, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862668, Y: 3.330108, Z: 14.369909, Velocity_in: X: -0.000889, Y: 0.000782, Z: 0.000852, Error: X: 0.784148, Y: 3.027221, Z: 4.105666, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424123
Current Pose: X: -0.784177, Y: -3.027270, Z: -4.105736, Yaw: 1.631724, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862696, Y: 3.330171, Z: 14.370147, Velocity_in: X: -0.000994, Y: 0.000845, Z: 0.000907, Error: X: 0.784177, Y: 3.027270, Z: 4.105736, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424157
Current Pose: X: -0.784210, Y: -3.027338, Z: -4.105815, Yaw: 1.631720, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862746, Y: 3.330310, Z: 14.370433, Velocity_in: X: -0.001033, Y: 0.000784, Z: 0.000911, Error: X: 0.784210, Y: 3.027338, Z: 4.105815, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424191
Current Pose: X: -0.784232, Y: -3.027387, Z: -4.105846, Yaw: 1.631701, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862734, Y: 3.330298, Z: 14.370491, Velocity_in: X: -0.000997, Y: 0.000722, Z: 0.000845, Error: X: 0.784232, Y: 3.027387, Z: 4.105846, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424223
Current Pose: X: -0.784257, Y: -3.027437, Z: -4.105923, Yaw: 1.631715, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862767, Y: 3.330356, Z: 14.370806, Velocity_in: X: -0.001022, Y: 0.000841, Z: 0.000901, Error: X: 0.784257, Y: 3.027437, Z: 4.105923, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424258
Current Pose: X: -0.784291, Y: -3.027502, Z: -4.106110, Yaw: 1.631688, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862841, Y: 3.330477, Z: 14.371573, Velocity_in: X: -0.000988, Y: 0.000822, Z: 0.000870, Error: X: 0.784291, Y: 3.027502, Z: 4.106110, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424292
Current Pose: X: -0.784316, Y: -3.027547, Z: -4.106297, Yaw: 1.631695, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862834, Y: 3.330461, Z: 14.372229, Velocity_in: X: -0.001008, Y: 0.000678, Z: 0.000749, Error: X: 0.784316, Y: 3.027547, Z: 4.106297, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424325
Current Pose: X: -0.784339, Y: -3.027592, Z: -4.106478, Yaw: 1.631704, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862852, Y: 3.330506, Z: 14.372852, Velocity_in: X: -0.000974, Y: 0.000622, Z: 0.000604, Error: X: 0.784339, Y: 3.027592, Z: 4.106478, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424358
Current Pose: X: -0.784365, Y: -3.027648, Z: -4.106713, Yaw: 1.631718, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862893, Y: 3.330611, Z: 14.373732, Velocity_in: X: -0.000923, Y: 0.000614, Z: 0.000433, Error: X: 0.784365, Y: 3.027648, Z: 4.106713, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424390
Current Pose: X: -0.784383, Y: -3.027690, Z: -4.106831, Yaw: 1.631727, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862882, Y: 3.330605, Z: 14.374024, Velocity_in: X: -0.000853, Y: 0.000637, Z: 0.000634, Error: X: 0.784383, Y: 3.027690, Z: 4.106831, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424424
Current Pose: X: -0.784401, Y: -3.027733, Z: -4.106921, Yaw: 1.631744, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862905, Y: 3.330655, Z: 14.374313, Velocity_in: X: -0.000966, Y: 0.000718, Z: 0.000741, Error: X: 0.784401, Y: 3.027733, Z: 4.106921, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424456
Current Pose: X: -0.784421, Y: -3.027776, Z: -4.107003, Yaw: 1.631753, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862932, Y: 3.330707, Z: 14.374594, Velocity_in: X: -0.000966, Y: 0.000779, Z: 0.000876, Error: X: 0.784421, Y: 3.027776, Z: 4.107003, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424490
Current Pose: X: -0.784442, Y: -3.027831, Z: -4.107088, Yaw: 1.631756, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862963, Y: 3.330804, Z: 14.374893, Velocity_in: X: -0.000950, Y: 0.000855, Z: 0.000889, Error: X: 0.784442, Y: 3.027831, Z: 4.107088, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424525
Current Pose: X: -0.784458, Y: -3.027869, Z: -4.107136, Yaw: 1.631766, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862956, Y: 3.330792, Z: 14.375025, Velocity_in: X: -0.000848, Y: 0.000726, Z: 0.000915, Error: X: 0.784458, Y: 3.027869, Z: 4.107136, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424558
Current Pose: X: -0.784472, Y: -3.027909, Z: -4.107178, Yaw: 1.631776, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862971, Y: 3.330837, Z: 14.375166, Velocity_in: X: -0.000912, Y: 0.000759, Z: 0.000948, Error: X: 0.784472, Y: 3.027909, Z: 4.107178, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424590
Current Pose: X: -0.784489, Y: -3.027959, Z: -4.107255, Yaw: 1.631774, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.862998, Y: 3.330930, Z: 14.375471, Velocity_in: X: -0.000807, Y: 0.000681, Z: 0.001014, Error: X: 0.784489, Y: 3.027959, Z: 4.107255, Kp: 1.100000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1424626
