Current Pose: X: -0.061956, Y: -0.182004, Z: -1.350920, Yaw: 1.616215, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.278803, Y: 0.819019, Z: 6.079140, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.061956, Y: 0.182004, Z: 1.350920, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251020
Current Pose: X: -0.061977, Y: -0.182073, Z: -1.351098, Yaw: 1.616300, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062052, Y: 0.182311, Z: 4.729022, Velocity_in: X: 0.001406, Y: 0.000562, Z: 0.006061, Error: X: 0.061977, Y: 0.182073, Z: 1.351098, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251049
Current Pose: X: -0.062000, Y: -0.182170, Z: -1.351239, Yaw: 1.616271, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062079, Y: 0.182509, Z: 4.729479, Velocity_in: X: 0.001229, Y: 0.000284, Z: 0.006323, Error: X: 0.062000, Y: 0.182170, Z: 1.351239, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251084
Current Pose: X: -0.062025, Y: -0.182281, Z: -1.351263, Yaw: 1.616274, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062114, Y: 0.182670, Z: 4.729444, Velocity_in: X: 0.000722, Y: 0.000653, Z: 0.006497, Error: X: 0.062025, Y: 0.182281, Z: 1.351263, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251124
Current Pose: X: -0.062057, Y: -0.182394, Z: -1.351396, Yaw: 1.616323, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062170, Y: 0.182790, Z: 4.730021, Velocity_in: X: 0.000830, Y: 0.000822, Z: 0.006099, Error: X: 0.062057, Y: 0.182394, Z: 1.351396, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251153
Current Pose: X: -0.062085, Y: -0.182504, Z: -1.351637, Yaw: 1.616296, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062180, Y: 0.182888, Z: 4.730970, Velocity_in: X: 0.000468, Y: 0.000645, Z: 0.006211, Error: X: 0.062085, Y: 0.182504, Z: 1.351637, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251185
Current Pose: X: -0.062102, Y: -0.182583, Z: -1.351827, Yaw: 1.616324, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062162, Y: 0.182862, Z: 4.731583, Velocity_in: X: 0.000258, Y: 0.000469, Z: 0.006159, Error: X: 0.062102, Y: 0.182583, Z: 1.351827, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251217
Current Pose: X: -0.062131, Y: -0.182678, Z: -1.352086, Yaw: 1.616338, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062231, Y: 0.183011, Z: 4.732558, Velocity_in: X: 0.000416, Y: 0.000564, Z: 0.005889, Error: X: 0.062131, Y: 0.182678, Z: 1.352086, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251251
Current Pose: X: -0.062160, Y: -0.182767, Z: -1.352348, Yaw: 1.616302, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062265, Y: 0.183079, Z: 4.733482, Velocity_in: X: 0.000950, Y: 0.000290, Z: 0.005940, Error: X: 0.062160, Y: 0.182767, Z: 1.352348, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251284
Current Pose: X: -0.062194, Y: -0.182832, Z: -1.352572, Yaw: 1.616268, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062312, Y: 0.183060, Z: 4.734228, Velocity_in: X: 0.000546, Y: 0.000878, Z: 0.005986, Error: X: 0.062194, Y: 0.182832, Z: 1.352572, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251317
Current Pose: X: -0.062237, Y: -0.182917, Z: -1.352824, Yaw: 1.616261, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.062387, Y: 0.183214, Z: 4.735134, Velocity_in: X: 0.000573, Y: 0.001051, Z: 0.005892, Error: X: 0.062237, Y: 0.182917, Z: 1.352824, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 251350
