Current Pose: X: 0.718545, Y: -2.036128, Z: -1.775720, Yaw: 2.011608, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006001, Y: 2.850783, Z: 6.215301, Velocity_in: X: -0.001155, Y: 0.000203, Z: -0.001341, Error: X: -0.718545, Y: 2.036128, Z: 1.775720, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846488
Current Pose: X: 0.718558, Y: -2.036208, Z: -1.776061, Yaw: 2.011606, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006026, Y: 2.850970, Z: 6.216556, Velocity_in: X: -0.001169, Y: 0.000201, Z: -0.001429, Error: X: -0.718558, Y: 2.036208, Z: 1.776061, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846549
Current Pose: X: 0.718571, Y: -2.036272, Z: -1.776220, Yaw: 2.011604, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006042, Y: 2.851004, Z: 6.216928, Velocity_in: X: -0.001237, Y: 0.000352, Z: -0.001472, Error: X: -0.718571, Y: 2.036272, Z: 1.776220, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846607
Current Pose: X: 0.718585, Y: -2.036333, Z: -1.776368, Yaw: 2.011597, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006068, Y: 2.851082, Z: 6.217434, Velocity_in: X: -0.001276, Y: 0.000332, Z: -0.001553, Error: X: -0.718585, Y: 2.036333, Z: 1.776368, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846661
Current Pose: X: 0.718604, Y: -2.036412, Z: -1.776541, Yaw: 2.011594, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006113, Y: 2.851254, Z: 6.218065, Velocity_in: X: -0.001262, Y: 0.000280, Z: -0.001585, Error: X: -0.718604, Y: 2.036412, Z: 1.776541, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846722
Current Pose: X: 0.718652, Y: -2.036669, Z: -1.777946, Yaw: 2.011579, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006282, Y: 2.852234, Z: 6.224215, Velocity_in: X: -0.001229, Y: 0.000194, Z: -0.001584, Error: X: -0.718652, Y: 2.036669, Z: 1.777946, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846878
Current Pose: X: 0.718685, Y: -2.036785, Z: -1.778793, Yaw: 2.011579, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006276, Y: 2.851906, Z: 6.226621, Velocity_in: X: -0.001046, Y: 0.000005, Z: -0.002220, Error: X: -0.718685, Y: 2.036785, Z: 1.778793, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847016
Current Pose: X: 0.718692, Y: -2.036813, Z: -1.779082, Yaw: 2.011579, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006194, Y: 2.851637, Z: 6.227078, Velocity_in: X: -0.000753, Y: -0.000212, Z: -0.002408, Error: X: -0.718692, Y: 2.036813, Z: 1.779082, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847060
Current Pose: X: 0.718702, Y: -2.036848, Z: -1.779449, Yaw: 2.011571, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006219, Y: 2.851710, Z: 6.228436, Velocity_in: X: -0.000705, Y: -0.000236, Z: -0.002403, Error: X: -0.718702, Y: 2.036848, Z: 1.779449, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847114
Current Pose: X: 0.718713, Y: -2.036871, Z: -1.779711, Yaw: 2.011571, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006237, Y: 2.851697, Z: 6.229251, Velocity_in: X: -0.000599, Y: -0.000343, Z: -0.002390, Error: X: -0.718713, Y: 2.036871, Z: 1.779711, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847169
Current Pose: X: 0.718724, Y: -2.036891, Z: -1.779965, Yaw: 2.011568, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006249, Y: 2.851719, Z: 6.230132, Velocity_in: X: -0.000632, Y: -0.000512, Z: -0.002458, Error: X: -0.718724, Y: 2.036891, Z: 1.779965, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847212
Current Pose: X: 0.718732, Y: -2.036920, Z: -1.780299, Yaw: 2.011557, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.006254, Y: 2.851790, Z: 6.231381, Velocity_in: X: -0.000513, Y: -0.000295, Z: -0.002510, Error: X: -0.718732, Y: 2.036920, Z: 1.780299, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 847288
