Current Pose: X: 0.063855, Y: -0.445726, Z: -1.055892, Yaw: -3.061090, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063963, Y: 0.445993, Z: 3.695688, Velocity_in: X: -0.001932, Y: 0.003183, Z: 0.005017, Error: X: -0.063855, Y: 0.445726, Z: 1.055892, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293664
Current Pose: X: 0.063886, Y: -0.445823, Z: -1.056056, Yaw: -3.061103, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063995, Y: 0.446159, Z: 3.696360, Velocity_in: X: -0.002071, Y: 0.003341, Z: 0.005338, Error: X: -0.063886, Y: 0.445823, Z: 1.056056, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293668
Current Pose: X: 0.063915, Y: -0.445911, Z: -1.056228, Yaw: -3.061106, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064016, Y: 0.446219, Z: 3.696970, Velocity_in: X: -0.001834, Y: 0.003132, Z: 0.005782, Error: X: -0.063915, Y: 0.445911, Z: 1.056228, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293672
Current Pose: X: 0.063889, Y: -0.445961, Z: -1.056415, Yaw: -3.061095, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063801, Y: 0.446139, Z: 3.697638, Velocity_in: X: -0.001652, Y: 0.003230, Z: 0.006248, Error: X: -0.063889, Y: 0.445961, Z: 1.056415, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293677
Current Pose: X: 0.063845, Y: -0.446031, Z: -1.056628, Yaw: -3.061064, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063689, Y: 0.446277, Z: 3.698413, Velocity_in: X: -0.001330, Y: 0.003310, Z: 0.006230, Error: X: -0.063845, Y: 0.446031, Z: 1.056628, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293682
Current Pose: X: 0.063791, Y: -0.446107, Z: -1.056844, Yaw: -3.061081, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063604, Y: 0.446371, Z: 3.699167, Velocity_in: X: -0.001552, Y: 0.003437, Z: 0.006513, Error: X: -0.063791, Y: 0.446107, Z: 1.056844, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293684
Current Pose: X: 0.063730, Y: -0.446164, Z: -1.056876, Yaw: -3.061053, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063517, Y: 0.446363, Z: 3.699098, Velocity_in: X: -0.000938, Y: 0.003417, Z: 0.006224, Error: X: -0.063730, Y: 0.446164, Z: 1.056876, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293687
Current Pose: X: 0.063689, Y: -0.446217, Z: -1.056846, Yaw: -3.061100, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063543, Y: 0.446403, Z: 3.698933, Velocity_in: X: -0.000434, Y: 0.003564, Z: 0.006044, Error: X: -0.063689, Y: 0.446217, Z: 1.056846, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293689
Current Pose: X: 0.063657, Y: -0.446268, Z: -1.056719, Yaw: -3.061105, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063548, Y: 0.446449, Z: 3.698390, Velocity_in: X: -0.000267, Y: 0.003714, Z: 0.006409, Error: X: -0.063657, Y: 0.446268, Z: 1.056719, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293691
Current Pose: X: 0.063648, Y: -0.446300, Z: -1.056480, Yaw: -3.061117, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063615, Y: 0.446412, Z: 3.697440, Velocity_in: X: -0.000125, Y: 0.003254, Z: 0.006959, Error: X: -0.063648, Y: 0.446300, Z: 1.056480, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293695
