Current Pose: X: -0.204806, Y: -0.712096, Z: 0.087939, Yaw: 1.660456, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.921626, Y: 3.204432, Z: -0.395723, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.204806, Y: 0.712096, Z: -0.087939, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 395866
Current Pose: X: -0.205324, Y: -0.712385, Z: 0.082880, Yaw: 1.660314, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.207137, Y: 0.713394, Z: -0.285021, Velocity_in: X: -0.001706, Y: 0.000060, Z: 0.007218, Error: X: 0.205324, Y: 0.712385, Z: -0.082880, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396341
Current Pose: X: -0.205481, Y: -0.712481, Z: 0.081914, Yaw: 1.660316, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.206032, Y: 0.712820, Z: -0.285732, Velocity_in: X: -0.000435, Y: 0.000454, Z: 0.006316, Error: X: 0.205481, Y: 0.712481, Z: -0.081914, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396477
Current Pose: X: -0.205537, Y: -0.712622, Z: 0.080707, Yaw: 1.660252, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.205733, Y: 0.713112, Z: -0.281267, Velocity_in: X: -0.000458, Y: 0.000240, Z: 0.005990, Error: X: 0.205537, Y: 0.712622, Z: -0.080707, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396604
Current Pose: X: -0.204798, Y: -0.711779, Z: 0.088246, Yaw: 1.660252, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.202210, Y: 0.708830, Z: -0.316400, Velocity_in: X: -0.000638, Y: -0.000090, Z: 0.005922, Error: X: 0.204798, Y: 0.711779, Z: -0.088246, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396647
Current Pose: X: -0.204805, Y: -0.712050, Z: 0.087882, Yaw: 1.660382, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.204831, Y: 0.713001, Z: -0.307222, Velocity_in: X: -0.001502, Y: 0.000134, Z: 0.007207, Error: X: 0.204805, Y: 0.712050, Z: -0.087882, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396685
Current Pose: X: -0.204809, Y: -0.712141, Z: 0.087943, Yaw: 1.660366, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.204823, Y: 0.712458, Z: -0.307864, Velocity_in: X: -0.001628, Y: 0.000078, Z: 0.007108, Error: X: 0.204809, Y: 0.712141, Z: -0.087943, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396740
Current Pose: X: -0.204876, Y: -0.712264, Z: 0.086848, Yaw: 1.660349, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.205110, Y: 0.712694, Z: -0.302872, Velocity_in: X: -0.001616, Y: 0.000092, Z: 0.007312, Error: X: 0.204876, Y: 0.712264, Z: -0.086848, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396797
Current Pose: X: -0.204900, Y: -0.712275, Z: 0.086469, Yaw: 1.660349, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.204984, Y: 0.712316, Z: -0.302262, Velocity_in: X: -0.001162, Y: 0.000047, Z: 0.007392, Error: X: 0.204900, Y: 0.712275, Z: -0.086469, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396799
Current Pose: X: -0.204953, Y: -0.712282, Z: 0.085695, Yaw: 1.660337, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.205138, Y: 0.712304, Z: -0.299160, Velocity_in: X: -0.000948, Y: 0.000112, Z: 0.007325, Error: X: 0.204953, Y: 0.712282, Z: -0.085695, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396829
Current Pose: X: -0.205092, Y: -0.712310, Z: 0.083969, Yaw: 1.660337, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.205579, Y: 0.712410, Z: -0.292167, Velocity_in: X: -0.000637, Y: 0.000158, Z: 0.007185, Error: X: 0.205092, Y: 0.712310, Z: -0.083969, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396850
Current Pose: X: -0.205158, Y: -0.712330, Z: 0.083651, Yaw: 1.660337, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.205387, Y: 0.712400, Z: -0.292459, Velocity_in: X: -0.000648, Y: 0.000168, Z: 0.006942, Error: X: 0.205158, Y: 0.712330, Z: -0.083651, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396875
Current Pose: X: -0.205417, Y: -0.712427, Z: 0.082522, Yaw: 1.660317, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.206326, Y: 0.712765, Z: -0.287699, Velocity_in: X: -0.000534, Y: 0.000321, Z: 0.006823, Error: X: 0.205417, Y: 0.712427, Z: -0.082522, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 396897
