Current Pose: X: -0.008910, Y: -0.052975, Z: -0.141844, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.040094, Y: 0.238389, Z: 0.638296, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.008910, Y: 0.052975, Z: 0.141844, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 598241
Current Pose: X: -0.009264, Y: -0.052797, Z: -0.139829, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.010506, Y: 0.052174, Z: 0.487388, Velocity_in: X: -0.003990, Y: 0.002517, Z: -0.002078, Error: X: 0.009264, Y: 0.052797, Z: 0.139829, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 598291
Current Pose: X: -0.009318, Y: -0.052782, Z: -0.139722, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.009504, Y: 0.052727, Z: 0.488922, Velocity_in: X: -0.001044, Y: 0.002838, Z: -0.003676, Error: X: 0.009318, Y: 0.052782, Z: 0.139722, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 598401
Current Pose: X: -0.009604, Y: -0.053945, Z: -0.141528, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.010606, Y: 0.058016, Z: 0.497153, Velocity_in: X: -0.000834, Y: 0.003026, Z: -0.003548, Error: X: 0.009604, Y: 0.053945, Z: 0.141528, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 599005
Current Pose: X: -0.009820, Y: -0.054129, Z: -0.142303, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.010576, Y: 0.054773, Z: 0.498836, Velocity_in: X: -0.001711, Y: 0.003648, Z: -0.001803, Error: X: 0.009820, Y: 0.054129, Z: 0.142303, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 599063
Current Pose: X: -0.009571, Y: -0.054664, Z: -0.143652, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.008698, Y: 0.056538, Z: 0.504131, Velocity_in: X: -0.001222, Y: 0.003529, Z: -0.001915, Error: X: 0.009571, Y: 0.054664, Z: 0.143652, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 599888
Current Pose: X: -0.009230, Y: -0.055068, Z: -0.142379, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.008037, Y: 0.056482, Z: 0.497054, Velocity_in: X: -0.002486, Y: 0.000915, Z: -0.001217, Error: X: 0.009230, Y: 0.055068, Z: 0.142379, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 599980
Current Pose: X: -0.009220, Y: -0.055070, Z: -0.142503, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.009183, Y: 0.055076, Z: 0.498882, Velocity_in: X: -0.000748, Y: 0.000235, Z: -0.001832, Error: X: 0.009220, Y: 0.055070, Z: 0.142503, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 599995
Current Pose: X: -0.009257, Y: -0.055503, Z: -0.144045, Yaw: 1.751678, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.009386, Y: 0.057018, Z: 0.505701, Velocity_in: X: -0.000521, Y: 0.000315, Z: -0.001960, Error: X: 0.009257, Y: 0.055503, Z: 0.144045, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600093
Current Pose: X: -0.017652, Y: -0.080824, Z: -0.185701, Yaw: 1.751821, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.047036, Y: 0.169448, Z: 0.691611, Velocity_in: X: -0.001526, Y: 0.000081, Z: -0.002504, Error: X: 0.017652, Y: 0.080824, Z: 0.185701, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600207
Current Pose: X: -0.017702, Y: -0.080879, Z: -0.186155, Yaw: 1.751752, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.017876, Y: 0.081073, Z: 0.651998, Velocity_in: X: -0.004067, Y: 0.001947, Z: 0.000837, Error: X: 0.017702, Y: 0.080879, Z: 0.186155, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600238
Current Pose: X: -0.008979, Y: -0.056997, Z: -0.143901, Yaw: 1.751869, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.021551, Y: -0.026592, Z: 0.461397, Velocity_in: X: -0.003522, Y: 0.002015, Z: 0.001266, Error: X: 0.008979, Y: 0.056997, Z: 0.143901, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600339
Current Pose: X: -0.018751, Y: -0.081312, Z: -0.195259, Yaw: 1.751637, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.052954, Y: 0.166415, Z: 0.734766, Velocity_in: X: -0.001486, Y: -0.000735, Z: -0.003708, Error: X: 0.018751, Y: 0.081312, Z: 0.195259, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600406
Current Pose: X: -0.009092, Y: -0.057426, Z: -0.143691, Yaw: 1.751907, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.024716, Y: -0.026175, Z: 0.451351, Velocity_in: X: -0.001545, Y: 0.003237, Z: -0.000008, Error: X: 0.009092, Y: 0.057426, Z: 0.143691, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600447
Current Pose: X: -0.019201, Y: -0.081574, Z: -0.196391, Yaw: 1.751549, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.054586, Y: 0.166092, Z: 0.740070, Velocity_in: X: -0.001696, Y: -0.000965, Z: -0.002306, Error: X: 0.019201, Y: 0.081574, Z: 0.196391, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600454
Current Pose: X: -0.019209, Y: -0.081707, Z: -0.196066, Yaw: 1.751549, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.019238, Y: 0.082170, Z: 0.685905, Velocity_in: X: -0.001239, Y: 0.003078, Z: -0.000960, Error: X: 0.019209, Y: 0.081707, Z: 0.196066, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600487
Current Pose: X: -0.009519, Y: -0.058077, Z: -0.143847, Yaw: 1.751963, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.024398, Y: -0.024626, Z: 0.451248, Velocity_in: X: -0.001170, Y: 0.002785, Z: -0.000550, Error: X: 0.009519, Y: 0.058077, Z: 0.143847, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600518
Current Pose: X: -0.018942, Y: -0.082000, Z: -0.196342, Yaw: 1.751571, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.051925, Y: 0.165729, Z: 0.739690, Velocity_in: X: -0.001458, Y: 0.000089, Z: -0.003777, Error: X: 0.018942, Y: 0.082000, Z: 0.196342, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600655
Current Pose: X: -0.018919, Y: -0.082029, Z: -0.196475, Yaw: 1.751528, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.018838, Y: 0.082130, Z: 0.687797, Velocity_in: X: -0.000735, Y: 0.001410, Z: 0.000489, Error: X: 0.018919, Y: 0.082029, Z: 0.196475, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600711
Current Pose: X: -0.018836, Y: -0.082151, Z: -0.196937, Yaw: 1.751581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.018544, Y: 0.082580, Z: 0.689743, Velocity_in: X: -0.000718, Y: 0.001776, Z: 0.000749, Error: X: 0.018836, Y: 0.082151, Z: 0.196937, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 600760
