Current Pose: X: -0.090859, Y: -0.335510, Z: 0.346764, Yaw: 1.718159, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.408864, Y: 1.509793, Z: -1.560440, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.090859, Y: 0.335510, Z: -0.346764, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222690
Current Pose: X: -0.090871, Y: -0.335556, Z: 0.346836, Yaw: 1.718173, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.090914, Y: 0.335716, Z: -1.213998, Velocity_in: X: -0.004212, Y: -0.000157, Z: 0.003098, Error: X: 0.090871, Y: 0.335556, Z: -0.346836, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222726
Current Pose: X: -0.090892, Y: -0.335610, Z: 0.346938, Yaw: 1.718202, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.090967, Y: 0.335800, Z: -1.214387, Velocity_in: X: -0.004142, Y: 0.000307, Z: 0.003079, Error: X: 0.090892, Y: 0.335610, Z: -0.346938, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222760
Current Pose: X: -0.090904, Y: -0.335670, Z: 0.347074, Yaw: 1.718191, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.090945, Y: 0.335880, Z: -1.214893, Velocity_in: X: -0.004360, Y: 0.000027, Z: 0.003289, Error: X: 0.090904, Y: 0.335670, Z: -0.347074, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222796
Current Pose: X: -0.090923, Y: -0.335714, Z: 0.347160, Yaw: 1.718203, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.090988, Y: 0.335866, Z: -1.215146, Velocity_in: X: -0.004222, Y: 0.000083, Z: 0.003461, Error: X: 0.090923, Y: 0.335714, Z: -0.347160, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222820
Current Pose: X: -0.090962, Y: -0.335788, Z: 0.347262, Yaw: 1.718193, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091098, Y: 0.336047, Z: -1.215520, Velocity_in: X: -0.004528, Y: 0.000464, Z: 0.003349, Error: X: 0.090962, Y: 0.335788, Z: -0.347262, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222854
Current Pose: X: -0.090990, Y: -0.335865, Z: 0.347550, Yaw: 1.718181, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091091, Y: 0.336134, Z: -1.216715, Velocity_in: X: -0.004526, Y: 0.000770, Z: 0.002943, Error: X: 0.090990, Y: 0.335865, Z: -0.347550, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222887
Current Pose: X: -0.091023, Y: -0.335951, Z: 0.347777, Yaw: 1.718120, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091136, Y: 0.336255, Z: -1.217445, Velocity_in: X: -0.005088, Y: 0.000657, Z: 0.003190, Error: X: 0.091023, Y: 0.335951, Z: -0.347777, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222920
Current Pose: X: -0.091041, Y: -0.336025, Z: 0.347934, Yaw: 1.718119, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091104, Y: 0.336282, Z: -1.217925, Velocity_in: X: -0.005218, Y: 0.000481, Z: 0.003392, Error: X: 0.091041, Y: 0.336025, Z: -0.347934, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222953
Current Pose: X: -0.091072, Y: -0.336107, Z: 0.348257, Yaw: 1.718131, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091182, Y: 0.336393, Z: -1.219223, Velocity_in: X: -0.005249, Y: 0.000645, Z: 0.003540, Error: X: 0.091072, Y: 0.336107, Z: -0.348257, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 222986
Current Pose: X: -0.091110, Y: -0.336204, Z: 0.348586, Yaw: 1.718117, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.091245, Y: 0.336545, Z: -1.220380, Velocity_in: X: -0.004870, Y: 0.000865, Z: 0.003485, Error: X: 0.091110, Y: 0.336204, Z: -0.348586, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 223019
