Current Pose: X: -1.263295, Y: -2.162613, Z: 0.627285, Yaw: 1.652518, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263166, Y: 2.162590, Z: -2.195502, Velocity_in: X: 0.000244, Y: -0.001245, Z: 0.000918, Error: X: 1.263295, Y: 2.162613, Z: -0.627285, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021763
Current Pose: X: -1.263257, Y: -2.162588, Z: 0.627238, Yaw: 1.652483, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263125, Y: 2.162502, Z: -2.195284, Velocity_in: X: 0.000481, Y: -0.001581, Z: 0.000524, Error: X: 1.263257, Y: 2.162588, Z: -0.627238, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021795
Current Pose: X: -1.263225, Y: -2.162586, Z: 0.627253, Yaw: 1.652493, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263111, Y: 2.162577, Z: -2.195402, Velocity_in: X: 0.000572, Y: -0.001465, Z: 0.000227, Error: X: 1.263225, Y: 2.162586, Z: -0.627253, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021831
Current Pose: X: -1.263217, Y: -2.162589, Z: 0.627262, Yaw: 1.652485, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263190, Y: 2.162601, Z: -2.195426, Velocity_in: X: 0.000691, Y: -0.001087, Z: 0.000398, Error: X: 1.263217, Y: 2.162589, Z: -0.627262, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021864
Current Pose: X: -1.263221, Y: -2.162605, Z: 0.627270, Yaw: 1.652481, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263235, Y: 2.162661, Z: -2.195453, Velocity_in: X: 0.000098, Y: -0.000676, Z: 0.000176, Error: X: 1.263221, Y: 2.162605, Z: -0.627270, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021897
Current Pose: X: -1.263228, Y: -2.162624, Z: 0.627294, Yaw: 1.652447, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263251, Y: 2.162691, Z: -2.195555, Velocity_in: X: 0.000223, Y: -0.000545, Z: 0.000448, Error: X: 1.263228, Y: 2.162624, Z: -0.627294, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021930
Current Pose: X: -1.263246, Y: -2.162643, Z: 0.627318, Yaw: 1.652426, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263309, Y: 2.162709, Z: -2.195638, Velocity_in: X: 0.000187, Y: -0.000562, Z: 0.000391, Error: X: 1.263246, Y: 2.162643, Z: -0.627318, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021964
Current Pose: X: -1.263252, Y: -2.162677, Z: 0.627509, Yaw: 1.652357, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263275, Y: 2.162795, Z: -2.196474, Velocity_in: X: 0.000662, Y: -0.000620, Z: 0.000142, Error: X: 1.263252, Y: 2.162677, Z: -0.627509, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021996
Current Pose: X: -1.263252, Y: -2.162740, Z: 0.627764, Yaw: 1.652338, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263249, Y: 2.162959, Z: -2.197429, Velocity_in: X: 0.000059, Y: -0.000678, Z: 0.000261, Error: X: 1.263252, Y: 2.162740, Z: -0.627764, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022029
Current Pose: X: -1.263231, Y: -2.162822, Z: 0.628019, Yaw: 1.652317, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263160, Y: 2.163112, Z: -2.198322, Velocity_in: X: -0.000095, Y: -0.000826, Z: 0.000328, Error: X: 1.263231, Y: 2.162822, Z: -0.628019, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022063
