Current Pose: X: -0.632665, Y: -0.919324, Z: -0.162410, Yaw: 1.402650, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 2.846993, Y: 4.136956, Z: 0.730847, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.632665, Y: 0.919324, Z: 0.162410, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 445965
Current Pose: X: -0.632692, Y: -0.919346, Z: -0.162276, Yaw: 1.402641, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.632786, Y: 0.919423, Z: 0.567833, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.632692, Y: 0.919346, Z: 0.162276, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 445978
Current Pose: X: -0.632752, Y: -0.919368, Z: -0.161996, Yaw: 1.402610, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.632961, Y: 0.919446, Z: 0.566705, Velocity_in: X: 0.001236, Y: -0.000418, Z: 0.005719, Error: X: 0.632752, Y: 0.919368, Z: 0.161996, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446013
Current Pose: X: -0.632852, Y: -0.919394, Z: -0.161695, Yaw: 1.402572, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633202, Y: 0.919486, Z: 0.565630, Velocity_in: X: 0.001273, Y: -0.000314, Z: 0.005688, Error: X: 0.632852, Y: 0.919394, Z: 0.161695, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446044
Current Pose: X: -0.632926, Y: -0.919420, Z: -0.161565, Yaw: 1.402560, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633185, Y: 0.919510, Z: 0.565350, Velocity_in: X: 0.001109, Y: -0.000083, Z: 0.005676, Error: X: 0.632926, Y: 0.919420, Z: 0.161565, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446077
Current Pose: X: -0.633017, Y: -0.919446, Z: -0.161491, Yaw: 1.402519, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633338, Y: 0.919536, Z: 0.565145, Velocity_in: X: 0.001051, Y: 0.000069, Z: 0.005723, Error: X: 0.633017, Y: 0.919446, Z: 0.161491, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446111
Current Pose: X: -0.633112, Y: -0.919469, Z: -0.161435, Yaw: 1.402510, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633444, Y: 0.919550, Z: 0.564965, Velocity_in: X: 0.001044, Y: 0.000109, Z: 0.005623, Error: X: 0.633112, Y: 0.919469, Z: 0.161435, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446143
Current Pose: X: -0.633271, Y: -0.919490, Z: -0.161473, Yaw: 1.402470, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633825, Y: 0.919562, Z: 0.565195, Velocity_in: X: 0.001199, Y: 0.000209, Z: 0.005606, Error: X: 0.633271, Y: 0.919490, Z: 0.161473, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446177
Current Pose: X: -0.633397, Y: -0.919511, Z: -0.161537, Yaw: 1.402444, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633838, Y: 0.919585, Z: 0.565442, Velocity_in: X: 0.001268, Y: 0.000479, Z: 0.005699, Error: X: 0.633397, Y: 0.919511, Z: 0.161537, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446211
Current Pose: X: -0.633521, Y: -0.919553, Z: -0.161632, Yaw: 1.402419, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.633959, Y: 0.919700, Z: 0.565809, Velocity_in: X: 0.001166, Y: 0.000583, Z: 0.005704, Error: X: 0.633521, Y: 0.919553, Z: 0.161632, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446243
Current Pose: X: -0.633689, Y: -0.919611, Z: -0.161822, Yaw: 1.402387, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.634274, Y: 0.919814, Z: 0.566565, Velocity_in: X: 0.000948, Y: 0.000579, Z: 0.005638, Error: X: 0.633689, Y: 0.919611, Z: 0.161822, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 446275
