Current Pose: X: 0.011653, Y: -0.581047, Z: -0.116783, Yaw: 1.709205, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.052440, Y: 2.614711, Z: 0.525524, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.011653, Y: 0.581047, Z: 0.116783, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 637331
Current Pose: X: 0.011559, Y: -0.581227, Z: -0.117280, Yaw: 1.709205, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011227, Y: 0.581858, Z: 0.410978, Velocity_in: X: -0.001101, Y: 0.001033, Z: 0.005305, Error: X: -0.011559, Y: 0.581227, Z: 0.117280, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 637397
Current Pose: X: 0.011485, Y: -0.581434, Z: -0.117520, Yaw: 1.709182, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011226, Y: 0.582157, Z: 0.411558, Velocity_in: X: -0.001421, Y: 0.000982, Z: 0.005155, Error: X: -0.011485, Y: 0.581434, Z: 0.117520, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 637455
Current Pose: X: 0.011266, Y: -0.581908, Z: -0.117330, Yaw: 1.709120, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.010501, Y: 0.583569, Z: 0.410466, Velocity_in: X: -0.001583, Y: 0.000966, Z: 0.005173, Error: X: -0.011266, Y: 0.581908, Z: 0.117330, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 637614
Current Pose: X: 0.011211, Y: -0.582091, Z: -0.116848, Yaw: 1.709120, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011017, Y: 0.582732, Z: 0.408488, Velocity_in: X: -0.001799, Y: 0.000972, Z: 0.004931, Error: X: -0.011211, Y: 0.582091, Z: 0.116848, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 637718
Current Pose: X: 0.010857, Y: -0.582639, Z: -0.116023, Yaw: 1.709085, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.009618, Y: 0.584557, Z: 0.405253, Velocity_in: X: -0.001434, Y: 0.000810, Z: 0.005201, Error: X: -0.010857, Y: 0.582639, Z: 0.116023, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638120
Current Pose: X: 0.011057, Y: -0.582774, Z: -0.115216, Yaw: 1.709021, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011758, Y: 0.583245, Z: 0.402448, Velocity_in: X: -0.001345, Y: 0.000860, Z: 0.004954, Error: X: -0.011057, Y: 0.582774, Z: 0.115216, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638285
Current Pose: X: 0.011236, Y: -0.582914, Z: -0.115324, Yaw: 1.709021, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011863, Y: 0.583406, Z: 0.403740, Velocity_in: X: -0.001287, Y: -0.000078, Z: 0.005125, Error: X: -0.011236, Y: 0.582914, Z: 0.115324, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638452
Current Pose: X: 0.011261, Y: -0.582921, Z: -0.115090, Yaw: 1.708959, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011348, Y: 0.582944, Z: 0.402582, Velocity_in: X: -0.001004, Y: 0.000004, Z: 0.005053, Error: X: -0.011261, Y: 0.582921, Z: 0.115090, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638484
Current Pose: X: 0.011273, Y: -0.582925, Z: -0.115114, Yaw: 1.708959, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011317, Y: 0.582938, Z: 0.402922, Velocity_in: X: -0.000896, Y: -0.000091, Z: 0.005157, Error: X: -0.011273, Y: 0.582925, Z: 0.115114, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638511
Current Pose: X: 0.011237, Y: -0.582916, Z: -0.115825, Yaw: 1.708893, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011108, Y: 0.582885, Z: 0.406101, Velocity_in: X: -0.000747, Y: -0.000081, Z: 0.005100, Error: X: -0.011237, Y: 0.582916, Z: 0.115825, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638846
Current Pose: X: 0.011215, Y: -0.583012, Z: -0.115751, Yaw: 1.708861, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011137, Y: 0.583347, Z: 0.405054, Velocity_in: X: -0.000569, Y: -0.000048, Z: 0.005198, Error: X: -0.011215, Y: 0.583012, Z: 0.115751, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638953
Current Pose: X: 0.011202, Y: -0.583046, Z: -0.115808, Yaw: 1.708861, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.011160, Y: 0.583166, Z: 0.405387, Velocity_in: X: -0.000691, Y: 0.000042, Z: 0.005236, Error: X: -0.011202, Y: 0.583046, Z: 0.115808, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 638980
