Current Pose: X: 0.133427, Y: -0.628938, Z: 0.210716, Yaw: 1.583826, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133536, Y: 0.629113, Z: -0.737528, Velocity_in: X: -0.002324, Y: 0.000069, Z: 0.000045, Error: X: -0.133427, Y: 0.628938, Z: -0.210716, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198447
Current Pose: X: 0.133463, Y: -0.628999, Z: 0.210665, Yaw: 1.583817, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133589, Y: 0.629211, Z: -0.737277, Velocity_in: X: -0.002257, Y: 0.000024, Z: 0.000052, Error: X: -0.133463, Y: 0.628999, Z: -0.210665, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198479
Current Pose: X: 0.133501, Y: -0.629038, Z: 0.210630, Yaw: 1.583820, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133634, Y: 0.629174, Z: -0.737170, Velocity_in: X: -0.002156, Y: -0.000084, Z: -0.000018, Error: X: -0.133501, Y: 0.629038, Z: -0.210630, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198512
Current Pose: X: 0.133546, Y: -0.629068, Z: 0.210643, Yaw: 1.583803, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133704, Y: 0.629176, Z: -0.737264, Velocity_in: X: -0.001991, Y: -0.000096, Z: 0.000012, Error: X: -0.133546, Y: 0.629068, Z: -0.210643, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198548
Current Pose: X: 0.133603, Y: -0.629078, Z: 0.210686, Yaw: 1.583784, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133801, Y: 0.629110, Z: -0.737446, Velocity_in: X: -0.001903, Y: -0.000160, Z: -0.000103, Error: X: -0.133603, Y: 0.629078, Z: -0.210686, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198579
Current Pose: X: 0.133647, Y: -0.629078, Z: 0.210736, Yaw: 1.583763, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133801, Y: 0.629080, Z: -0.737627, Velocity_in: X: -0.001581, Y: -0.000392, Z: -0.000010, Error: X: -0.133647, Y: 0.629078, Z: -0.210736, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198612
Current Pose: X: 0.133692, Y: -0.629075, Z: 0.210964, Yaw: 1.583778, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133851, Y: 0.629063, Z: -0.738600, Velocity_in: X: -0.001426, Y: -0.000452, Z: 0.000074, Error: X: -0.133692, Y: 0.629075, Z: -0.210964, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198648
Current Pose: X: 0.133760, Y: -0.629090, Z: 0.211154, Yaw: 1.583769, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133998, Y: 0.629141, Z: -0.739230, Velocity_in: X: -0.001368, Y: -0.000459, Z: -0.000039, Error: X: -0.133760, Y: 0.629090, Z: -0.211154, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198681
Current Pose: X: 0.133817, Y: -0.629109, Z: 0.211226, Yaw: 1.583768, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134014, Y: 0.629177, Z: -0.739365, Velocity_in: X: -0.001304, Y: -0.000507, Z: 0.000087, Error: X: -0.133817, Y: 0.629109, Z: -0.211226, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198714
Current Pose: X: 0.133866, Y: -0.629128, Z: 0.211317, Yaw: 1.583779, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134038, Y: 0.629195, Z: -0.739702, Velocity_in: X: -0.001345, Y: -0.000578, Z: 0.000099, Error: X: -0.133866, Y: 0.629128, Z: -0.211317, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198748
Current Pose: X: 0.133912, Y: -0.629150, Z: 0.211412, Yaw: 1.583794, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134074, Y: 0.629225, Z: -0.740037, Velocity_in: X: -0.001305, Y: -0.000602, Z: 0.000007, Error: X: -0.133912, Y: 0.629150, Z: -0.211412, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198780
Current Pose: X: 0.133966, Y: -0.629180, Z: 0.211566, Yaw: 1.583787, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134158, Y: 0.629285, Z: -0.740637, Velocity_in: X: -0.001378, Y: -0.000579, Z: -0.000012, Error: X: -0.133966, Y: 0.629180, Z: -0.211566, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198813
Current Pose: X: 0.134004, Y: -0.629202, Z: 0.211682, Yaw: 1.583799, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134137, Y: 0.629280, Z: -0.741000, Velocity_in: X: -0.001364, Y: -0.000717, Z: -0.000207, Error: X: -0.134004, Y: 0.629202, Z: -0.211682, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198847
Current Pose: X: 0.134038, Y: -0.629222, Z: 0.211793, Yaw: 1.583813, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.134155, Y: 0.629293, Z: -0.741388, Velocity_in: X: -0.001250, Y: -0.000672, Z: -0.000095, Error: X: -0.134038, Y: 0.629222, Z: -0.211793, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198879
