Current Pose: X: 0.754349, Y: -1.518642, Z: 0.498380, Yaw: 1.875866, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -3.394573, Y: 6.833889, Z: -2.242709, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.754349, Y: 1.518642, Z: -0.498380, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 774759
Current Pose: X: 0.753673, Y: -1.520395, Z: 0.495339, Yaw: 1.875866, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.751306, Y: 1.526531, Z: -1.730645, Velocity_in: X: -0.000175, Y: -0.000205, Z: 0.005544, Error: X: -0.753673, Y: 1.520395, Z: -0.495339, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 774765
Current Pose: X: 0.753653, Y: -1.520566, Z: 0.495674, Yaw: 1.875927, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753580, Y: 1.521163, Z: -1.735194, Velocity_in: X: -0.000643, Y: 0.000428, Z: 0.005545, Error: X: -0.753653, Y: 1.520566, Z: -0.495674, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 774891
Current Pose: X: 0.753658, Y: -1.519702, Z: 0.496482, Yaw: 1.875914, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753675, Y: 1.516678, Z: -1.738496, Velocity_in: X: -0.000621, Y: 0.000147, Z: 0.005522, Error: X: -0.753658, Y: 1.519702, Z: -0.496482, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 774950
Current Pose: X: 0.753285, Y: -1.520893, Z: 0.495346, Yaw: 1.875864, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.751981, Y: 1.525064, Z: -1.732576, Velocity_in: X: -0.000434, Y: 0.000300, Z: 0.005184, Error: X: -0.753285, Y: 1.520893, Z: -0.495346, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775258
Current Pose: X: 0.753123, Y: -1.520945, Z: 0.495393, Yaw: 1.875873, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.752556, Y: 1.521125, Z: -1.733921, Velocity_in: X: 0.000157, Y: 0.001250, Z: 0.004930, Error: X: -0.753123, Y: 1.520945, Z: -0.495393, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775355
Current Pose: X: 0.752989, Y: -1.521065, Z: 0.495864, Yaw: 1.875868, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.752520, Y: 1.521483, Z: -1.735995, Velocity_in: X: 0.000106, Y: 0.001260, Z: 0.004833, Error: X: -0.752989, Y: 1.521065, Z: -0.495864, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775497
Current Pose: X: 0.752846, Y: -1.521258, Z: 0.496286, Yaw: 1.875885, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.752345, Y: 1.521937, Z: -1.737423, Velocity_in: X: 0.000040, Y: 0.001180, Z: 0.004516, Error: X: -0.752846, Y: 1.521258, Z: -0.496286, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775626
Current Pose: X: 0.752817, Y: -1.521305, Z: 0.496261, Yaw: 1.875885, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.752715, Y: 1.521469, Z: -1.736887, Velocity_in: X: -0.000069, Y: 0.001367, Z: 0.004564, Error: X: -0.752817, Y: 1.521305, Z: -0.496261, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775658
Current Pose: X: 0.752900, Y: -1.521314, Z: 0.496445, Yaw: 1.875910, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753194, Y: 1.521344, Z: -1.737743, Velocity_in: X: -0.000034, Y: 0.001453, Z: 0.004492, Error: X: -0.752900, Y: 1.521314, Z: -0.496445, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775857
Current Pose: X: 0.752943, Y: -1.521296, Z: 0.496519, Yaw: 1.875910, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753094, Y: 1.521234, Z: -1.737889, Velocity_in: X: 0.000687, Y: 0.000066, Z: 0.004037, Error: X: -0.752943, Y: 1.521296, Z: -0.496519, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775889
Current Pose: X: 0.753005, Y: -1.521279, Z: 0.496617, Yaw: 1.875891, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753220, Y: 1.521218, Z: -1.738259, Velocity_in: X: 0.000617, Y: -0.000057, Z: 0.004100, Error: X: -0.753005, Y: 1.521279, Z: -0.496617, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775925
Current Pose: X: 0.753139, Y: -1.521213, Z: 0.496728, Yaw: 1.875863, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753608, Y: 1.520983, Z: -1.738660, Velocity_in: X: 0.000578, Y: -0.000072, Z: 0.004058, Error: X: -0.753139, Y: 1.521213, Z: -0.496728, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 775988
Current Pose: X: 0.753225, Y: -1.521153, Z: 0.496742, Yaw: 1.875857, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.753528, Y: 1.520945, Z: -1.738611, Velocity_in: X: 0.000653, Y: -0.000412, Z: 0.004017, Error: X: -0.753225, Y: 1.521153, Z: -0.496742, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 776020
