Current Pose: X: -0.426345, Y: -0.492246, Z: -1.016749, Yaw: 1.686616, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.918552, Y: 2.215109, Z: 4.575370, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.426345, Y: 0.492246, Z: 1.016749, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521515
Current Pose: X: -0.426360, Y: -0.492289, Z: -1.016721, Yaw: 1.686616, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426415, Y: 0.492438, Z: 3.558497, Velocity_in: X: -0.002140, Y: 0.000672, Z: 0.004015, Error: X: 0.426360, Y: 0.492289, Z: 1.016721, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521528
Current Pose: X: -0.426385, Y: -0.492347, Z: -1.016732, Yaw: 1.686620, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426472, Y: 0.492549, Z: 3.558574, Velocity_in: X: -0.002254, Y: 0.000716, Z: 0.003939, Error: X: 0.426385, Y: 0.492347, Z: 1.016732, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521569
Current Pose: X: -0.426398, Y: -0.492392, Z: -1.016523, Yaw: 1.686631, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426442, Y: 0.492549, Z: 3.557621, Velocity_in: X: -0.002217, Y: 0.000780, Z: 0.003861, Error: X: 0.426398, Y: 0.492392, Z: 1.016523, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521636
Current Pose: X: -0.426445, Y: -0.492597, Z: -1.016031, Yaw: 1.686631, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426612, Y: 0.493317, Z: 3.555618, Velocity_in: X: -0.002141, Y: 0.000817, Z: 0.003895, Error: X: 0.426445, Y: 0.492597, Z: 1.016031, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521759
Current Pose: X: -0.426459, Y: -0.492672, Z: -1.015894, Yaw: 1.686659, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426504, Y: 0.492933, Z: 3.555492, Velocity_in: X: -0.002622, Y: 0.000922, Z: 0.003783, Error: X: 0.426459, Y: 0.492672, Z: 1.015894, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521763
Current Pose: X: -0.426469, Y: -0.492738, Z: -1.015720, Yaw: 1.686662, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426505, Y: 0.492970, Z: 3.554848, Velocity_in: X: -0.002717, Y: 0.000828, Z: 0.003918, Error: X: 0.426469, Y: 0.492738, Z: 1.015720, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521803
Current Pose: X: -0.426480, Y: -0.492818, Z: -1.015524, Yaw: 1.686678, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426517, Y: 0.493099, Z: 3.554136, Velocity_in: X: -0.002746, Y: 0.000729, Z: 0.003972, Error: X: 0.426480, Y: 0.492818, Z: 1.015524, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521816
Current Pose: X: -0.426486, Y: -0.492873, Z: -1.015438, Yaw: 1.686682, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426509, Y: 0.493067, Z: 3.553948, Velocity_in: X: -0.002774, Y: 0.000659, Z: 0.003964, Error: X: 0.426486, Y: 0.492873, Z: 1.015438, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521829
Current Pose: X: -0.426494, Y: -0.492925, Z: -1.015430, Yaw: 1.686679, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426523, Y: 0.493103, Z: 3.553996, Velocity_in: X: -0.002580, Y: 0.000605, Z: 0.004001, Error: X: 0.426494, Y: 0.492925, Z: 1.015430, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521841
Current Pose: X: -0.426507, Y: -0.493073, Z: -1.015216, Yaw: 1.686684, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.426553, Y: 0.493594, Z: 3.553041, Velocity_in: X: -0.002523, Y: 0.000581, Z: 0.004047, Error: X: 0.426507, Y: 0.493073, Z: 1.015216, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 521903
