Current Pose: X: -0.594287, Y: -1.178648, Z: -0.011313, Yaw: 1.824913, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 2.674290, Y: 5.303917, Z: 0.050907, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.594287, Y: 1.178648, Z: 0.011313, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617693
Current Pose: X: -0.594399, Y: -1.178708, Z: -0.011542, Yaw: 1.824908, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.594791, Y: 1.178919, Z: 0.040628, Velocity_in: X: -0.001717, Y: 0.001142, Z: 0.000557, Error: X: 0.594399, Y: 1.178708, Z: 0.011542, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617755
Current Pose: X: -0.594551, Y: -1.178785, Z: -0.011822, Yaw: 1.824902, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595085, Y: 1.179053, Z: 0.041659, Velocity_in: X: -0.001652, Y: 0.001507, Z: 0.000642, Error: X: 0.594551, Y: 1.178785, Z: 0.011822, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617852
Current Pose: X: -0.594684, Y: -1.178843, Z: -0.012015, Yaw: 1.824900, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595151, Y: 1.179045, Z: 0.042244, Velocity_in: X: -0.001497, Y: 0.001897, Z: 0.000582, Error: X: 0.594684, Y: 1.178843, Z: 0.012015, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617902
Current Pose: X: -0.594825, Y: -1.178903, Z: -0.012182, Yaw: 1.824892, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595316, Y: 1.179115, Z: 0.042806, Velocity_in: X: -0.001415, Y: 0.002218, Z: 0.000450, Error: X: 0.594825, Y: 1.178903, Z: 0.012182, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617934
Current Pose: X: -0.594998, Y: -1.178980, Z: -0.012385, Yaw: 1.824875, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595606, Y: 1.179251, Z: 0.043550, Velocity_in: X: -0.001390, Y: 0.002314, Z: 0.000430, Error: X: 0.594998, Y: 1.178980, Z: 0.012385, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 617981
Current Pose: X: -0.595147, Y: -1.179042, Z: -0.012522, Yaw: 1.824888, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595668, Y: 1.179259, Z: 0.043964, Velocity_in: X: -0.001413, Y: 0.002493, Z: 0.000464, Error: X: 0.595147, Y: 1.179042, Z: 0.012522, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618029
Current Pose: X: -0.595308, Y: -1.179110, Z: -0.012542, Yaw: 1.824886, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.595870, Y: 1.179347, Z: 0.043915, Velocity_in: X: -0.001425, Y: 0.002687, Z: 0.000438, Error: X: 0.595308, Y: 1.179110, Z: 0.012542, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618059
Current Pose: X: -0.595471, Y: -1.179179, Z: -0.012509, Yaw: 1.824901, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596044, Y: 1.179419, Z: 0.043748, Velocity_in: X: -0.001355, Y: 0.002946, Z: 0.000420, Error: X: 0.595471, Y: 1.179179, Z: 0.012509, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618105
Current Pose: X: -0.595690, Y: -1.179271, Z: -0.012563, Yaw: 1.824891, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596456, Y: 1.179596, Z: 0.044023, Velocity_in: X: -0.001350, Y: 0.003154, Z: 0.000415, Error: X: 0.595690, Y: 1.179271, Z: 0.012563, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618159
Current Pose: X: -0.595840, Y: -1.179337, Z: -0.012581, Yaw: 1.824898, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596366, Y: 1.179567, Z: 0.044052, Velocity_in: X: -0.001364, Y: 0.003310, Z: 0.000584, Error: X: 0.595840, Y: 1.179337, Z: 0.012581, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618197
Current Pose: X: -0.595983, Y: -1.179400, Z: -0.012577, Yaw: 1.824899, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596484, Y: 1.179621, Z: 0.044017, Velocity_in: X: -0.001207, Y: 0.003394, Z: 0.000533, Error: X: 0.595983, Y: 1.179400, Z: 0.012577, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618227
Current Pose: X: -0.596150, Y: -1.179481, Z: -0.012591, Yaw: 1.824888, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596735, Y: 1.179763, Z: 0.044084, Velocity_in: X: -0.001239, Y: 0.003392, Z: 0.000548, Error: X: 0.596150, Y: 1.179481, Z: 0.012591, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618276
Current Pose: X: -0.596257, Y: -1.179537, Z: -0.012614, Yaw: 1.824875, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596629, Y: 1.179733, Z: 0.044171, Velocity_in: X: -0.001196, Y: 0.003308, Z: 0.000519, Error: X: 0.596257, Y: 1.179537, Z: 0.012614, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618321
Current Pose: X: -0.596351, Y: -1.179580, Z: -0.012654, Yaw: 1.824876, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596680, Y: 1.179731, Z: 0.044328, Velocity_in: X: -0.001122, Y: 0.003216, Z: 0.000408, Error: X: 0.596351, Y: 1.179580, Z: 0.012654, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618370
Current Pose: X: -0.596434, Y: -1.179607, Z: -0.012678, Yaw: 1.824887, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596725, Y: 1.179700, Z: 0.044395, Velocity_in: X: -0.000990, Y: 0.003090, Z: 0.000334, Error: X: 0.596434, Y: 1.179607, Z: 0.012678, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618418
Current Pose: X: -0.596464, Y: -1.179607, Z: -0.012675, Yaw: 1.824892, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596571, Y: 1.179607, Z: 0.044359, Velocity_in: X: -0.000867, Y: 0.002581, Z: 0.000259, Error: X: 0.596464, Y: 1.179607, Z: 0.012675, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618465
Current Pose: X: -0.596470, Y: -1.179590, Z: -0.012562, Yaw: 1.824893, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596489, Y: 1.179530, Z: 0.043853, Velocity_in: X: -0.000806, Y: 0.002219, Z: 0.000153, Error: X: 0.596470, Y: 1.179590, Z: 0.012562, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618497
Current Pose: X: -0.596433, Y: -1.179556, Z: -0.012355, Yaw: 1.824906, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.596302, Y: 1.179436, Z: 0.043036, Velocity_in: X: -0.000531, Y: 0.001906, Z: 0.000356, Error: X: 0.596433, Y: 1.179556, Z: 0.012355, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 618544
